Aug 28 00:22:21.539335 np0000032604 systemd[1]: Started Devstack devstack@memory_tracker.service.
Aug 28 00:22:21.545925 np0000032604 memory_tracker.sh[45812]: [[[
Aug 28 00:22:21.548595 np0000032604 memory_tracker.sh[45827]: Thu Aug 28 00:22:21 UTC 2025
Aug 28 00:22:21.548678 np0000032604 memory_tracker.sh[45812]: ---
Aug 28 00:22:21.592952 np0000032604 memory_tracker.sh[45831]: [iscsid (pid:34802)]=13400KB; [multipathd (pid:339)]=289296KB; [ovs-vswitchd (pid:30586)]=899428KB
Aug 28 00:22:21.598239 np0000032604 memory_tracker.sh[45812]: ]]]
Aug 28 00:22:41.602360 np0000032604 memory_tracker.sh[45812]: [[[
Aug 28 00:22:41.602961 np0000032604 memory_tracker.sh[50619]: Thu Aug 28 00:22:41 UTC 2025
Aug 28 00:22:41.603175 np0000032604 memory_tracker.sh[45812]: ---
Aug 28 00:22:41.603175 np0000032604 memory_tracker.sh[45812]: memory_tracker low_point: 10331120
Aug 28 00:22:41.603175 np0000032604 memory_tracker.sh[45812]: ---
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: MemTotal:       12242240 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: MemFree:          257004 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: MemAvailable:   10331120 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: Buffers:          279196 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: Cached:          9578244 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: SwapCached:           24 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: Active:           934328 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: Inactive:        9885516 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: Active(anon):       1944 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: Inactive(anon):  1133380 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: Active(file):     932384 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: Inactive(file):  8752136 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: Unevictable:      141892 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: Mlocked:          141892 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: SwapTotal:       8388604 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: SwapFree:        8387056 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: Dirty:              6348 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: Writeback:             0 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: AnonPages:       1104364 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: Mapped:           197700 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: Shmem:            155160 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: KReclaimable:     715028 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: Slab:             830336 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: SReclaimable:     715028 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: SUnreclaim:       115308 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: KernelStack:        8120 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: PageTables:        10664 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: NFS_Unstable:          0 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: Bounce:                0 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: WritebackTmp:          0 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: CommitLimit:    14509724 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: Committed_AS:    2920320 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: VmallocTotal:   13743895347199 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: VmallocUsed:       23520 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: VmallocChunk:          0 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: Percpu:             4864 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: HardwareCorrupted:     0 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: AnonHugePages:         0 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: ShmemHugePages:        0 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: ShmemPmdMapped:        0 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: FileHugePages:         0 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: FilePmdMapped:         0 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: HugePages_Total:       0
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: HugePages_Free:        0
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: HugePages_Rsvd:        0
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: HugePages_Surp:        0
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: Hugepagesize:       2048 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: Hugetlb:               0 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: DirectMap4k:      307052 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: DirectMap2M:    10178560 kB
Aug 28 00:22:41.603664 np0000032604 memory_tracker.sh[50620]: DirectMap1G:     4194304 kB
Aug 28 00:22:41.604687 np0000032604 memory_tracker.sh[45812]: ---
Aug 28 00:22:41.611673 np0000032604 memory_tracker.sh[50622]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 28 00:22:41.611673 np0000032604 memory_tracker.sh[50622]:      45245    3.3          413060          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 28 00:22:41.611673 np0000032604 memory_tracker.sh[50622]:      48202    1.0          131344      48200   00:00:03        2 -                         keystoneuWSGI worker 2
Aug 28 00:22:41.611673 np0000032604 memory_tracker.sh[50622]:      48201    1.0          129724      48200   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 28 00:22:41.611673 np0000032604 memory_tracker.sh[50622]:      20883    1.0          125280          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-12.2.1/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false
Aug 28 00:22:41.611673 np0000032604 memory_tracker.sh[50622]:      30586    0.9          112828          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 28 00:22:41.611673 np0000032604 memory_tracker.sh[50622]:      44561    0.7           87396          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 28 00:22:41.611673 np0000032604 memory_tracker.sh[50622]:      10931    0.3           47764          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 28 00:22:41.611673 np0000032604 memory_tracker.sh[50622]:      10933    0.3           38736      10931   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 28 00:22:41.611673 np0000032604 memory_tracker.sh[50622]:        339    0.2           26840          1   00:00:00        7 futex_wait_queue_me       /sbin/multipathd -d -s
Aug 28 00:22:41.612012 np0000032604 memory_tracker.sh[50622]:      43695    0.2           25440          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 28 00:22:41.612012 np0000032604 memory_tracker.sh[50622]:      39018    0.1           24056          1   00:00:00       19 do_poll.constprop.0       /usr/sbin/libvirtd
Aug 28 00:22:41.612012 np0000032604 memory_tracker.sh[50622]:       2169    0.1           24012       2168   00:00:00        2 do_wait                   /usr/bin/python3
Aug 28 00:22:41.612012 np0000032604 memory_tracker.sh[50622]:      46805    0.1           22316          1   00:00:00       12 futex_wait_queue_me       /opt/stack/bin/etcd --name np0000032604 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032604=http://192.168.1.125:2380 --initial-advertise-peer-urls http://192.168.1.125:2380 --advertise-client-urls http://192.168.1.125:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.125:2379 --log-level=debug
Aug 28 00:22:41.612012 np0000032604 memory_tracker.sh[50622]:      19933    0.1           20532          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-journald
Aug 28 00:22:41.612012 np0000032604 memory_tracker.sh[50622]:        958    0.1           20408          1   00:00:00        3 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 28 00:22:41.612012 np0000032604 memory_tracker.sh[50622]:      43699    0.1           19964      43695   00:00:00        1 ep_poll                   /usr/lib/x86_64-linux-gnu/samba/samba-bgqd --ready-signal-fd=45 --parent-watch-fd=11 --debuglevel=0 -F
Aug 28 00:22:41.612012 np0000032604 memory_tracker.sh[50622]:        486    0.1           18828          1   00:00:00        1 do_poll.constprop.0       /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
Aug 28 00:22:41.612012 np0000032604 memory_tracker.sh[50622]:       1143    0.1           18444          1   00:01:10        2 inet_csk_accept           /usr/bin/python3
Aug 28 00:22:41.612012 np0000032604 memory_tracker.sh[50622]:      48200    0.1           16972          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 28 00:22:41.612012 np0000032604 memory_tracker.sh[50622]:        582    0.1           15660          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Aug 28 00:22:41.612012 np0000032604 memory_tracker.sh[50622]:      43684    0.1           15556          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 28 00:22:41.612012 np0000032604 memory_tracker.sh[50622]:      39049    0.1           13800          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 28 00:22:41.612227 np0000032604 memory_tracker.sh[50622]:        574    0.1           13368          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-resolved
Aug 28 00:22:41.612227 np0000032604 memory_tracker.sh[50622]:          1    0.1           13216          0   00:00:12        1 ep_poll                   /sbin/init nofb
Aug 28 00:22:41.612227 np0000032604 memory_tracker.sh[50622]:      34802    0.1           13028          1   00:00:00        1 do_poll.constprop.0       /sbin/iscsid
Aug 28 00:22:41.612227 np0000032604 memory_tracker.sh[50622]:       2172    0.0           12152       2170   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 28 00:22:41.612227 np0000032604 memory_tracker.sh[50622]:      48594    0.0           11596          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -P /var/run/memcached/memcached.pid
Aug 28 00:22:41.612227 np0000032604 memory_tracker.sh[50622]:       4491    0.0           11148       4483   00:00:00        1 pipe_read                 /usr/bin/python3.10 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-08-28-001804.summary.2025-08-28-001804
