Aug 28 00:22:56.661581 np0000032593 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 28 00:22:56.669263 np0000032593 memory_tracker.sh[45509]: [[[
Aug 28 00:22:56.669974 np0000032593 memory_tracker.sh[45522]: Thu Aug 28 00:22:56 UTC 2025
Aug 28 00:22:56.670091 np0000032593 memory_tracker.sh[45509]: ---
Aug 28 00:22:56.670111 np0000032593 memory_tracker.sh[45509]: memory_tracker low_point: 10826852
Aug 28 00:22:56.670111 np0000032593 memory_tracker.sh[45509]: ---
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: MemTotal:       12245952 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: MemFree:          495564 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: MemAvailable:   10825848 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Buffers:          243520 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Cached:          9773372 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: SwapCached:            4 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Active:           904752 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Inactive:        9728716 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Active(anon):     667860 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Inactive(anon):     1008 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Active(file):     236892 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Inactive(file):  9727708 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Unevictable:      143576 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Mlocked:          142376 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: SwapTotal:       8388604 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: SwapFree:        8388080 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Zswap:               308 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Zswapped:             68 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Dirty:            198100 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Writeback:             0 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: AnonPages:        760176 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Mapped:           166612 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Shmem:             32440 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: KReclaimable:     691360 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Slab:             825796 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: SReclaimable:     691360 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: SUnreclaim:       134436 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: KernelStack:        7872 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: PageTables:         8992 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: SecPageTables:         0 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: NFS_Unstable:          0 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Bounce:                0 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: WritebackTmp:          0 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: CommitLimit:    14511580 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Committed_AS:    2212780 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: VmallocTotal:   13743895347199 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: VmallocUsed:       27084 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: VmallocChunk:          0 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Percpu:             5056 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: HardwareCorrupted:     0 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: AnonHugePages:         0 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: ShmemHugePages:        0 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: ShmemPmdMapped:        0 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: FileHugePages:         0 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: FilePmdMapped:         0 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Unaccepted:            0 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: HugePages_Total:       0
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: HugePages_Free:        0
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: HugePages_Rsvd:        0
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: HugePages_Surp:        0
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Hugepagesize:       2048 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: Hugetlb:               0 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: DirectMap4k:      276332 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: DirectMap2M:    12306432 kB
Aug 28 00:22:56.670789 np0000032593 memory_tracker.sh[45525]: DirectMap1G:     2097152 kB
Aug 28 00:22:56.671562 np0000032593 memory_tracker.sh[45509]: ---
Aug 28 00:22:56.681246 np0000032593 memory_tracker.sh[45528]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 28 00:22:56.681246 np0000032593 memory_tracker.sh[45528]:      44889    3.1          385716          1   00:00:00       38 do_poll.constprop.0       /usr/sbin/mysqld
Aug 28 00:22:56.681246 np0000032593 memory_tracker.sh[45528]:      19569    1.1          137660          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 28 00:22:56.681246 np0000032593 memory_tracker.sh[45528]:      29658    0.9          116020          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 28 00:22:56.681246 np0000032593 memory_tracker.sh[45528]:      44132    0.6           74396          1   00:00:00        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 28 00:22:56.681246 np0000032593 memory_tracker.sh[45528]:      12909    0.3           39764      12907   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 28 00:22:56.681246 np0000032593 memory_tracker.sh[45528]:        364    0.2           26880          1   00:00:08        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 28 00:22:56.681246 np0000032593 memory_tracker.sh[45528]:      43022    0.2           26112          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 28 00:22:56.681246 np0000032593 memory_tracker.sh[45528]:      38083    0.2           25600          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 28 00:22:56.681246 np0000032593 memory_tracker.sh[45528]:       3699    0.2           25144       3698   00:00:00        2 do_wait                   /usr/bin/python3
Aug 28 00:22:56.681597 np0000032593 memory_tracker.sh[45528]:       3493    0.1           20608          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 28 00:22:56.681597 np0000032593 memory_tracker.sh[45528]:       2600    0.1           19740          1   00:01:12        2 inet_csk_accept           /usr/bin/python3
Aug 28 00:22:56.681597 np0000032593 memory_tracker.sh[45528]:      18472    0.1           19456          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 28 00:22:56.681597 np0000032593 memory_tracker.sh[45528]:      43085    0.1           18432          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 28 00:22:56.681597 np0000032593 memory_tracker.sh[45528]:      31973    0.1           15488          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 28 00:22:56.681597 np0000032593 memory_tracker.sh[45528]:      38119    0.1           15232          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 28 00:22:56.681597 np0000032593 memory_tracker.sh[45528]:      33868    0.1           13808          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 28 00:22:56.681597 np0000032593 memory_tracker.sh[45528]:          1    0.1           13600          0   00:00:11        1 ep_poll                   /sbin/init nofb
Aug 28 00:22:56.681597 np0000032593 memory_tracker.sh[45528]:      12907    0.1           12800          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 28 00:22:56.681597 np0000032593 memory_tracker.sh[45528]:        449    0.1           12544          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 28 00:22:56.681597 np0000032593 memory_tracker.sh[45528]:       6059    0.1           12288       3702   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-08-28-001831
Aug 28 00:22:56.681597 np0000032593 memory_tracker.sh[45528]:       6064    0.1           12288       3702   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-08-28-001831.summary.2025-08-28-001831
Aug 28 00:22:56.681597 np0000032593 memory_tracker.sh[45528]:       2458    0.0           11392          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 28 00:22:56.681597 np0000032593 memory_tracker.sh[45528]:       3702    0.0           11136       3700   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 28 00:22:56.681597 np0000032593 memory_tracker.sh[45528]:      40399    0.0           10032       3702   00:00:00        1 do_wait                   bash ./stack.sh
Aug 28 00:22:56.681818 np0000032593 memory_tracker.sh[45528]:        847    0.0            9600          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Aug 28 00:22:56.681818 np0000032593 memory_tracker.sh[45528]:      30142    0.0            8704          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
Aug 28 00:22:56.681818 np0000032593 memory_tracker.sh[45528]:        534    0.0            8576          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
