Aug 07 13:01:09.490511 np0000032416 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 07 13:01:09.498884 np0000032416 memory_tracker.sh[44122]: [[[
Aug 07 13:01:09.499619 np0000032416 memory_tracker.sh[44137]: Thu Aug  7 13:01:09 UTC 2025
Aug 07 13:01:09.499740 np0000032416 memory_tracker.sh[44122]: ---
Aug 07 13:01:09.528576 np0000032416 memory_tracker.sh[44141]: /opt/stack/devstack/tools/mlock_report.py:9: SyntaxWarning: invalid escape sequence '\s'
Aug 07 13:01:09.528576 np0000032416 memory_tracker.sh[44141]:   "^VmLck:\s+(?P<locked>[\d]+)\s+kB", re.MULTILINE)
Aug 07 13:01:09.558942 np0000032416 memory_tracker.sh[44141]: [iscsid (pid:32478)]=14168KB; [multipathd (pid:365)]=288932KB; [ovs-vswitchd (pid:28216)]=901108KB
Aug 07 13:01:09.565046 np0000032416 memory_tracker.sh[44122]: ]]]
Aug 07 13:01:29.570218 np0000032416 memory_tracker.sh[44122]: [[[
Aug 07 13:01:29.570919 np0000032416 memory_tracker.sh[47594]: Thu Aug  7 13:01:29 UTC 2025
Aug 07 13:01:29.571136 np0000032416 memory_tracker.sh[44122]: ---
Aug 07 13:01:29.571136 np0000032416 memory_tracker.sh[44122]: memory_tracker low_point: 10349512
Aug 07 13:01:29.571136 np0000032416 memory_tracker.sh[44122]: ---
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: MemTotal:       12245952 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: MemFree:          257384 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: MemAvailable:   10349516 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Buffers:          280532 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Cached:          9561896 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: SwapCached:            0 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Active:          1340824 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Inactive:        9428740 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Active(anon):    1104220 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Inactive(anon):      760 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Active(file):     236604 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Inactive(file):  9427980 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Unevictable:      143576 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Mlocked:          142376 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: SwapTotal:       8388604 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: SwapFree:        8388080 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Zswap:               324 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Zswapped:             64 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Dirty:             14128 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Writeback:             0 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: AnonPages:       1070860 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Mapped:           192488 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Shmem:            157996 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: KReclaimable:     753224 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Slab:             894648 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: SReclaimable:     753224 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: SUnreclaim:       141424 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: KernelStack:        8720 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: PageTables:        11300 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: SecPageTables:         0 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: NFS_Unstable:          0 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Bounce:                0 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: WritebackTmp:          0 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: CommitLimit:    14511580 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Committed_AS:    2939460 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: VmallocTotal:   13743895347199 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: VmallocUsed:       27900 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: VmallocChunk:          0 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Percpu:             5152 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: HardwareCorrupted:     0 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: AnonHugePages:         0 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: ShmemHugePages:        0 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: ShmemPmdMapped:        0 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: FileHugePages:         0 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: FilePmdMapped:         0 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Unaccepted:            0 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: HugePages_Total:       0
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: HugePages_Free:        0
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: HugePages_Rsvd:        0
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: HugePages_Surp:        0
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Hugepagesize:       2048 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: Hugetlb:               0 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: DirectMap4k:      302956 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: DirectMap2M:    10182656 kB
Aug 07 13:01:29.571814 np0000032416 memory_tracker.sh[47595]: DirectMap1G:     4194304 kB
Aug 07 13:01:29.573189 np0000032416 memory_tracker.sh[44122]: ---
Aug 07 13:01:29.583636 np0000032416 memory_tracker.sh[47597]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 07 13:01:29.583636 np0000032416 memory_tracker.sh[47597]:      43472    3.3          414472          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 07 13:01:29.583636 np0000032416 memory_tracker.sh[47597]:      46413    1.1          135156      46411   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Aug 07 13:01:29.583636 np0000032416 memory_tracker.sh[47597]:      46412    1.0          133860      46411   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 1
Aug 07 13:01:29.583636 np0000032416 memory_tracker.sh[47597]:      18373    1.0          133648          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 07 13:01:29.583636 np0000032416 memory_tracker.sh[47597]:      28216    0.9          115988          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 07 13:01:29.583636 np0000032416 memory_tracker.sh[47597]:      42760    0.8          101028          1   00:00:01        1 -                         /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 07 13:01:29.583636 np0000032416 memory_tracker.sh[47597]:      11723    0.3           40032      11721   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 07 13:01:29.583636 np0000032416 memory_tracker.sh[47597]:        365    0.2           27136          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 07 13:01:29.583636 np0000032416 memory_tracker.sh[47597]:      41645    0.2           26112          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 07 13:01:29.584172 np0000032416 memory_tracker.sh[47597]:       2723    0.2           25756       2722   00:00:00        2 do_wait                   /usr/bin/python3
Aug 07 13:01:29.584172 np0000032416 memory_tracker.sh[47597]:      36693    0.2           25728          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 07 13:01:29.584172 np0000032416 memory_tracker.sh[47597]:      45243    0.1           24064          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000032416 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032416=http://192.168.1.112:2380 --initial-advertise-peer-urls http://192.168.1.112:2380 --advertise-client-urls http://192.168.1.112:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.112:2379 --log-level=debug
Aug 07 13:01:29.584172 np0000032416 memory_tracker.sh[47597]:       2520    0.1           20352          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 07 13:01:29.584172 np0000032416 memory_tracker.sh[47597]:      46411    0.1           19456          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 07 13:01:29.584172 np0000032416 memory_tracker.sh[47597]:      17279    0.1           19328          1   00:00:00        1 -                         /usr/lib/systemd/systemd-journald
Aug 07 13:01:29.584172 np0000032416 memory_tracker.sh[47597]:       1628    0.1           18972          1   00:01:12        2 inet_csk_accept           /usr/bin/python3
Aug 07 13:01:29.584172 np0000032416 memory_tracker.sh[47597]:      41709    0.1           18432          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 07 13:01:29.584172 np0000032416 memory_tracker.sh[47597]:      36730    0.1           15360          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 07 13:01:29.584172 np0000032416 memory_tracker.sh[47597]:      30572    0.1           15232          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 07 13:01:29.584172 np0000032416 memory_tracker.sh[47597]:      46738    0.1           15012      46733   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 07 13:01:29.584172 np0000032416 memory_tracker.sh[47597]:      32478    0.1           13924          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 07 13:01:29.584172 np0000032416 memory_tracker.sh[47597]:          1    0.1           13620          0   00:00:12        1 ep_poll                   /sbin/init nofb
Aug 07 13:01:29.584523 np0000032416 memory_tracker.sh[47597]:      11721    0.1           12800          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 07 13:01:29.584523 np0000032416 memory_tracker.sh[47597]:        410    0.1           12672          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 07 13:01:29.584523 np0000032416 memory_tracker.sh[47597]:      46737    0.1           12580      46733   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 07 13:01:29.584523 np0000032416 memory_tracker.sh[47597]:       4900    0.1           12288       2726   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-08-07-125426
Aug 07 13:01:29.584523 np0000032416 memory_tracker.sh[47597]:       4905    0.1           12288       2726   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-08-07-125426.summary.2025-08-07-125426
Aug 07 13:01:29.584523 np0000032416 memory_tracker.sh[47597]:      46816    0.0           12032          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 07 13:01:29.584523 np0000032416 memory_tracker.sh[47597]:      47389    0.0           11648      47361   00:00:00        1 -                         python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role create anotherrole --or-show -f value -c id
Aug 07 13:01:29.584523 np0000032416 memory_tracker.sh[47597]:      47424    0.0           11520      47407   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create invisible_to_admin --domain=default --or-show -f value -c id
Aug 07 13:01:29.584523 np0000032416 memory_tracker.sh[47597]:       1486    0.0           11264          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 07 13:01:29.584523 np0000032416 memory_tracker.sh[47597]:       2726    0.0           11264       2724   00:00:02        1 pipe_read                 bash ./stack.sh
