Aug 19 10:41:51.480420 np0000032567 systemd[1]: Started Devstack devstack@memory_tracker.service.
Aug 19 10:41:51.487517 np0000032567 memory_tracker.sh[46193]: [[[
Aug 19 10:41:51.488094 np0000032567 memory_tracker.sh[46208]: Tue Aug 19 10:41:51 UTC 2025
Aug 19 10:41:51.488198 np0000032567 memory_tracker.sh[46193]: ---
Aug 19 10:41:51.535183 np0000032567 memory_tracker.sh[46212]: [iscsid (pid:35160)]=13400KB; [multipathd (pid:348)]=289296KB; [ovs-vswitchd (pid:30987)]=899432KB
Aug 19 10:41:51.540281 np0000032567 memory_tracker.sh[46193]: ]]]
Aug 19 10:42:11.544065 np0000032567 memory_tracker.sh[46193]: [[[
Aug 19 10:42:11.544622 np0000032567 memory_tracker.sh[51379]: Tue Aug 19 10:42:11 UTC 2025
Aug 19 10:42:11.544778 np0000032567 memory_tracker.sh[46193]: ---
Aug 19 10:42:11.544778 np0000032567 memory_tracker.sh[46193]: memory_tracker low_point: 10331176
Aug 19 10:42:11.544778 np0000032567 memory_tracker.sh[46193]: ---
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: MemTotal:       12242256 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: MemFree:          260368 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: MemAvailable:   10330420 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: Buffers:          282076 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: Cached:          9569196 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: SwapCached:           28 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: Active:           883988 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: Inactive:        9934120 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: Active(anon):       1996 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: Inactive(anon):  1137312 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: Active(file):     881992 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: Inactive(file):  8796808 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: Unevictable:      141896 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: Mlocked:          141896 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: SwapTotal:       8388604 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: SwapFree:        8387056 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: Dirty:              2732 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: Writeback:             0 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: AnonPages:       1108348 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: Mapped:           193780 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: Shmem:            155180 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: KReclaimable:     716684 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: Slab:             832664 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: SReclaimable:     716684 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: SUnreclaim:       115980 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: KernelStack:        8148 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: PageTables:        10764 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: NFS_Unstable:          0 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: Bounce:                0 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: WritebackTmp:          0 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: CommitLimit:    14509732 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: Committed_AS:    2944176 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: VmallocTotal:   13743895347199 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: VmallocUsed:       23600 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: VmallocChunk:          0 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: Percpu:             4864 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: HardwareCorrupted:     0 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: AnonHugePages:         0 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: ShmemHugePages:        0 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: ShmemPmdMapped:        0 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: FileHugePages:         0 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: FilePmdMapped:         0 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: HugePages_Total:       0
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: HugePages_Free:        0
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: HugePages_Rsvd:        0
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: HugePages_Surp:        0
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: Hugepagesize:       2048 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: Hugetlb:               0 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: DirectMap4k:      313196 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: DirectMap2M:    11220992 kB
Aug 19 10:42:11.545287 np0000032567 memory_tracker.sh[51380]: DirectMap1G:     3145728 kB
Aug 19 10:42:11.546289 np0000032567 memory_tracker.sh[46193]: ---
Aug 19 10:42:11.554335 np0000032567 memory_tracker.sh[51382]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 19 10:42:11.554335 np0000032567 memory_tracker.sh[51382]:      45626    3.3          413444          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 19 10:42:11.554335 np0000032567 memory_tracker.sh[51382]:      48524    1.0          132800      48523   00:00:03        2 -                         keystoneuWSGI worker 1
Aug 19 10:42:11.554335 np0000032567 memory_tracker.sh[51382]:      48525    1.0          131428      48523   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Aug 19 10:42:11.554335 np0000032567 memory_tracker.sh[51382]:      21289    1.0          124792          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-12.2.1/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false
Aug 19 10:42:11.554335 np0000032567 memory_tracker.sh[51382]:      30987    0.9          112864          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 19 10:42:11.554335 np0000032567 memory_tracker.sh[51382]:      44945    0.7           86548          1   00:00:02        1 -                         /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 19 10:42:11.554335 np0000032567 memory_tracker.sh[51382]:      11229    0.3           47936          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 19 10:42:11.554335 np0000032567 memory_tracker.sh[51382]:      11231    0.3           38676      11229   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 19 10:42:11.554335 np0000032567 memory_tracker.sh[51382]:        348    0.2           26840          1   00:00:02        7 futex_wait_queue_me       /sbin/multipathd -d -s
Aug 19 10:42:11.554686 np0000032567 memory_tracker.sh[51382]:      44043    0.2           25464          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 19 10:42:11.554686 np0000032567 memory_tracker.sh[51382]:       2670    0.1           24208       2669   00:00:00        2 do_wait                   /usr/bin/python3
Aug 19 10:42:11.554686 np0000032567 memory_tracker.sh[51382]:      39176    0.1           23984          1   00:00:00       19 do_poll.constprop.0       /usr/sbin/libvirtd
Aug 19 10:42:11.554686 np0000032567 memory_tracker.sh[51382]:      47163    0.1           22912          1   00:00:00       12 futex_wait_queue_me       /opt/stack/bin/etcd --name np0000032567 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032567=http://192.168.1.121:2380 --initial-advertise-peer-urls http://192.168.1.121:2380 --advertise-client-urls http://192.168.1.121:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.121:2379 --log-level=debug
Aug 19 10:42:11.554686 np0000032567 memory_tracker.sh[51382]:      20339    0.1           20900          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-journald
Aug 19 10:42:11.554686 np0000032567 memory_tracker.sh[51382]:        965    0.1           20176          1   00:00:00        3 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 19 10:42:11.554686 np0000032567 memory_tracker.sh[51382]:      44047    0.1           19980      44043   00:00:00        1 ep_poll                   /usr/lib/x86_64-linux-gnu/samba/samba-bgqd --ready-signal-fd=45 --parent-watch-fd=11 --debuglevel=0 -F
Aug 19 10:42:11.554686 np0000032567 memory_tracker.sh[51382]:       1640    0.1           18660          1   00:01:09        2 inet_csk_accept           /usr/bin/python3
Aug 19 10:42:11.554686 np0000032567 memory_tracker.sh[51382]:        497    0.1           18600          1   00:00:00        1 do_poll.constprop.0       /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
Aug 19 10:42:11.554686 np0000032567 memory_tracker.sh[51382]:      48837    0.1           17288      48832   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 19 10:42:11.554686 np0000032567 memory_tracker.sh[51382]:      48838    0.1           17240      48832   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 19 10:42:11.554686 np0000032567 memory_tracker.sh[51382]:      48523    0.1           16648          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 19 10:42:11.554686 np0000032567 memory_tracker.sh[51382]:      44033    0.1           15540          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 19 10:42:11.554940 np0000032567 memory_tracker.sh[51382]:        591    0.1           15396          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Aug 19 10:42:11.554940 np0000032567 memory_tracker.sh[51382]:      39207    0.1           14300          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 19 10:42:11.554940 np0000032567 memory_tracker.sh[51382]:        583    0.1           13432          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-resolved
Aug 19 10:42:11.554940 np0000032567 memory_tracker.sh[51382]:          1    0.1           13312          0   00:00:12        1 ep_poll                   /sbin/init nofb
Aug 19 10:42:11.554940 np0000032567 memory_tracker.sh[51382]:      35160    0.1           13096          1   00:00:00        1 do_poll.constprop.0       /sbin/iscsid
Aug 19 10:42:11.554940 np0000032567 memory_tracker.sh[51382]:       2673    0.0           12128       2671   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 19 10:42:11.554940 np0000032567 memory_tracker.sh[51382]:      48913    0.0           11624          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -P /var/run/memcached/memcached.pid
