Aug 29 09:55:12.044102 np0000032628 systemd[1]: Started Devstack devstack@memory_tracker.service.
Aug 29 09:55:12.050921 np0000032628 memory_tracker.sh[45888]: [[[
Aug 29 09:55:12.051775 np0000032628 memory_tracker.sh[45902]: Fri Aug 29 09:55:12 UTC 2025
Aug 29 09:55:12.051912 np0000032628 memory_tracker.sh[45888]: ---
Aug 29 09:55:12.098060 np0000032628 memory_tracker.sh[45907]: [iscsid (pid:34836)]=13400KB; [multipathd (pid:346)]=289296KB; [ovs-vswitchd (pid:30619)]=899432KB
Aug 29 09:55:12.103445 np0000032628 memory_tracker.sh[45888]: ]]]
Aug 29 09:55:32.108593 np0000032628 memory_tracker.sh[45888]: [[[
Aug 29 09:55:32.109306 np0000032628 memory_tracker.sh[50424]: Fri Aug 29 09:55:32 UTC 2025
Aug 29 09:55:32.110064 np0000032628 memory_tracker.sh[45888]: ---
Aug 29 09:55:32.110064 np0000032628 memory_tracker.sh[45888]: memory_tracker low_point: 10338064
Aug 29 09:55:32.110064 np0000032628 memory_tracker.sh[45888]: ---
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: MemTotal:       12242252 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: MemFree:          259584 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: MemAvailable:   10337560 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: Buffers:          286520 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: Cached:          9565556 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: SwapCached:           16 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: Active:           945500 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: Inactive:        9870548 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: Active(anon):       1672 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: Inactive(anon):  1133868 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: Active(file):     943828 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: Inactive(file):  8736680 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: Unevictable:      141896 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: Mlocked:          141896 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: SwapTotal:       8388604 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: SwapFree:        8387056 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: Dirty:              6244 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: Writeback:             0 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: AnonPages:       1105996 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: Mapped:           196940 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: Shmem:            155148 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: KReclaimable:     722900 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: Slab:             838816 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: SReclaimable:     722900 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: SUnreclaim:       115916 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: KernelStack:        8052 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: PageTables:        10376 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: NFS_Unstable:          0 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: Bounce:                0 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: WritebackTmp:          0 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: CommitLimit:    14509728 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: Committed_AS:    2923796 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: VmallocTotal:   13743895347199 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: VmallocUsed:       23504 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: VmallocChunk:          0 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: Percpu:             4896 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: HardwareCorrupted:     0 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: AnonHugePages:         0 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: ShmemHugePages:        0 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: ShmemPmdMapped:        0 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: FileHugePages:         0 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: FilePmdMapped:         0 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: HugePages_Total:       0
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: HugePages_Free:        0
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: HugePages_Rsvd:        0
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: HugePages_Surp:        0
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: Hugepagesize:       2048 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: Hugetlb:               0 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: DirectMap4k:      290668 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: DirectMap2M:    11243520 kB
Aug 29 09:55:32.110926 np0000032628 memory_tracker.sh[50425]: DirectMap1G:     3145728 kB
Aug 29 09:55:32.113107 np0000032628 memory_tracker.sh[45888]: ---
Aug 29 09:55:32.119459 np0000032628 memory_tracker.sh[50427]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 29 09:55:32.119459 np0000032628 memory_tracker.sh[50427]:      45321    3.3          412956          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 29 09:55:32.119459 np0000032628 memory_tracker.sh[50427]:      48235    1.0          131028      48233   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Aug 29 09:55:32.119459 np0000032628 memory_tracker.sh[50427]:      48234    1.0          129616      48233   00:00:03        2 futex_lock_pi             keystoneuWSGI worker 1
Aug 29 09:55:32.119459 np0000032628 memory_tracker.sh[50427]:      20915    1.0          125300          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-12.2.1/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false
Aug 29 09:55:32.119459 np0000032628 memory_tracker.sh[50427]:      30619    0.9          112848          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 29 09:55:32.119459 np0000032628 memory_tracker.sh[50427]:      44594    0.7           87516          1   00:00:01        1 -                         /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 29 09:55:32.119459 np0000032628 memory_tracker.sh[50427]:      10964    0.3           47620          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 29 09:55:32.119459 np0000032628 memory_tracker.sh[50427]:      10966    0.3           38628      10964   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 29 09:55:32.119459 np0000032628 memory_tracker.sh[50427]:        346    0.2           26840          1   00:00:00        7 futex_wait_queue_me       /sbin/multipathd -d -s
Aug 29 09:55:32.120311 np0000032628 memory_tracker.sh[50427]:      43733    0.2           25472          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 29 09:55:32.120311 np0000032628 memory_tracker.sh[50427]:      39051    0.1           23848          1   00:00:00       19 do_poll.constprop.0       /usr/sbin/libvirtd
Aug 29 09:55:32.120311 np0000032628 memory_tracker.sh[50427]:       2199    0.1           23712       2198   00:00:00        2 do_wait                   /usr/bin/python3
Aug 29 09:55:32.120311 np0000032628 memory_tracker.sh[50427]:      46868    0.1           22340          1   00:00:00       12 futex_wait_queue_me       /opt/stack/bin/etcd --name np0000032628 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032628=http://192.168.1.133:2380 --initial-advertise-peer-urls http://192.168.1.133:2380 --advertise-client-urls http://192.168.1.133:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.133:2379 --log-level=debug
Aug 29 09:55:32.120311 np0000032628 memory_tracker.sh[50427]:      19965    0.1           20368          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-journald
Aug 29 09:55:32.120311 np0000032628 memory_tracker.sh[50427]:        962    0.1           20312          1   00:00:00        3 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 29 09:55:32.120311 np0000032628 memory_tracker.sh[50427]:      43737    0.1           19956      43733   00:00:00        1 ep_poll                   /usr/lib/x86_64-linux-gnu/samba/samba-bgqd --ready-signal-fd=45 --parent-watch-fd=11 --debuglevel=0 -F
Aug 29 09:55:32.120311 np0000032628 memory_tracker.sh[50427]:        494    0.1           18780          1   00:00:00        1 do_poll.constprop.0       /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
Aug 29 09:55:32.120311 np0000032628 memory_tracker.sh[50427]:       1175    0.1           18728          1   00:01:10        2 inet_csk_accept           /usr/bin/python3
Aug 29 09:55:32.120311 np0000032628 memory_tracker.sh[50427]:      48233    0.1           16976          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 29 09:55:32.120311 np0000032628 memory_tracker.sh[50427]:        588    0.1           15528          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Aug 29 09:55:32.120311 np0000032628 memory_tracker.sh[50427]:      43723    0.1           15464          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 29 09:55:32.120311 np0000032628 memory_tracker.sh[50427]:      39082    0.1           14376          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 29 09:55:32.120719 np0000032628 memory_tracker.sh[50427]:          1    0.1           13160          0   00:00:12        1 ep_poll                   /sbin/init nofb
Aug 29 09:55:32.120719 np0000032628 memory_tracker.sh[50427]:        580    0.1           13140          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-resolved
Aug 29 09:55:32.120719 np0000032628 memory_tracker.sh[50427]:      34836    0.1           13128          1   00:00:00        1 do_poll.constprop.0       /sbin/iscsid
Aug 29 09:55:32.120719 np0000032628 memory_tracker.sh[50427]:       2202    0.0           12180       2200   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 29 09:55:32.120719 np0000032628 memory_tracker.sh[50427]:      48626    0.0           11608          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -P /var/run/memcached/memcached.pid
Aug 29 09:55:32.120719 np0000032628 memory_tracker.sh[50427]:      48551    0.0           11048      48545   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 29 09:55:32.120719 np0000032628 memory_tracker.sh[50427]:       4521    0.0           10940       4514   00:00:00        1 pipe_read                 /usr/bin/python3.10 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-08-29-095049.summary.2025-08-29-095049
