Aug 25 16:03:37.527998 np0000032576 systemd[1]: Started Devstack devstack@memory_tracker.service.
Aug 25 16:03:37.534909 np0000032576 memory_tracker.sh[45862]: [[[
Aug 25 16:03:37.535284 np0000032576 memory_tracker.sh[45877]: Mon Aug 25 16:03:37 UTC 2025
Aug 25 16:03:37.535406 np0000032576 memory_tracker.sh[45862]: ---
Aug 25 16:03:37.585893 np0000032576 memory_tracker.sh[45880]: [iscsid (pid:34862)]=13400KB; [multipathd (pid:347)]=289296KB; [ovs-vswitchd (pid:30645)]=899428KB
Aug 25 16:03:37.591611 np0000032576 memory_tracker.sh[45862]: ]]]
Aug 25 16:03:57.595699 np0000032576 memory_tracker.sh[45862]: [[[
Aug 25 16:03:57.596299 np0000032576 memory_tracker.sh[50681]: Mon Aug 25 16:03:57 UTC 2025
Aug 25 16:03:57.596467 np0000032576 memory_tracker.sh[45862]: ---
Aug 25 16:03:57.596467 np0000032576 memory_tracker.sh[45862]: memory_tracker low_point: 10334444
Aug 25 16:03:57.596467 np0000032576 memory_tracker.sh[45862]: ---
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: MemTotal:       12242256 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: MemFree:          255880 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: MemAvailable:   10334688 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: Buffers:          276592 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: Cached:          9578148 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: SwapCached:           28 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: Active:           952216 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: Inactive:        9867864 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: Active(anon):       1888 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: Inactive(anon):  1136400 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: Active(file):     950328 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: Inactive(file):  8731464 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: Unevictable:      141892 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: Mlocked:          141892 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: SwapTotal:       8388604 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: SwapFree:        8387312 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: Dirty:              6304 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: Writeback:             0 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: AnonPages:       1107348 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: Mapped:           198000 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: Shmem:            155160 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: KReclaimable:     722448 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: Slab:             838768 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: SReclaimable:     722448 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: SUnreclaim:       116320 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: KernelStack:        8112 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: PageTables:        10608 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: NFS_Unstable:          0 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: Bounce:                0 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: WritebackTmp:          0 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: CommitLimit:    14509732 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: Committed_AS:    2922296 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: VmallocTotal:   13743895347199 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: VmallocUsed:       23520 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: VmallocChunk:          0 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: Percpu:             4864 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: HardwareCorrupted:     0 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: AnonHugePages:         0 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: ShmemHugePages:        0 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: ShmemPmdMapped:        0 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: FileHugePages:         0 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: FilePmdMapped:         0 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: HugePages_Total:       0
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: HugePages_Free:        0
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: HugePages_Rsvd:        0
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: HugePages_Surp:        0
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: Hugepagesize:       2048 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: Hugetlb:               0 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: DirectMap4k:      298860 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: DirectMap2M:    12283904 kB
Aug 25 16:03:57.597015 np0000032576 memory_tracker.sh[50682]: DirectMap1G:     2097152 kB
Aug 25 16:03:57.597873 np0000032576 memory_tracker.sh[45862]: ---
Aug 25 16:03:57.604842 np0000032576 memory_tracker.sh[50684]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 25 16:03:57.604842 np0000032576 memory_tracker.sh[50684]:      45295    3.3          413196          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 25 16:03:57.604842 np0000032576 memory_tracker.sh[50684]:      48187    1.0          132844      48186   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 25 16:03:57.604842 np0000032576 memory_tracker.sh[50684]:      48188    1.0          131412      48186   00:00:03        2 -                         keystoneuWSGI worker 2
Aug 25 16:03:57.604842 np0000032576 memory_tracker.sh[50684]:      20947    1.0          125708          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-12.2.1/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false
Aug 25 16:03:57.604842 np0000032576 memory_tracker.sh[50684]:      30645    0.9          112872          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 25 16:03:57.604842 np0000032576 memory_tracker.sh[50684]:      44606    0.6           85668          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 25 16:03:57.604842 np0000032576 memory_tracker.sh[50684]:      10913    0.3           48044          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 25 16:03:57.604842 np0000032576 memory_tracker.sh[50684]:      10915    0.3           38832      10913   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 25 16:03:57.604842 np0000032576 memory_tracker.sh[50684]:        347    0.2           26840          1   00:00:00        7 futex_wait_queue_me       /sbin/multipathd -d -s
Aug 25 16:03:57.605179 np0000032576 memory_tracker.sh[50684]:      43787    0.2           25440          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 25 16:03:57.605179 np0000032576 memory_tracker.sh[50684]:       2186    0.1           23964       2185   00:00:00        2 do_wait                   /usr/bin/python3
Aug 25 16:03:57.605179 np0000032576 memory_tracker.sh[50684]:      38835    0.1           23796          1   00:00:00       19 do_poll.constprop.0       /usr/sbin/libvirtd
Aug 25 16:03:57.605179 np0000032576 memory_tracker.sh[50684]:      46825    0.1           21884          1   00:00:00       12 futex_wait_queue_me       /opt/stack/bin/etcd --name np0000032576 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032576=http://192.168.1.120:2380 --initial-advertise-peer-urls http://192.168.1.120:2380 --advertise-client-urls http://192.168.1.120:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.120:2379 --log-level=debug
Aug 25 16:03:57.605179 np0000032576 memory_tracker.sh[50684]:      19997    0.1           20552          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-journald
Aug 25 16:03:57.605179 np0000032576 memory_tracker.sh[50684]:        967    0.1           20032          1   00:00:00        3 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 25 16:03:57.605179 np0000032576 memory_tracker.sh[50684]:      43791    0.1           19844      43787   00:00:00        1 ep_poll                   /usr/lib/x86_64-linux-gnu/samba/samba-bgqd --ready-signal-fd=45 --parent-watch-fd=11 --debuglevel=0 -F
Aug 25 16:03:57.605179 np0000032576 memory_tracker.sh[50684]:        494    0.1           18896          1   00:00:00        1 do_poll.constprop.0       /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
Aug 25 16:03:57.605179 np0000032576 memory_tracker.sh[50684]:       1158    0.1           18552          1   00:01:09        2 inet_csk_accept           /usr/bin/python3
Aug 25 16:03:57.605179 np0000032576 memory_tracker.sh[50684]:      48500    0.1           18124      48494   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 25 16:03:57.605179 np0000032576 memory_tracker.sh[50684]:      48499    0.1           17532      48494   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 25 16:03:57.605179 np0000032576 memory_tracker.sh[50684]:      48186    0.1           16696          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 25 16:03:57.605179 np0000032576 memory_tracker.sh[50684]:        590    0.1           15764          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Aug 25 16:03:57.605409 np0000032576 memory_tracker.sh[50684]:      43777    0.1           15596          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 25 16:03:57.605409 np0000032576 memory_tracker.sh[50684]:      38867    0.1           14348          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 25 16:03:57.605409 np0000032576 memory_tracker.sh[50684]:        582    0.1           13408          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-resolved
Aug 25 16:03:57.605409 np0000032576 memory_tracker.sh[50684]:          1    0.1           13192          0   00:00:12        1 ep_poll                   /sbin/init nofb
Aug 25 16:03:57.605409 np0000032576 memory_tracker.sh[50684]:      34862    0.1           13096          1   00:00:00        1 do_poll.constprop.0       /sbin/iscsid
Aug 25 16:03:57.605409 np0000032576 memory_tracker.sh[50684]:       2189    0.0           12208       2187   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 25 16:03:57.605409 np0000032576 memory_tracker.sh[50684]:      48575    0.0           11600          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -P /var/run/memcached/memcached.pid
