Jul 29 15:13:10.956576 np0000031957 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 29 15:13:10.964358 np0000031957 memory_tracker.sh[44000]: [[[
Jul 29 15:13:10.965059 np0000031957 memory_tracker.sh[44015]: Tue Jul 29 15:13:10 UTC 2025
Jul 29 15:13:10.965165 np0000031957 memory_tracker.sh[44000]: ---
Jul 29 15:13:10.992416 np0000031957 memory_tracker.sh[44019]: /opt/stack/devstack/tools/mlock_report.py:9: SyntaxWarning: invalid escape sequence '\s'
Jul 29 15:13:10.992416 np0000031957 memory_tracker.sh[44019]:   "^VmLck:\s+(?P<locked>[\d]+)\s+kB", re.MULTILINE)
Jul 29 15:13:11.020012 np0000031957 memory_tracker.sh[44019]: [iscsid (pid:32423)]=14168KB; [multipathd (pid:366)]=288932KB; [ovs-vswitchd (pid:28155)]=901112KB
Jul 29 15:13:11.025559 np0000031957 memory_tracker.sh[44000]: ]]]
Jul 29 15:13:31.030292 np0000031957 memory_tracker.sh[44000]: [[[
Jul 29 15:13:31.030974 np0000031957 memory_tracker.sh[48532]: Tue Jul 29 15:13:31 UTC 2025
Jul 29 15:13:31.031119 np0000031957 memory_tracker.sh[44000]: ---
Jul 29 15:13:31.031119 np0000031957 memory_tracker.sh[44000]: memory_tracker low_point: 10292864
Jul 29 15:13:31.031119 np0000031957 memory_tracker.sh[44000]: ---
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: MemTotal:       12245960 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: MemFree:          267656 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: MemAvailable:   10292864 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Buffers:          233440 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Cached:          9560052 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: SwapCached:            4 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Active:          1337004 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Inactive:        9401920 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Active(anon):    1122476 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Inactive(anon):      816 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Active(file):     214528 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Inactive(file):  9401104 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Unevictable:      143580 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Mlocked:          142380 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: SwapTotal:       8388604 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: SwapFree:        8388336 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Zswap:               280 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Zswapped:             68 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Dirty:              8444 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Writeback:             0 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: AnonPages:       1089160 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Mapped:           193088 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Shmem:            158012 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: KReclaimable:     735252 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Slab:             875376 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: SReclaimable:     735252 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: SUnreclaim:       140124 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: KernelStack:        8704 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: PageTables:        11404 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: SecPageTables:         0 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: NFS_Unstable:          0 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Bounce:                0 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: WritebackTmp:          0 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: CommitLimit:    14511584 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Committed_AS:    2965968 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: VmallocTotal:   13743895347199 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: VmallocUsed:       27884 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: VmallocChunk:          0 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Percpu:             5152 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: HardwareCorrupted:     0 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: AnonHugePages:         0 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: ShmemHugePages:        0 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: ShmemPmdMapped:        0 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: FileHugePages:         0 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: FilePmdMapped:         0 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Unaccepted:            0 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: HugePages_Total:       0
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: HugePages_Free:        0
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: HugePages_Rsvd:        0
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: HugePages_Surp:        0
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Hugepagesize:       2048 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: Hugetlb:               0 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: DirectMap4k:      313196 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: DirectMap2M:    10172416 kB
Jul 29 15:13:31.031805 np0000031957 memory_tracker.sh[48533]: DirectMap1G:     4194304 kB
Jul 29 15:13:31.032613 np0000031957 memory_tracker.sh[44000]: ---
Jul 29 15:13:31.043143 np0000031957 memory_tracker.sh[48535]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 29 15:13:31.043143 np0000031957 memory_tracker.sh[48535]:      43352    3.3          415368          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 29 15:13:31.043143 np0000031957 memory_tracker.sh[48535]:      46330    1.1          135052      46328   00:00:03        2 -                         keystoneuWSGI worker 2
Jul 29 15:13:31.043143 np0000031957 memory_tracker.sh[48535]:      18319    1.0          134324          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 29 15:13:31.043143 np0000031957 memory_tracker.sh[48535]:      46329    1.0          133780      46328   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Jul 29 15:13:31.043143 np0000031957 memory_tracker.sh[48535]:      28155    0.9          115964          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 29 15:13:31.043143 np0000031957 memory_tracker.sh[48535]:      42644    0.8          100912          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 29 15:13:31.043143 np0000031957 memory_tracker.sh[48535]:      11719    0.3           40224      11717   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 29 15:13:31.043143 np0000031957 memory_tracker.sh[48535]:        366    0.2           27008          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 29 15:13:31.043143 np0000031957 memory_tracker.sh[48535]:      36639    0.2           26112          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 29 15:13:31.043670 np0000031957 memory_tracker.sh[48535]:      41417    0.2           25984          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Jul 29 15:13:31.043670 np0000031957 memory_tracker.sh[48535]:       2720    0.2           25388       2719   00:00:00        2 do_wait                   /usr/bin/python3
Jul 29 15:13:31.043670 np0000031957 memory_tracker.sh[48535]:      45118    0.1           24316          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000031957 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000031957=http://192.168.1.120:2380 --initial-advertise-peer-urls http://192.168.1.120:2380 --advertise-client-urls http://192.168.1.120:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.120:2379 --log-level=debug
Jul 29 15:13:31.043670 np0000031957 memory_tracker.sh[48535]:      15731    0.1           20480          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 29 15:13:31.043670 np0000031957 memory_tracker.sh[48535]:       1629    0.1           19784          1   00:01:12        2 inet_csk_accept           /usr/bin/python3
Jul 29 15:13:31.043670 np0000031957 memory_tracker.sh[48535]:      17227    0.1           19584          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 29 15:13:31.043670 np0000031957 memory_tracker.sh[48535]:      46328    0.1           19328          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 29 15:13:31.043670 np0000031957 memory_tracker.sh[48535]:      41496    0.1           18432          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Jul 29 15:13:31.043670 np0000031957 memory_tracker.sh[48535]:      30473    0.1           15232          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 29 15:13:31.043670 np0000031957 memory_tracker.sh[48535]:      36675    0.1           15232          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 29 15:13:31.043670 np0000031957 memory_tracker.sh[48535]:      46659    0.1           14808      46654   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 29 15:13:31.043670 np0000031957 memory_tracker.sh[48535]:      46658    0.1           14296      46654   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 29 15:13:31.043670 np0000031957 memory_tracker.sh[48535]:      32423    0.1           13860          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 29 15:13:31.043670 np0000031957 memory_tracker.sh[48535]:          1    0.1           13348          0   00:00:11        1 ep_poll                   /sbin/init nofb
Jul 29 15:13:31.043886 np0000031957 memory_tracker.sh[48535]:      11717    0.1           13056          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 29 15:13:31.043886 np0000031957 memory_tracker.sh[48535]:        410    0.1           12672          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 29 15:13:31.043886 np0000031957 memory_tracker.sh[48535]:       4906    0.1           12288       2723   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-07-29-150148
Jul 29 15:13:31.043886 np0000031957 memory_tracker.sh[48535]:       4911    0.1           12288       2723   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-07-29-150148.summary.2025-07-29-150148
Jul 29 15:13:31.043886 np0000031957 memory_tracker.sh[48535]:      46737    0.1           12288          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 29 15:13:31.043886 np0000031957 memory_tracker.sh[48535]:      48443    0.0           11520      48394   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role add member --user 7083450ffd82434fa8e6552398587d7b --project cc98eb9ac98e4847ae71838b6263fb37
Jul 29 15:13:31.043886 np0000031957 memory_tracker.sh[48535]:      48474    0.0           11520      48457   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin user create demo_reader --password secretadmin --domain=default --email=demo_reader@example.com --or-show -f value -c id
