Jul 29 13:59:01.427864 np0000031956 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 29 13:59:01.436070 np0000031956 memory_tracker.sh[44127]: [[[
Jul 29 13:59:01.437015 np0000031956 memory_tracker.sh[44141]: Tue Jul 29 13:59:01 UTC 2025
Jul 29 13:59:01.437148 np0000031956 memory_tracker.sh[44127]: ---
Jul 29 13:59:01.465115 np0000031956 memory_tracker.sh[44145]: /opt/stack/devstack/tools/mlock_report.py:9: SyntaxWarning: invalid escape sequence '\s'
Jul 29 13:59:01.465115 np0000031956 memory_tracker.sh[44145]:   "^VmLck:\s+(?P<locked>[\d]+)\s+kB", re.MULTILINE)
Jul 29 13:59:01.493364 np0000031956 memory_tracker.sh[44145]: [iscsid (pid:32510)]=14168KB; [multipathd (pid:358)]=288932KB; [ovs-vswitchd (pid:28125)]=901112KB
Jul 29 13:59:01.498911 np0000031956 memory_tracker.sh[44127]: ]]]
Jul 29 13:59:21.503439 np0000031956 memory_tracker.sh[44127]: [[[
Jul 29 13:59:21.504141 np0000031956 memory_tracker.sh[47800]: Tue Jul 29 13:59:21 UTC 2025
Jul 29 13:59:21.504530 np0000031956 memory_tracker.sh[44127]: ---
Jul 29 13:59:21.504530 np0000031956 memory_tracker.sh[44127]: memory_tracker low_point: 10345556
Jul 29 13:59:21.504530 np0000031956 memory_tracker.sh[44127]: ---
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: MemTotal:       12245956 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: MemFree:          350252 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: MemAvailable:   10345556 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Buffers:          230956 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Cached:          9527832 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: SwapCached:            4 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Active:          1217716 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Inactive:        9462228 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Active(anon):     972948 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Inactive(anon):   126060 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Active(file):     244768 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Inactive(file):  9336168 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Unevictable:      143580 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Mlocked:          142380 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: SwapTotal:       8388604 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: SwapFree:        8388336 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Zswap:               336 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Zswapped:             68 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Dirty:             32572 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Writeback:             0 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: AnonPages:       1064644 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Mapped:           192744 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Shmem:            158004 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: KReclaimable:     740044 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Slab:             880456 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: SReclaimable:     740044 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: SUnreclaim:       140412 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: KernelStack:        8484 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: PageTables:        11384 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: SecPageTables:         0 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: NFS_Unstable:          0 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Bounce:                0 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: WritebackTmp:          0 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: CommitLimit:    14511580 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Committed_AS:    2913812 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: VmallocTotal:   13743895347199 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: VmallocUsed:       27692 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: VmallocChunk:          0 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Percpu:             5152 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: HardwareCorrupted:     0 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: AnonHugePages:         0 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: ShmemHugePages:        0 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: ShmemPmdMapped:        0 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: FileHugePages:         0 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: FilePmdMapped:         0 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Unaccepted:            0 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: HugePages_Total:       0
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: HugePages_Free:        0
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: HugePages_Rsvd:        0
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: HugePages_Surp:        0
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Hugepagesize:       2048 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: Hugetlb:               0 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: DirectMap4k:      300908 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: DirectMap2M:     8087552 kB
Jul 29 13:59:21.505108 np0000031956 memory_tracker.sh[47802]: DirectMap1G:     6291456 kB
Jul 29 13:59:21.505974 np0000031956 memory_tracker.sh[44127]: ---
Jul 29 13:59:21.516112 np0000031956 memory_tracker.sh[47804]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 29 13:59:21.516112 np0000031956 memory_tracker.sh[47804]:      43479    3.3          414760          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Jul 29 13:59:21.516112 np0000031956 memory_tracker.sh[47804]:      18284    1.1          136864          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 29 13:59:21.516112 np0000031956 memory_tracker.sh[47804]:      46411    1.1          135280      46410   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Jul 29 13:59:21.516112 np0000031956 memory_tracker.sh[47804]:      46412    1.0          134160      46410   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 2
Jul 29 13:59:21.516112 np0000031956 memory_tracker.sh[47804]:      28125    0.9          115836          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 29 13:59:21.516112 np0000031956 memory_tracker.sh[47804]:      42769    0.8          100424          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 29 13:59:21.516112 np0000031956 memory_tracker.sh[47804]:      11678    0.3           40148      11676   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 29 13:59:21.516112 np0000031956 memory_tracker.sh[47804]:        358    0.2           27008          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 29 13:59:21.516112 np0000031956 memory_tracker.sh[47804]:      41544    0.2           25984          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Jul 29 13:59:21.516474 np0000031956 memory_tracker.sh[47804]:      36726    0.2           25856          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 29 13:59:21.516474 np0000031956 memory_tracker.sh[47804]:       2689    0.2           25264       2688   00:00:00        2 do_wait                   /usr/bin/python3
Jul 29 13:59:21.516474 np0000031956 memory_tracker.sh[47804]:      45245    0.1           24064          1   00:00:00       11 futex_wait_queue          /opt/stack/bin/etcd --name np0000031956 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000031956=http://192.168.1.110:2380 --initial-advertise-peer-urls http://192.168.1.110:2380 --advertise-client-urls http://192.168.1.110:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.110:2379 --log-level=debug
Jul 29 13:59:21.516474 np0000031956 memory_tracker.sh[47804]:       2491    0.1           20736          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 29 13:59:21.516474 np0000031956 memory_tracker.sh[47804]:      46410    0.1           19456          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 29 13:59:21.516474 np0000031956 memory_tracker.sh[47804]:       1601    0.1           19320          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Jul 29 13:59:21.516474 np0000031956 memory_tracker.sh[47804]:      17191    0.1           19200          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 29 13:59:21.516474 np0000031956 memory_tracker.sh[47804]:      41623    0.1           18432          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Jul 29 13:59:21.516474 np0000031956 memory_tracker.sh[47804]:      36762    0.1           15360          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 29 13:59:21.516474 np0000031956 memory_tracker.sh[47804]:      30660    0.1           15232          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 29 13:59:21.516474 np0000031956 memory_tracker.sh[47804]:      46737    0.1           15012      46731   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 29 13:59:21.516474 np0000031956 memory_tracker.sh[47804]:      32510    0.1           13900          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 29 13:59:21.516474 np0000031956 memory_tracker.sh[47804]:          1    0.1           13516          0   00:00:11        1 ep_poll                   /sbin/init nofb
Jul 29 13:59:21.516474 np0000031956 memory_tracker.sh[47804]:      46735    0.1           13092      46731   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 29 13:59:21.516710 np0000031956 memory_tracker.sh[47804]:      11676    0.1           12928          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 29 13:59:21.516710 np0000031956 memory_tracker.sh[47804]:        402    0.1           12544          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 29 13:59:21.516710 np0000031956 memory_tracker.sh[47804]:       4875    0.1           12288       2692   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-07-29-134930
Jul 29 13:59:21.516710 np0000031956 memory_tracker.sh[47804]:       4880    0.1           12288       2692   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-07-29-134930.summary.2025-07-29-134930
Jul 29 13:59:21.516710 np0000031956 memory_tracker.sh[47804]:      46814    0.0           12160          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 29 13:59:21.516710 np0000031956 memory_tracker.sh[47804]:       2692    0.0           11648       2690   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 29 13:59:21.516710 np0000031956 memory_tracker.sh[47804]:       1458    0.0           11392          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 29 13:59:21.516710 np0000031956 memory_tracker.sh[47804]:      47064    0.0           10000       2692   00:00:00        1 do_wait                   bash ./stack.sh
Jul 29 13:59:21.516710 np0000031956 memory_tracker.sh[47804]:      47158    0.0           10000       2692   00:00:00        1 do_wait                   bash ./stack.sh
Jul 29 13:59:21.516710 np0000031956 memory_tracker.sh[47804]:      47252    0.0           10000       2692   00:00:00        1 do_wait                   bash ./stack.sh
