192.168.1.129 - - [26/Aug/2025:08:19:12 +0000] "GET /identity/v3/ HTTP/1.1" 200 504 "-" "curl/7.81.0"
192.168.1.129 - - [26/Aug/2025:08:19:16 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:16 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:17 +0000] "GET /identity/v3/auth/tokens HTTP/1.1" 200 1428 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:17 +0000] "GET /identity/v3/projects/8a125096b947442cacb05fb900619095 HTTP/1.1" 200 593 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:17 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:17 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:17 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:17 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 604 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:17 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:17 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:17 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:17 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:17 +0000] "GET /identity/v3/users/219e0eae69e642589725ba109b884c33 HTTP/1.1" 200 496 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:17 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:17 +0000] "PUT /identity/v3/domains/default/users/219e0eae69e642589725ba109b884c33/roles/83a0ce6538f4445a98160fb7b249b415 HTTP/1.1" 204 201 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:17 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:17 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:17 +0000] "POST /identity/v3/domains HTTP/1.1" 409 442 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:17 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:17 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 560 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:17 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:17 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "GET /identity/v3/users/219e0eae69e642589725ba109b884c33 HTTP/1.1" 200 496 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "GET /identity/v3/role_assignments?role.id=83a0ce6538f4445a98160fb7b249b415&scope.domain.id=default&user.id=219e0eae69e642589725ba109b884c33 HTTP/1.1" 200 782 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 560 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "POST /identity/v3/projects HTTP/1.1" 201 555 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "POST /identity/v3/roles HTTP/1.1" 409 392 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "GET /identity/v3/roles/service HTTP/1.1" 404 337 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "GET /identity/v3/roles?name=service HTTP/1.1" 200 595 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "POST /identity/v3/roles HTTP/1.1" 201 479 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "POST /identity/v3/roles HTTP/1.1" 201 477 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:18 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:19 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:19 +0000] "POST /identity/v3/projects HTTP/1.1" 201 566 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:19 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:19 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:19 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:19 +0000] "POST /identity/v3/projects HTTP/1.1" 201 552 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:19 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:19 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:19 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:19 +0000] "POST /identity/v3/users HTTP/1.1" 201 529 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:19 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:19 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:19 +0000] "GET /identity/v3/roles/member HTTP/1.1" 404 336 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:20 +0000] "GET /identity/v3/roles?name=member HTTP/1.1" 200 593 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:20 +0000] "GET /identity/v3/users/0e51816496704c78a3376cf6a02b2e9a HTTP/1.1" 200 524 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:20 +0000] "GET /identity/v3/projects/d62abe7f59984448a317b213c926271d HTTP/1.1" 200 547 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:20 +0000] "PUT /identity/v3/projects/d62abe7f59984448a317b213c926271d/users/0e51816496704c78a3376cf6a02b2e9a/roles/4e592ee2f4944ed0b96fab00cd2cc15a HTTP/1.1" 204 201 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:20 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:20 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:20 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:20 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:20 +0000] "GET /identity/v3/users/219e0eae69e642589725ba109b884c33 HTTP/1.1" 200 496 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:20 +0000] "GET /identity/v3/projects/d62abe7f59984448a317b213c926271d HTTP/1.1" 200 547 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:20 +0000] "PUT /identity/v3/projects/d62abe7f59984448a317b213c926271d/users/219e0eae69e642589725ba109b884c33/roles/83a0ce6538f4445a98160fb7b249b415 HTTP/1.1" 204 201 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:20 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:20 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:20 +0000] "GET /identity/v3/roles/anotherrole HTTP/1.1" 404 341 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:20 +0000] "GET /identity/v3/roles?name=anotherrole HTTP/1.1" 200 586 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:20 +0000] "GET /identity/v3/users/0e51816496704c78a3376cf6a02b2e9a HTTP/1.1" 200 524 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:20 +0000] "GET /identity/v3/projects/d62abe7f59984448a317b213c926271d HTTP/1.1" 200 547 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:20 +0000] "PUT /identity/v3/projects/d62abe7f59984448a317b213c926271d/users/0e51816496704c78a3376cf6a02b2e9a/roles/74efd67188d048c0a6c5df797bb0789c HTTP/1.1" 204 201 "-" "python-keystoneclient"
192.168.1.129 - - [26/Aug/2025:08:19:20 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.129 - - [26/Aug/2025:08:19:20 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
