Aug 26 04:26:58.794772 np0000032578 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 26 04:26:58.802641 np0000032578 memory_tracker.sh[44850]: [[[
Aug 26 04:26:58.803598 np0000032578 memory_tracker.sh[44864]: Tue Aug 26 04:26:58 UTC 2025
Aug 26 04:26:58.803679 np0000032578 memory_tracker.sh[44850]: ---
Aug 26 04:26:58.831603 np0000032578 memory_tracker.sh[44868]: /opt/stack/devstack/tools/mlock_report.py:9: SyntaxWarning: invalid escape sequence '\s'
Aug 26 04:26:58.831603 np0000032578 memory_tracker.sh[44868]:   "^VmLck:\s+(?P<locked>[\d]+)\s+kB", re.MULTILINE)
Aug 26 04:26:58.858796 np0000032578 memory_tracker.sh[44868]: [iscsid (pid:33236)]=14168KB; [multipathd (pid:363)]=288932KB; [ovs-vswitchd (pid:29027)]=901108KB
Aug 26 04:26:58.864405 np0000032578 memory_tracker.sh[44850]: ]]]
Aug 26 04:27:18.869678 np0000032578 memory_tracker.sh[44850]: [[[
Aug 26 04:27:18.870397 np0000032578 memory_tracker.sh[49601]: Tue Aug 26 04:27:18 UTC 2025
Aug 26 04:27:18.870553 np0000032578 memory_tracker.sh[44850]: ---
Aug 26 04:27:18.870553 np0000032578 memory_tracker.sh[44850]: memory_tracker low_point: 10337652
Aug 26 04:27:18.870553 np0000032578 memory_tracker.sh[44850]: ---
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: MemTotal:       12245952 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: MemFree:          343728 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: MemAvailable:   10337152 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Buffers:          270824 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Cached:          9492308 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: SwapCached:            4 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Active:          1290872 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Inactive:        9408020 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Active(anon):    1112788 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Inactive(anon):      844 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Active(file):     178084 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Inactive(file):  9407176 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Unevictable:      143576 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Mlocked:          142376 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: SwapTotal:       8388604 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: SwapFree:        8388336 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Zswap:               336 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Zswapped:             68 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Dirty:              7136 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Writeback:             0 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: AnonPages:       1079224 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Mapped:           199384 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Shmem:            158008 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: KReclaimable:     734028 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Slab:             873796 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: SReclaimable:     734028 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: SUnreclaim:       139768 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: KernelStack:        8720 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: PageTables:        11136 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: SecPageTables:         0 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: NFS_Unstable:          0 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Bounce:                0 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: WritebackTmp:          0 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: CommitLimit:    14511580 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Committed_AS:    2924256 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: VmallocTotal:   13743895347199 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: VmallocUsed:       27900 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: VmallocChunk:          0 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Percpu:             5152 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: HardwareCorrupted:     0 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: AnonHugePages:         0 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: ShmemHugePages:        0 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: ShmemPmdMapped:        0 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: FileHugePages:         0 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: FilePmdMapped:         0 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Unaccepted:            0 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: HugePages_Total:       0
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: HugePages_Free:        0
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: HugePages_Rsvd:        0
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: HugePages_Surp:        0
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Hugepagesize:       2048 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: Hugetlb:               0 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: DirectMap4k:      284524 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: DirectMap2M:    10201088 kB
Aug 26 04:27:18.871223 np0000032578 memory_tracker.sh[49602]: DirectMap1G:     4194304 kB
Aug 26 04:27:18.872056 np0000032578 memory_tracker.sh[44850]: ---
Aug 26 04:27:18.882564 np0000032578 memory_tracker.sh[49604]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 26 04:27:18.882564 np0000032578 memory_tracker.sh[49604]:      44230    3.3          415016          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 26 04:27:18.882564 np0000032578 memory_tracker.sh[49604]:      47440    1.1          135900      47439   00:00:03        2 -                         keystoneuWSGI worker 1
Aug 26 04:27:18.882564 np0000032578 memory_tracker.sh[49604]:      47441    1.0          134364      47439   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Aug 26 04:27:18.882564 np0000032578 memory_tracker.sh[49604]:      18937    1.0          133844          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 26 04:27:18.882564 np0000032578 memory_tracker.sh[49604]:      29027    0.9          115964          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 26 04:27:18.882564 np0000032578 memory_tracker.sh[49604]:      43517    0.7           92584          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 26 04:27:18.882564 np0000032578 memory_tracker.sh[49604]:      12283    0.3           40092      12281   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 26 04:27:18.882564 np0000032578 memory_tracker.sh[49604]:        363    0.2           27008          1   00:00:01        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 26 04:27:18.882564 np0000032578 memory_tracker.sh[49604]:      42337    0.2           26240          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 26 04:27:18.882896 np0000032578 memory_tracker.sh[49604]:      37449    0.2           25600          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 26 04:27:18.882896 np0000032578 memory_tracker.sh[49604]:       3072    0.2           25264       3071   00:00:00        2 do_wait                   /usr/bin/python3
Aug 26 04:27:18.882896 np0000032578 memory_tracker.sh[49604]:      45968    0.1           24448          1   00:00:00       11 futex_wait_queue          /opt/stack/bin/etcd --name np0000032578 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032578=http://192.168.1.117:2380 --initial-advertise-peer-urls http://192.168.1.117:2380 --advertise-client-urls http://192.168.1.117:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.117:2379 --log-level=debug
Aug 26 04:27:18.882896 np0000032578 memory_tracker.sh[49604]:      17841    0.1           21120          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 26 04:27:18.882896 np0000032578 memory_tracker.sh[49604]:       2867    0.1           20480          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 26 04:27:18.882896 np0000032578 memory_tracker.sh[49604]:      47439    0.1           19328          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 26 04:27:18.882896 np0000032578 memory_tracker.sh[49604]:       1974    0.1           19068          1   00:01:12        2 inet_csk_accept           /usr/bin/python3
Aug 26 04:27:18.882896 np0000032578 memory_tracker.sh[49604]:      42408    0.1           18432          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 26 04:27:18.882896 np0000032578 memory_tracker.sh[49604]:      31337    0.1           15232          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 26 04:27:18.882896 np0000032578 memory_tracker.sh[49604]:      37485    0.1           15232          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 26 04:27:18.882896 np0000032578 memory_tracker.sh[49604]:      47762    0.1           14936      47757   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 26 04:27:18.882896 np0000032578 memory_tracker.sh[49604]:      47761    0.1           14168      47757   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 26 04:27:18.882896 np0000032578 memory_tracker.sh[49604]:      33236    0.1           13848          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 26 04:27:18.882896 np0000032578 memory_tracker.sh[49604]:          1    0.1           13600          0   00:00:11        1 ep_poll                   /sbin/init nofb
Aug 26 04:27:18.883101 np0000032578 memory_tracker.sh[49604]:      12281    0.1           12928          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 26 04:27:18.883101 np0000032578 memory_tracker.sh[49604]:        426    0.1           12672          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 26 04:27:18.883101 np0000032578 memory_tracker.sh[49604]:       5432    0.1           12288       3075   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-08-26-042247
Aug 26 04:27:18.883101 np0000032578 memory_tracker.sh[49604]:       5437    0.1           12288       3075   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-08-26-042247.summary.2025-08-26-042247
Aug 26 04:27:18.883101 np0000032578 memory_tracker.sh[49604]:      47840    0.0           12160          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 26 04:27:18.883101 np0000032578 memory_tracker.sh[49604]:       3075    0.0           11648       3073   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 26 04:27:18.883101 np0000032578 memory_tracker.sh[49604]:      49359    0.0           11520      49307   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role add admin --user 93f258c3e70c4ff981cd8d13ef40c3ec --project a31bc6519d3b4cdaacd1cde374a86a3d
Aug 26 04:27:18.883101 np0000032578 memory_tracker.sh[49604]:      49454    0.0           11520      49403   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role add anotherrole --user 621826260b264f679c0354779df13c31 --project a31bc6519d3b4cdaacd1cde374a86a3d
