Aug 26 14:36:09.612760 np0000032592 systemd[1]: Started Devstack devstack@memory_tracker.service.
Aug 26 14:36:09.619809 np0000032592 memory_tracker.sh[45820]: [[[
Aug 26 14:36:09.620436 np0000032592 memory_tracker.sh[45835]: Tue Aug 26 14:36:09 UTC 2025
Aug 26 14:36:09.620516 np0000032592 memory_tracker.sh[45820]: ---
Aug 26 14:36:09.674308 np0000032592 memory_tracker.sh[45839]: [iscsid (pid:34806)]=13400KB; [multipathd (pid:349)]=289296KB; [ovs-vswitchd (pid:30591)]=899432KB
Aug 26 14:36:09.679765 np0000032592 memory_tracker.sh[45820]: ]]]
Aug 26 14:36:29.684037 np0000032592 memory_tracker.sh[45820]: [[[
Aug 26 14:36:29.684540 np0000032592 memory_tracker.sh[50435]: Tue Aug 26 14:36:29 UTC 2025
Aug 26 14:36:29.684937 np0000032592 memory_tracker.sh[45820]: ---
Aug 26 14:36:29.684937 np0000032592 memory_tracker.sh[45820]: memory_tracker low_point: 10341404
Aug 26 14:36:29.684937 np0000032592 memory_tracker.sh[45820]: ---
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: MemTotal:       12242256 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: MemFree:          254896 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: MemAvailable:   10340900 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: Buffers:          278168 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: Cached:          9589192 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: SwapCached:           24 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: Active:           932256 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: Inactive:        9895016 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: Active(anon):       1832 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: Inactive(anon):  1130424 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: Active(file):     930424 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: Inactive(file):  8764592 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: Unevictable:      141896 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: Mlocked:          141896 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: SwapTotal:       8388604 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: SwapFree:        8387300 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: Dirty:              6112 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: Writeback:             0 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: AnonPages:       1101596 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: Mapped:           197700 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: Shmem:            155148 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: KReclaimable:     716420 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: Slab:             832476 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: SReclaimable:     716420 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: SUnreclaim:       116056 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: KernelStack:        7968 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: PageTables:        10084 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: NFS_Unstable:          0 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: Bounce:                0 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: WritebackTmp:          0 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: CommitLimit:    14509732 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: Committed_AS:    2919460 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: VmallocTotal:   13743895347199 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: VmallocUsed:       23456 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: VmallocChunk:          0 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: Percpu:             4768 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: HardwareCorrupted:     0 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: AnonHugePages:         0 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: ShmemHugePages:        0 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: ShmemPmdMapped:        0 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: FileHugePages:         0 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: FilePmdMapped:         0 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: HugePages_Total:       0
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: HugePages_Free:        0
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: HugePages_Rsvd:        0
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: HugePages_Surp:        0
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: Hugepagesize:       2048 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: Hugetlb:               0 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: DirectMap4k:      280428 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: DirectMap2M:    10205184 kB
Aug 26 14:36:29.685429 np0000032592 memory_tracker.sh[50436]: DirectMap1G:     4194304 kB
Aug 26 14:36:29.686699 np0000032592 memory_tracker.sh[45820]: ---
Aug 26 14:36:29.694163 np0000032592 memory_tracker.sh[50440]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 26 14:36:29.694163 np0000032592 memory_tracker.sh[50440]:      45253    3.3          413128          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 26 14:36:29.694163 np0000032592 memory_tracker.sh[50440]:      48207    1.0          131520      48206   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 26 14:36:29.694163 np0000032592 memory_tracker.sh[50440]:      48208    1.0          129928      48206   00:00:03        2 futex_lock_pi             keystoneuWSGI worker 2
Aug 26 14:36:29.694163 np0000032592 memory_tracker.sh[50440]:      20887    1.0          123864          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-12.2.1/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false
Aug 26 14:36:29.694163 np0000032592 memory_tracker.sh[50440]:      30591    0.9          112844          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 26 14:36:29.694163 np0000032592 memory_tracker.sh[50440]:      44571    0.7           87628          1   00:00:01        1 -                         /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 26 14:36:29.694163 np0000032592 memory_tracker.sh[50440]:      10938    0.3           48068          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 26 14:36:29.694163 np0000032592 memory_tracker.sh[50440]:      10940    0.3           38776      10938   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 26 14:36:29.694163 np0000032592 memory_tracker.sh[50440]:        349    0.2           26840          1   00:00:00        7 futex_wait_queue_me       /sbin/multipathd -d -s
Aug 26 14:36:29.694508 np0000032592 memory_tracker.sh[50440]:      43710    0.2           25460          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 26 14:36:29.694508 np0000032592 memory_tracker.sh[50440]:       2174    0.1           24000       2173   00:00:00        2 do_wait                   /usr/bin/python3
Aug 26 14:36:29.694508 np0000032592 memory_tracker.sh[50440]:      39022    0.1           23972          1   00:00:00       19 do_poll.constprop.0       /usr/sbin/libvirtd
Aug 26 14:36:29.694508 np0000032592 memory_tracker.sh[50440]:      46843    0.1           23784          1   00:00:00       11 futex_wait_queue_me       /opt/stack/bin/etcd --name np0000032592 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032592=http://192.168.1.119:2380 --initial-advertise-peer-urls http://192.168.1.119:2380 --advertise-client-urls http://192.168.1.119:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.119:2379 --log-level=debug
Aug 26 14:36:29.694508 np0000032592 memory_tracker.sh[50440]:        965    0.1           20336          1   00:00:00        3 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 26 14:36:29.694508 np0000032592 memory_tracker.sh[50440]:      19937    0.1           20232          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-journald
Aug 26 14:36:29.694508 np0000032592 memory_tracker.sh[50440]:      43714    0.1           20028      43710   00:00:00        1 ep_poll                   /usr/lib/x86_64-linux-gnu/samba/samba-bgqd --ready-signal-fd=45 --parent-watch-fd=11 --debuglevel=0 -F
Aug 26 14:36:29.694508 np0000032592 memory_tracker.sh[50440]:        493    0.1           18772          1   00:00:00        1 do_poll.constprop.0       /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
Aug 26 14:36:29.694508 np0000032592 memory_tracker.sh[50440]:       1148    0.1           18300          1   00:01:10        2 inet_csk_accept           /usr/bin/python3
Aug 26 14:36:29.694508 np0000032592 memory_tracker.sh[50440]:      48206    0.1           16924          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 26 14:36:29.694508 np0000032592 memory_tracker.sh[50440]:        591    0.1           15716          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Aug 26 14:36:29.694508 np0000032592 memory_tracker.sh[50440]:      43700    0.1           15536          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 26 14:36:29.694508 np0000032592 memory_tracker.sh[50440]:      39055    0.1           14356          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 26 14:36:29.694740 np0000032592 memory_tracker.sh[50440]:        580    0.1           13344          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-resolved
Aug 26 14:36:29.694740 np0000032592 memory_tracker.sh[50440]:          1    0.1           13120          0   00:00:12        1 ep_poll                   /sbin/init nofb
Aug 26 14:36:29.694740 np0000032592 memory_tracker.sh[50440]:      34806    0.1           13100          1   00:00:00        1 do_poll.constprop.0       /sbin/iscsid
Aug 26 14:36:29.694740 np0000032592 memory_tracker.sh[50440]:       2177    0.0           12148       2175   00:00:02        1 -                         bash ./stack.sh
Aug 26 14:36:29.694740 np0000032592 memory_tracker.sh[50440]:      48600    0.0           11612          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -P /var/run/memcached/memcached.pid
Aug 26 14:36:29.694740 np0000032592 memory_tracker.sh[50440]:      48525    0.0           11056      48519   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 26 14:36:29.694740 np0000032592 memory_tracker.sh[50440]:      48524    0.0           11028      48519   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
