Aug 18 13:31:30.836008 np0000032522 systemd[1]: Started Devstack devstack@memory_tracker.service.
Aug 18 13:31:30.842900 np0000032522 memory_tracker.sh[49737]: [[[
Aug 18 13:31:30.843732 np0000032522 memory_tracker.sh[49752]: Mon Aug 18 13:31:30 UTC 2025
Aug 18 13:31:30.844525 np0000032522 memory_tracker.sh[49737]: ---
Aug 18 13:31:30.889915 np0000032522 memory_tracker.sh[49756]: [iscsid (pid:38725)]=13400KB; [multipathd (pid:343)]=289296KB; [ovs-vswitchd (pid:34510)]=899428KB
Aug 18 13:31:30.894905 np0000032522 memory_tracker.sh[49737]: ]]]
Aug 18 13:31:50.899487 np0000032522 memory_tracker.sh[49737]: [[[
Aug 18 13:31:50.902652 np0000032522 memory_tracker.sh[54503]: Mon Aug 18 13:31:50 UTC 2025
Aug 18 13:31:50.902835 np0000032522 memory_tracker.sh[49737]: ---
Aug 18 13:31:50.902835 np0000032522 memory_tracker.sh[49737]: memory_tracker low_point: 10331244
Aug 18 13:31:50.902835 np0000032522 memory_tracker.sh[49737]: ---
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: MemTotal:       12242260 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: MemFree:          247240 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: MemAvailable:   10331480 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: Buffers:          292600 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: Cached:          9568580 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: SwapCached:           28 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: Active:           903988 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: Inactive:        9924440 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: Active(anon):       1908 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: Inactive(anon):  1138812 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: Active(file):     902080 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: Inactive(file):  8785628 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: Unevictable:      141892 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: Mlocked:          141892 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: SwapTotal:       8388604 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: SwapFree:        8387304 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: Dirty:              5736 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: Writeback:            36 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: AnonPages:       1108984 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: Mapped:           192616 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: Shmem:            155156 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: KReclaimable:     721964 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: Slab:             838144 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: SReclaimable:     721964 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: SUnreclaim:       116180 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: KernelStack:        7904 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: PageTables:        10068 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: NFS_Unstable:          0 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: Bounce:                0 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: WritebackTmp:          0 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: CommitLimit:    14509732 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: Committed_AS:    2932424 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: VmallocTotal:   13743895347199 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: VmallocUsed:       23520 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: VmallocChunk:          0 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: Percpu:             4864 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: HardwareCorrupted:     0 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: AnonHugePages:         0 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: ShmemHugePages:        0 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: ShmemPmdMapped:        0 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: FileHugePages:         0 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: FilePmdMapped:         0 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: HugePages_Total:       0
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: HugePages_Free:        0
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: HugePages_Rsvd:        0
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: HugePages_Surp:        0
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: Hugepagesize:       2048 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: Hugetlb:               0 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: DirectMap4k:      294764 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: DirectMap2M:    11239424 kB
Aug 18 13:31:50.902900 np0000032522 memory_tracker.sh[54504]: DirectMap1G:     3145728 kB
Aug 18 13:31:50.904570 np0000032522 memory_tracker.sh[49737]: ---
Aug 18 13:31:50.910630 np0000032522 memory_tracker.sh[54506]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 18 13:31:50.910630 np0000032522 memory_tracker.sh[54506]:      49170    3.3          412932          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 18 13:31:50.910630 np0000032522 memory_tracker.sh[54506]:      52125    1.0          131348      52124   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 18 13:31:50.910630 np0000032522 memory_tracker.sh[54506]:      52126    1.0          129760      52124   00:00:03        2 -                         keystoneuWSGI worker 2
Aug 18 13:31:50.910630 np0000032522 memory_tracker.sh[54506]:      24806    1.0          125800          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-12.2.1/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false
Aug 18 13:31:50.910630 np0000032522 memory_tracker.sh[54506]:      34510    0.9          112836          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 18 13:31:50.910630 np0000032522 memory_tracker.sh[54506]:      48481    0.7           88332          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 18 13:31:50.910630 np0000032522 memory_tracker.sh[54506]:      14856    0.3           47900          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 18 13:31:50.910630 np0000032522 memory_tracker.sh[54506]:      14858    0.3           38836      14856   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 18 13:31:50.910630 np0000032522 memory_tracker.sh[54506]:        343    0.2           26840          1   00:00:33        7 futex_wait_queue_me       /sbin/multipathd -d -s
Aug 18 13:31:50.911003 np0000032522 memory_tracker.sh[54506]:      47620    0.2           25432          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 18 13:31:50.911003 np0000032522 memory_tracker.sh[54506]:       6265    0.1           23876       6264   00:00:00        2 do_wait                   /usr/bin/python3
Aug 18 13:31:50.911003 np0000032522 memory_tracker.sh[54506]:      50717    0.1           23688          1   00:00:00       12 futex_wait_queue_me       /opt/stack/bin/etcd --name np0000032522 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032522=http://192.168.1.132:2380 --initial-advertise-peer-urls http://192.168.1.132:2380 --advertise-client-urls http://192.168.1.132:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.132:2379 --log-level=debug
Aug 18 13:31:50.911003 np0000032522 memory_tracker.sh[54506]:      42940    0.1           23492          1   00:00:00       19 do_poll.constprop.0       /usr/sbin/libvirtd
Aug 18 13:31:50.911003 np0000032522 memory_tracker.sh[54506]:      23856    0.1           21344          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-journald
Aug 18 13:31:50.911003 np0000032522 memory_tracker.sh[54506]:        961    0.1           20204          1   00:00:02        3 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 18 13:31:50.911003 np0000032522 memory_tracker.sh[54506]:      47624    0.1           19648      47620   00:00:00        1 ep_poll                   /usr/lib/x86_64-linux-gnu/samba/samba-bgqd --ready-signal-fd=45 --parent-watch-fd=11 --debuglevel=0 -F
Aug 18 13:31:50.911003 np0000032522 memory_tracker.sh[54506]:        490    0.1           18912          1   00:00:00        1 do_poll.constprop.0       /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
Aug 18 13:31:50.911003 np0000032522 memory_tracker.sh[54506]:       5236    0.1           17716          1   00:01:10        2 inet_csk_accept           /usr/bin/python3
Aug 18 13:31:50.911003 np0000032522 memory_tracker.sh[54506]:      52124    0.1           16884          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 18 13:31:50.911003 np0000032522 memory_tracker.sh[54506]:        585    0.1           15632          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Aug 18 13:31:50.911003 np0000032522 memory_tracker.sh[54506]:      47610    0.1           15536          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 18 13:31:50.911003 np0000032522 memory_tracker.sh[54506]:      42971    0.1           14140          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 18 13:31:50.911265 np0000032522 memory_tracker.sh[54506]:        577    0.1           13380          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-resolved
Aug 18 13:31:50.911477 np0000032522 memory_tracker.sh[54506]:          1    0.1           13308          0   00:00:13        1 ep_poll                   /sbin/init nofb
Aug 18 13:31:50.911477 np0000032522 memory_tracker.sh[54506]:      38725    0.1           13124          1   00:00:00        1 do_poll.constprop.0       /sbin/iscsid
Aug 18 13:31:50.911477 np0000032522 memory_tracker.sh[54506]:       6268    0.0           12036       6266   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 18 13:31:50.911477 np0000032522 memory_tracker.sh[54506]:      52517    0.0           11560          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -P /var/run/memcached/memcached.pid
Aug 18 13:31:50.911477 np0000032522 memory_tracker.sh[54506]:       8420    0.0           11196       8410   00:00:00        1 pipe_read                 /usr/bin/python3.10 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-08-18-132723
Aug 18 13:31:50.911477 np0000032522 memory_tracker.sh[54506]:      52443    0.0           11192      52436   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
