Aug 02 06:49:57.274972 np0000032143 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 02 06:49:57.282531 np0000032143 memory_tracker.sh[44198]: [[[
Aug 02 06:49:57.283324 np0000032143 memory_tracker.sh[44212]: Sat Aug  2 06:49:57 UTC 2025
Aug 02 06:49:57.283402 np0000032143 memory_tracker.sh[44198]: ---
Aug 02 06:49:57.309799 np0000032143 memory_tracker.sh[44216]: /opt/stack/devstack/tools/mlock_report.py:9: SyntaxWarning: invalid escape sequence '\s'
Aug 02 06:49:57.309799 np0000032143 memory_tracker.sh[44216]:   "^VmLck:\s+(?P<locked>[\d]+)\s+kB", re.MULTILINE)
Aug 02 06:49:57.338368 np0000032143 memory_tracker.sh[44216]: [iscsid (pid:32557)]=14168KB; [multipathd (pid:366)]=288932KB; [ovs-vswitchd (pid:28287)]=901104KB
Aug 02 06:49:57.343514 np0000032143 memory_tracker.sh[44198]: ]]]
Aug 02 06:50:17.348269 np0000032143 memory_tracker.sh[44198]: [[[
Aug 02 06:50:17.348986 np0000032143 memory_tracker.sh[48698]: Sat Aug  2 06:50:17 UTC 2025
Aug 02 06:50:17.349132 np0000032143 memory_tracker.sh[44198]: ---
Aug 02 06:50:17.349132 np0000032143 memory_tracker.sh[44198]: memory_tracker low_point: 10298892
Aug 02 06:50:17.349132 np0000032143 memory_tracker.sh[44198]: ---
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: MemTotal:       12245960 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: MemFree:          323984 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: MemAvailable:   10298892 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Buffers:          285212 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Cached:          9445980 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: SwapCached:            0 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Active:          1294708 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Inactive:        9381364 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Active(anon):     996892 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Inactive(anon):   125844 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Active(file):     297816 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Inactive(file):  9255520 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Unevictable:      143572 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Mlocked:          142372 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: SwapTotal:       8388604 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: SwapFree:        8387824 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Zswap:               364 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Zswapped:             68 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Dirty:             24800 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Writeback:             0 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: AnonPages:       1088628 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Mapped:           193136 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Shmem:            158008 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: KReclaimable:     747248 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Slab:             887212 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: SReclaimable:     747248 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: SUnreclaim:       139964 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: KernelStack:        8668 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: PageTables:        11388 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: SecPageTables:         0 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: NFS_Unstable:          0 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Bounce:                0 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: WritebackTmp:          0 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: CommitLimit:    14511584 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Committed_AS:    2950572 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: VmallocTotal:   13743895347199 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: VmallocUsed:       27836 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: VmallocChunk:          0 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Percpu:             5088 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: HardwareCorrupted:     0 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: AnonHugePages:         0 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: ShmemHugePages:        0 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: ShmemPmdMapped:        0 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: FileHugePages:         0 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: FilePmdMapped:         0 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Unaccepted:            0 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: HugePages_Total:       0
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: HugePages_Free:        0
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: HugePages_Rsvd:        0
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: HugePages_Surp:        0
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Hugepagesize:       2048 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: Hugetlb:               0 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: DirectMap4k:      292716 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: DirectMap2M:    10192896 kB
Aug 02 06:50:17.349770 np0000032143 memory_tracker.sh[48699]: DirectMap1G:     4194304 kB
Aug 02 06:50:17.351011 np0000032143 memory_tracker.sh[44198]: ---
Aug 02 06:50:17.360891 np0000032143 memory_tracker.sh[48701]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 02 06:50:17.360891 np0000032143 memory_tracker.sh[48701]:      43548    3.3          415412          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 02 06:50:17.360891 np0000032143 memory_tracker.sh[48701]:      18442    1.1          136004          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 02 06:50:17.360891 np0000032143 memory_tracker.sh[48701]:      46490    1.1          135092      46489   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 02 06:50:17.360891 np0000032143 memory_tracker.sh[48701]:      46491    1.0          133904      46489   00:00:03        2 -                         keystoneuWSGI worker 2
Aug 02 06:50:17.360891 np0000032143 memory_tracker.sh[48701]:      28287    0.9          115948          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 02 06:50:17.360891 np0000032143 memory_tracker.sh[48701]:      42840    0.8          101572          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 02 06:50:17.360891 np0000032143 memory_tracker.sh[48701]:      11766    0.3           40404      11764   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 02 06:50:17.360891 np0000032143 memory_tracker.sh[48701]:        366    0.2           27008          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 02 06:50:17.360891 np0000032143 memory_tracker.sh[48701]:      41726    0.2           26112          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 02 06:50:17.361326 np0000032143 memory_tracker.sh[48701]:      36772    0.2           25600          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 02 06:50:17.361326 np0000032143 memory_tracker.sh[48701]:       2717    0.2           25264       2716   00:00:00        2 do_wait                   /usr/bin/python3
Aug 02 06:50:17.361326 np0000032143 memory_tracker.sh[48701]:      45320    0.1           24064          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000032143 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032143=http://192.168.1.144:2380 --initial-advertise-peer-urls http://192.168.1.144:2380 --advertise-client-urls http://192.168.1.144:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.144:2379 --log-level=debug
Aug 02 06:50:17.361326 np0000032143 memory_tracker.sh[48701]:       2516    0.1           20480          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 02 06:50:17.361326 np0000032143 memory_tracker.sh[48701]:      17296    0.1           19328          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 02 06:50:17.361326 np0000032143 memory_tracker.sh[48701]:      46489    0.1           19200          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 02 06:50:17.361326 np0000032143 memory_tracker.sh[48701]:       1624    0.1           18976          1   00:01:12        2 inet_csk_accept           /usr/bin/python3
Aug 02 06:50:17.361326 np0000032143 memory_tracker.sh[48701]:      41789    0.1           18432          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 02 06:50:17.361326 np0000032143 memory_tracker.sh[48701]:      30705    0.1           15360          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 02 06:50:17.361326 np0000032143 memory_tracker.sh[48701]:      36807    0.1           15232          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 02 06:50:17.361326 np0000032143 memory_tracker.sh[48701]:      46862    0.1           14804      46856   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 02 06:50:17.361326 np0000032143 memory_tracker.sh[48701]:      32557    0.1           13848          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 02 06:50:17.361326 np0000032143 memory_tracker.sh[48701]:          1    0.1           13752          0   00:00:11        1 ep_poll                   /sbin/init nofb
Aug 02 06:50:17.361326 np0000032143 memory_tracker.sh[48701]:      46860    0.1           13012      46856   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 02 06:50:17.361641 np0000032143 memory_tracker.sh[48701]:      11764    0.1           12928          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 02 06:50:17.361641 np0000032143 memory_tracker.sh[48701]:        410    0.1           12672          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 02 06:50:17.361641 np0000032143 memory_tracker.sh[48701]:       4903    0.1           12288       2720   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-08-02-064215
Aug 02 06:50:17.361641 np0000032143 memory_tracker.sh[48701]:       4908    0.1           12288       2720   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-08-02-064215.summary.2025-08-02-064215
Aug 02 06:50:17.361641 np0000032143 memory_tracker.sh[48701]:      46939    0.0           12032          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 02 06:50:17.361641 np0000032143 memory_tracker.sh[48701]:       2720    0.0           11776       2718   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 02 06:50:17.361641 np0000032143 memory_tracker.sh[48701]:      48548    0.0           11648      48500   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role add anotherrole --user 194422ac99fd42b49bbbc5a08d291f39 --project 9b77df8d437a42ccac563cf5748da8d6
Aug 02 06:50:17.361641 np0000032143 memory_tracker.sh[48701]:      48451    0.0           11520      48404   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role add admin --user ce8dc15bcde04c1cb119a1da294eaa5e --project 9b77df8d437a42ccac563cf5748da8d6
