Aug 28 00:17:57.981578 np0000032602 systemd[1]: Started Devstack devstack@memory_tracker.service.
Aug 28 00:17:57.988486 np0000032602 memory_tracker.sh[45914]: [[[
Aug 28 00:17:57.989588 np0000032602 memory_tracker.sh[45929]: Thu Aug 28 00:17:57 UTC 2025
Aug 28 00:17:57.989674 np0000032602 memory_tracker.sh[45914]: ---
Aug 28 00:17:58.036039 np0000032602 memory_tracker.sh[45933]: [iscsid (pid:34884)]=13400KB; [multipathd (pid:349)]=289296KB; [ovs-vswitchd (pid:30708)]=899424KB
Aug 28 00:17:58.041004 np0000032602 memory_tracker.sh[45914]: ]]]
Aug 28 00:18:18.045169 np0000032602 memory_tracker.sh[45914]: [[[
Aug 28 00:18:18.045787 np0000032602 memory_tracker.sh[50737]: Thu Aug 28 00:18:18 UTC 2025
Aug 28 00:18:18.045996 np0000032602 memory_tracker.sh[45914]: ---
Aug 28 00:18:18.045996 np0000032602 memory_tracker.sh[45914]: memory_tracker low_point: 10336712
Aug 28 00:18:18.045996 np0000032602 memory_tracker.sh[45914]: ---
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: MemTotal:       12242248 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: MemFree:          262556 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: MemAvailable:   10336460 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: Buffers:          286764 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: Cached:          9570508 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: SwapCached:           28 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: Active:           945528 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: Inactive:        9875268 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: Active(anon):       2076 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: Inactive(anon):  1133692 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: Active(file):     943452 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: Inactive(file):  8741576 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: Unevictable:      141888 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: Mlocked:          141888 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: SwapTotal:       8388604 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: SwapFree:        8387056 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: Dirty:              6000 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: Writeback:            28 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: AnonPages:       1105252 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: Mapped:           197812 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: Shmem:            155160 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: KReclaimable:     714500 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: Slab:             829968 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: SReclaimable:     714500 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: SUnreclaim:       115468 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: KernelStack:        7952 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: PageTables:        10204 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: NFS_Unstable:          0 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: Bounce:                0 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: WritebackTmp:          0 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: CommitLimit:    14509728 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: Committed_AS:    2909800 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: VmallocTotal:   13743895347199 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: VmallocUsed:       23472 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: VmallocChunk:          0 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: Percpu:             4928 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: HardwareCorrupted:     0 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: AnonHugePages:         0 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: ShmemHugePages:        0 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: ShmemPmdMapped:        0 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: FileHugePages:         0 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: FilePmdMapped:         0 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: HugePages_Total:       0
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: HugePages_Free:        0
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: HugePages_Rsvd:        0
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: HugePages_Surp:        0
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: Hugepagesize:       2048 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: Hugetlb:               0 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: DirectMap4k:      288620 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: DirectMap2M:     9148416 kB
Aug 28 00:18:18.046544 np0000032602 memory_tracker.sh[50738]: DirectMap1G:     5242880 kB
Aug 28 00:18:18.047584 np0000032602 memory_tracker.sh[45914]: ---
Aug 28 00:18:18.054534 np0000032602 memory_tracker.sh[50740]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 28 00:18:18.054534 np0000032602 memory_tracker.sh[50740]:      45347    3.3          413296          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 28 00:18:18.054534 np0000032602 memory_tracker.sh[50740]:      48245    1.0          132688      48244   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 28 00:18:18.054534 np0000032602 memory_tracker.sh[50740]:      48246    1.0          131100      48244   00:00:03        2 wait_woken                keystoneuWSGI worker 2
Aug 28 00:18:18.054534 np0000032602 memory_tracker.sh[50740]:      21009    1.0          126584          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-12.2.1/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false
Aug 28 00:18:18.054534 np0000032602 memory_tracker.sh[50740]:      30708    0.9          112856          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 28 00:18:18.054534 np0000032602 memory_tracker.sh[50740]:      44666    0.7           86100          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 28 00:18:18.054534 np0000032602 memory_tracker.sh[50740]:      10977    0.3           47984          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 28 00:18:18.054534 np0000032602 memory_tracker.sh[50740]:      10979    0.3           38832      10977   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 28 00:18:18.054534 np0000032602 memory_tracker.sh[50740]:        349    0.2           26840          1   00:00:00        7 futex_wait_queue_me       /sbin/multipathd -d -s
Aug 28 00:18:18.054864 np0000032602 memory_tracker.sh[50740]:      43807    0.2           25392          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 28 00:18:18.054864 np0000032602 memory_tracker.sh[50740]:       2249    0.1           24016       2248   00:00:00        2 do_wait                   /usr/bin/python3
Aug 28 00:18:18.054864 np0000032602 memory_tracker.sh[50740]:      38858    0.1           23964          1   00:00:00       19 do_poll.constprop.0       /usr/sbin/libvirtd
Aug 28 00:18:18.054864 np0000032602 memory_tracker.sh[50740]:      46877    0.1           23344          1   00:00:00       11 futex_wait_queue_me       /opt/stack/bin/etcd --name np0000032602 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032602=http://192.168.1.113:2380 --initial-advertise-peer-urls http://192.168.1.113:2380 --advertise-client-urls http://192.168.1.113:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.113:2379 --log-level=debug
Aug 28 00:18:18.054864 np0000032602 memory_tracker.sh[50740]:      20059    0.1           20656          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-journald
Aug 28 00:18:18.054864 np0000032602 memory_tracker.sh[50740]:      43811    0.1           20024      43807   00:00:00        1 ep_poll                   /usr/lib/x86_64-linux-gnu/samba/samba-bgqd --ready-signal-fd=45 --parent-watch-fd=11 --debuglevel=0 -F
Aug 28 00:18:18.054864 np0000032602 memory_tracker.sh[50740]:        965    0.1           19952          1   00:00:00        3 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 28 00:18:18.054864 np0000032602 memory_tracker.sh[50740]:        496    0.1           18820          1   00:00:00        1 do_poll.constprop.0       /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
Aug 28 00:18:18.054864 np0000032602 memory_tracker.sh[50740]:       1223    0.1           18656          1   00:01:10        2 inet_csk_accept           /usr/bin/python3
Aug 28 00:18:18.054864 np0000032602 memory_tracker.sh[50740]:      48558    0.1           17524      48552   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 28 00:18:18.054864 np0000032602 memory_tracker.sh[50740]:      48557    0.1           17472      48552   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 28 00:18:18.054864 np0000032602 memory_tracker.sh[50740]:      48244    0.1           16064          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 28 00:18:18.054864 np0000032602 memory_tracker.sh[50740]:      43797    0.1           15600          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 28 00:18:18.055109 np0000032602 memory_tracker.sh[50740]:        592    0.1           15556          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Aug 28 00:18:18.055109 np0000032602 memory_tracker.sh[50740]:      38888    0.1           13816          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 28 00:18:18.055109 np0000032602 memory_tracker.sh[50740]:        584    0.1           13472          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-resolved
Aug 28 00:18:18.055109 np0000032602 memory_tracker.sh[50740]:          1    0.1           13112          0   00:00:12        1 ep_poll                   /sbin/init nofb
Aug 28 00:18:18.055109 np0000032602 memory_tracker.sh[50740]:      34884    0.1           13020          1   00:00:00        1 do_poll.constprop.0       /sbin/iscsid
Aug 28 00:18:18.055109 np0000032602 memory_tracker.sh[50740]:       2252    0.0           12200       2250   00:00:01        1 pipe_read                 bash ./stack.sh
Aug 28 00:18:18.055109 np0000032602 memory_tracker.sh[50740]:      48634    0.0           11568          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -P /var/run/memcached/memcached.pid
