Aug 11 09:23:01.185165 np0000032520 systemd[1]: Started Devstack devstack@memory_tracker.service.
Aug 11 09:23:01.191865 np0000032520 memory_tracker.sh[45655]: [[[
Aug 11 09:23:01.192444 np0000032520 memory_tracker.sh[45670]: Mon Aug 11 09:23:01 UTC 2025
Aug 11 09:23:01.192552 np0000032520 memory_tracker.sh[45655]: ---
Aug 11 09:23:01.239403 np0000032520 memory_tracker.sh[45674]: [iscsid (pid:34739)]=13400KB; [multipathd (pid:347)]=289296KB; [ovs-vswitchd (pid:30564)]=899428KB
Aug 11 09:23:01.244491 np0000032520 memory_tracker.sh[45655]: ]]]
Aug 11 09:23:21.248401 np0000032520 memory_tracker.sh[45655]: [[[
Aug 11 09:23:21.249107 np0000032520 memory_tracker.sh[50542]: Mon Aug 11 09:23:21 UTC 2025
Aug 11 09:23:21.249316 np0000032520 memory_tracker.sh[45655]: ---
Aug 11 09:23:21.249316 np0000032520 memory_tracker.sh[45655]: memory_tracker low_point: 10283112
Aug 11 09:23:21.249316 np0000032520 memory_tracker.sh[45655]: ---
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: MemTotal:       12242260 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: MemFree:          322580 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: MemAvailable:   10283112 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: Buffers:          281148 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: Cached:          9461636 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: SwapCached:           24 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: Active:           863832 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: Inactive:        9912636 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: Active(anon):       2332 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: Inactive(anon):  1203920 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: Active(file):     861500 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: Inactive(file):  8708716 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: Unevictable:      141892 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: Mlocked:          141892 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: SwapTotal:       8388604 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: SwapFree:        8386800 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: Dirty:             81720 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: Writeback:            12 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: AnonPages:       1175892 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: Mapped:           198932 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: Shmem:            155156 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: KReclaimable:     715748 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: Slab:             831912 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: SReclaimable:     715748 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: SUnreclaim:       116164 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: KernelStack:        8012 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: PageTables:        10424 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: NFS_Unstable:          0 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: Bounce:                0 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: WritebackTmp:          0 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: CommitLimit:    14509732 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: Committed_AS:    3002300 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: VmallocTotal:   13743895347199 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: VmallocUsed:       23520 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: VmallocChunk:          0 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: Percpu:             4832 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: HardwareCorrupted:     0 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: AnonHugePages:         0 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: ShmemHugePages:        0 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: ShmemPmdMapped:        0 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: FileHugePages:         0 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: FilePmdMapped:         0 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: HugePages_Total:       0
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: HugePages_Free:        0
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: HugePages_Rsvd:        0
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: HugePages_Surp:        0
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: Hugepagesize:       2048 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: Hugetlb:               0 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: DirectMap4k:      296812 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: DirectMap2M:    11237376 kB
Aug 11 09:23:21.249668 np0000032520 memory_tracker.sh[50543]: DirectMap1G:     3145728 kB
Aug 11 09:23:21.251066 np0000032520 memory_tracker.sh[45655]: ---
Aug 11 09:23:21.258811 np0000032520 memory_tracker.sh[50545]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 11 09:23:21.258811 np0000032520 memory_tracker.sh[50545]:      45088    3.3          415420          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 11 09:23:21.258811 np0000032520 memory_tracker.sh[50545]:      47986    1.0          132080      47985   00:00:03        2 -                         keystoneuWSGI worker 1
Aug 11 09:23:21.258811 np0000032520 memory_tracker.sh[50545]:      47987    1.0          131124      47985   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Aug 11 09:23:21.258811 np0000032520 memory_tracker.sh[50545]:      20867    1.0          126932          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-12.2.1/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false
Aug 11 09:23:21.258811 np0000032520 memory_tracker.sh[50545]:      30564    0.9          112860          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 11 09:23:21.258811 np0000032520 memory_tracker.sh[50545]:      44407    0.7           86612          1   00:00:01        1 -                         /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 11 09:23:21.258811 np0000032520 memory_tracker.sh[50545]:      10836    0.3           47816          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 11 09:23:21.258811 np0000032520 memory_tracker.sh[50545]:      50432    0.3           41248      41736   00:00:00        1 pipe_read                 /opt/stack/tempest/.tox/tempest/bin/python -m pip install --exists-action w -e .
Aug 11 09:23:21.258811 np0000032520 memory_tracker.sh[50545]:      10838    0.3           38776      10836   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 11 09:23:21.259195 np0000032520 memory_tracker.sh[50545]:      50476    0.2           33468      50432   00:00:00        1 -                         /opt/stack/tempest/.tox/tempest/bin/python -c  exec(compile(''' # This is <pip-setuptools-caller> -- a caller that pip uses to run setup.py # # - It imports setuptools before invoking setup.py, to enable projects that directly #   import from `distutils.core` to work with newer packaging standards. # - It provides a clear error message when setuptools is not installed. # - It sets `sys.argv[0]` to the underlying `setup.py`, when invoking `setup.py` so #   setuptools doesn't think the script is `-c`. This avoids the following warning: #     manifest_maker: standard file '-c' not found". # - It generates a shim setup.py, for handling setup.cfg-only projects. import os, sys, tokenize  try:     import setuptools except ImportError as error:     print(         "ERROR: Can not execute `setup.py` since setuptools is not available in "         "the build environment.",         file=sys.stderr,     )     sys.exit(1)  __file__ = %r sys.argv[0] = __file__  if os.path.exists(__file__):     filename = __file__     with tokenize.open(__file__) as f:         setup_py_code = f.read() else:     filename = "<auto-generated setuptools caller>"     setup_py_code = "from setuptools import setup; setup()"  exec(compile(setup_py_code, filename, "exec")) ''' % ('/opt/stack/tempest/setup.py',), "<pip-setuptools-caller>", "exec")) egg_info --egg-base /tmp/pip-pip-egg-info-mu3r0hg5
Aug 11 09:23:21.259195 np0000032520 memory_tracker.sh[50545]:        347    0.2           26840          1   00:00:00        7 futex_wait_queue_me       /sbin/multipathd -d -s
Aug 11 09:23:21.259195 np0000032520 memory_tracker.sh[50545]:      41736    0.2           26660      41304   00:00:00        1 do_wait                   /opt/stack/data/venv/bin/python3.10 /opt/stack/data/venv/bin/tox -r --notest -efull
Aug 11 09:23:21.259195 np0000032520 memory_tracker.sh[50545]:      43588    0.2           24768          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 11 09:23:21.259195 np0000032520 memory_tracker.sh[50545]:       2278    0.1           23992       2277   00:00:00        2 do_wait                   /usr/bin/python3
Aug 11 09:23:21.259341 np0000032520 memory_tracker.sh[50545]:      38755    0.1           23904          1   00:00:00       19 do_poll.constprop.0       /usr/sbin/libvirtd
Aug 11 09:23:21.259341 np0000032520 memory_tracker.sh[50545]:      46619    0.1           22684          1   00:00:00       11 futex_wait_queue_me       /opt/stack/bin/etcd --name np0000032520 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032520=http://192.168.1.112:2380 --initial-advertise-peer-urls http://192.168.1.112:2380 --advertise-client-urls http://192.168.1.112:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.112:2379 --log-level=debug
Aug 11 09:23:21.259341 np0000032520 memory_tracker.sh[50545]:      19917    0.1           20656          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-journald
Aug 11 09:23:21.259341 np0000032520 memory_tracker.sh[50545]:      43592    0.1           20256      43588   00:00:00        1 ep_poll                   /usr/lib/x86_64-linux-gnu/samba/samba-bgqd --ready-signal-fd=45 --parent-watch-fd=11 --debuglevel=0 -F
Aug 11 09:23:21.259341 np0000032520 memory_tracker.sh[50545]:        965    0.1           20180          1   00:00:00        3 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 11 09:23:21.259341 np0000032520 memory_tracker.sh[50545]:        494    0.1           18844          1   00:00:00        1 do_poll.constprop.0       /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
Aug 11 09:23:21.259341 np0000032520 memory_tracker.sh[50545]:       1251    0.1           17716          1   00:01:09        2 inet_csk_accept           /usr/bin/python3
Aug 11 09:23:21.259341 np0000032520 memory_tracker.sh[50545]:      48299    0.1           16824      48294   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 11 09:23:21.259341 np0000032520 memory_tracker.sh[50545]:      48300    0.1           16824      48294   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
