Jul 30 06:35:13.366784 np0000031981 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 30 06:35:13.375020 np0000031981 memory_tracker.sh[44361]: [[[
Jul 30 06:35:13.376219 np0000031981 memory_tracker.sh[44376]: Wed Jul 30 06:35:13 UTC 2025
Jul 30 06:35:13.376297 np0000031981 memory_tracker.sh[44361]: ---
Jul 30 06:35:13.376297 np0000031981 memory_tracker.sh[44361]: memory_tracker low_point: 10786148
Jul 30 06:35:13.376297 np0000031981 memory_tracker.sh[44361]: ---
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: MemTotal:       12245956 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: MemFree:          408688 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: MemAvailable:   10785648 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Buffers:          232444 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Cached:          9785520 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: SwapCached:            4 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Active:           894764 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Inactive:        9743448 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Active(anon):     671756 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Inactive(anon):      788 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Active(file):     223008 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Inactive(file):  9742660 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Unevictable:      143580 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Mlocked:          142380 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: SwapTotal:       8388604 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: SwapFree:        8388336 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Zswap:               324 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Zswapped:             64 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Dirty:             91692 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Writeback:             0 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: AnonPages:        764024 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Mapped:           160280 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Shmem:             32448 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: KReclaimable:     736968 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Slab:             875908 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: SReclaimable:     736968 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: SUnreclaim:       138940 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: KernelStack:        7960 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: PageTables:         9492 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: SecPageTables:         0 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: NFS_Unstable:          0 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Bounce:                0 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: WritebackTmp:          0 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: CommitLimit:    14511580 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Committed_AS:    2240424 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: VmallocTotal:   13743895347199 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: VmallocUsed:       27116 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: VmallocChunk:          0 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Percpu:             5056 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: HardwareCorrupted:     0 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: AnonHugePages:         0 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: ShmemHugePages:        0 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: ShmemPmdMapped:        0 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: FileHugePages:         0 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: FilePmdMapped:         0 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Unaccepted:            0 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: HugePages_Total:       0
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: HugePages_Free:        0
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: HugePages_Rsvd:        0
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: HugePages_Surp:        0
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Hugepagesize:       2048 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: Hugetlb:               0 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: DirectMap4k:      284524 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: DirectMap2M:    11249664 kB
Jul 30 06:35:13.376543 np0000031981 memory_tracker.sh[44378]: DirectMap1G:     3145728 kB
Jul 30 06:35:13.377344 np0000031981 memory_tracker.sh[44361]: ---
Jul 30 06:35:13.387583 np0000031981 memory_tracker.sh[44381]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 30 06:35:13.387583 np0000031981 memory_tracker.sh[44381]:      43709    3.1          385752          1   00:00:00       38 do_poll.constprop.0       /usr/sbin/mysqld
Jul 30 06:35:13.387583 np0000031981 memory_tracker.sh[44381]:      18378    1.0          133604          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 30 06:35:13.387583 np0000031981 memory_tracker.sh[44381]:      28333    0.9          115948          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 30 06:35:13.387583 np0000031981 memory_tracker.sh[44381]:      43000    0.6           80904          1   00:00:00        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 30 06:35:13.387583 np0000031981 memory_tracker.sh[44381]:      11695    0.3           40076      11693   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 30 06:35:13.387583 np0000031981 memory_tracker.sh[44381]:        365    0.2           27136          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 30 06:35:13.387583 np0000031981 memory_tracker.sh[44381]:      41885    0.2           26112          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Jul 30 06:35:13.387583 np0000031981 memory_tracker.sh[44381]:      36938    0.2           25984          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 30 06:35:13.387583 np0000031981 memory_tracker.sh[44381]:       2703    0.2           25264       2702   00:00:00        2 do_wait                   /usr/bin/python3
Jul 30 06:35:13.387865 np0000031981 memory_tracker.sh[44381]:       2497    0.1           20352          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 30 06:35:13.387865 np0000031981 memory_tracker.sh[44381]:       1607    0.1           19444          1   00:01:12        2 inet_csk_accept           /usr/bin/python3
Jul 30 06:35:13.387865 np0000031981 memory_tracker.sh[44381]:      41949    0.1           18432          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Jul 30 06:35:13.387865 np0000031981 memory_tracker.sh[44381]:      17228    0.1           17664          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 30 06:35:13.387865 np0000031981 memory_tracker.sh[44381]:      30696    0.1           15360          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 30 06:35:13.387865 np0000031981 memory_tracker.sh[44381]:      36974    0.1           15360          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 30 06:35:13.387865 np0000031981 memory_tracker.sh[44381]:      32722    0.1           13860          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 30 06:35:13.387865 np0000031981 memory_tracker.sh[44381]:          1    0.1           13344          0   00:00:10        1 ep_poll                   /sbin/init nofb
Jul 30 06:35:13.387865 np0000031981 memory_tracker.sh[44381]:      11693    0.1           12928          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 30 06:35:13.387865 np0000031981 memory_tracker.sh[44381]:        411    0.1           12800          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 30 06:35:13.387865 np0000031981 memory_tracker.sh[44381]:       4889    0.1           12288       2706   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-07-30-062340
Jul 30 06:35:13.387865 np0000031981 memory_tracker.sh[44381]:       4894    0.1           12288       2706   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-07-30-062340.summary.2025-07-30-062340
Jul 30 06:35:13.387865 np0000031981 memory_tracker.sh[44381]:       1465    0.0           11392          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 30 06:35:13.387865 np0000031981 memory_tracker.sh[44381]:       2706    0.0           11136       2704   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 30 06:35:13.387865 np0000031981 memory_tracker.sh[44381]:      39208    0.0            9956       2706   00:00:00        1 do_wait                   bash ./stack.sh
Jul 30 06:35:13.388030 np0000031981 memory_tracker.sh[44381]:        843    0.0            9472          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Jul 30 06:35:13.388030 np0000031981 memory_tracker.sh[44381]:        536    0.0            8832          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Jul 30 06:35:13.388030 np0000031981 memory_tracker.sh[44381]:      28821    0.0            8576          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
