Aug 08 08:57:33.011846 np0000032472 systemd[1]: Started Devstack devstack@memory_tracker.service.
Aug 08 08:57:33.018687 np0000032472 memory_tracker.sh[45716]: [[[
Aug 08 08:57:33.019282 np0000032472 memory_tracker.sh[45731]: Fri Aug  8 08:57:33 UTC 2025
Aug 08 08:57:33.019397 np0000032472 memory_tracker.sh[45716]: ---
Aug 08 08:57:33.068854 np0000032472 memory_tracker.sh[45735]: [iscsid (pid:34717)]=13400KB; [multipathd (pid:343)]=289296KB; [ovs-vswitchd (pid:30503)]=899428KB
Aug 08 08:57:33.075064 np0000032472 memory_tracker.sh[45716]: ]]]
Aug 08 08:57:53.079692 np0000032472 memory_tracker.sh[45716]: [[[
Aug 08 08:57:53.080175 np0000032472 memory_tracker.sh[50535]: Fri Aug  8 08:57:53 UTC 2025
Aug 08 08:57:53.080794 np0000032472 memory_tracker.sh[45716]: ---
Aug 08 08:57:53.080794 np0000032472 memory_tracker.sh[45716]: memory_tracker low_point: 10340116
Aug 08 08:57:53.080794 np0000032472 memory_tracker.sh[45716]: ---
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: MemTotal:       12242256 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: MemFree:          263644 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: MemAvailable:   10340116 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: Buffers:          290772 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: Cached:          9562124 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: SwapCached:           28 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: Active:           893672 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: Inactive:        9921924 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: Active(anon):       2124 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: Inactive(anon):  1132592 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: Active(file):     891548 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: Inactive(file):  8789332 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: Unevictable:      141892 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: Mlocked:          141892 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: SwapTotal:       8388604 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: SwapFree:        8387568 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: Dirty:              6608 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: Writeback:             0 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: AnonPages:       1104656 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: Mapped:           191284 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: Shmem:            155156 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: KReclaimable:     721024 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: Slab:             837848 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: SReclaimable:     721024 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: SUnreclaim:       116824 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: KernelStack:        7984 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: PageTables:        10036 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: NFS_Unstable:          0 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: Bounce:                0 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: WritebackTmp:          0 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: CommitLimit:    14509732 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: Committed_AS:    2919836 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: VmallocTotal:   13743895347199 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: VmallocUsed:       23488 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: VmallocChunk:          0 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: Percpu:             4864 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: HardwareCorrupted:     0 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: AnonHugePages:         0 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: ShmemHugePages:        0 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: ShmemPmdMapped:        0 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: FileHugePages:         0 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: FilePmdMapped:         0 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: HugePages_Total:       0
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: HugePages_Free:        0
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: HugePages_Rsvd:        0
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: HugePages_Surp:        0
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: Hugepagesize:       2048 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: Hugetlb:               0 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: DirectMap4k:      284524 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: DirectMap2M:    11249664 kB
Aug 08 08:57:53.081249 np0000032472 memory_tracker.sh[50536]: DirectMap1G:     3145728 kB
Aug 08 08:57:53.085231 np0000032472 memory_tracker.sh[45716]: ---
Aug 08 08:57:53.091522 np0000032472 memory_tracker.sh[50538]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 08 08:57:53.091522 np0000032472 memory_tracker.sh[50538]:      45149    3.3          413988          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 08 08:57:53.091522 np0000032472 memory_tracker.sh[50538]:      48042    1.0          132424      48040   00:00:03        2 -                         keystoneuWSGI worker 2
Aug 08 08:57:53.091522 np0000032472 memory_tracker.sh[50538]:      48041    1.0          130972      48040   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 08 08:57:53.091522 np0000032472 memory_tracker.sh[50538]:      20803    1.0          124136          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-12.2.1/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false
Aug 08 08:57:53.091522 np0000032472 memory_tracker.sh[50538]:      30503    0.9          112820          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 08 08:57:53.091522 np0000032472 memory_tracker.sh[50538]:      44462    0.7           86116          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 08 08:57:53.091522 np0000032472 memory_tracker.sh[50538]:      10770    0.3           47908          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 08 08:57:53.091522 np0000032472 memory_tracker.sh[50538]:      10772    0.3           38772      10770   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 08 08:57:53.091522 np0000032472 memory_tracker.sh[50538]:        343    0.2           26840          1   00:00:00        7 futex_wait_queue_me       /sbin/multipathd -d -s
Aug 08 08:57:53.092453 np0000032472 memory_tracker.sh[50538]:      43560    0.2           24720          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 08 08:57:53.092453 np0000032472 memory_tracker.sh[50538]:       2214    0.1           24144       2213   00:00:00        2 do_wait                   /usr/bin/python3
Aug 08 08:57:53.092453 np0000032472 memory_tracker.sh[50538]:      38690    0.1           23836          1   00:00:00       19 do_poll.constprop.0       /usr/sbin/libvirtd
Aug 08 08:57:53.092453 np0000032472 memory_tracker.sh[50538]:      46679    0.1           23316          1   00:00:00       12 futex_wait_queue_me       /opt/stack/bin/etcd --name np0000032472 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032472=http://192.168.1.105:2380 --initial-advertise-peer-urls http://192.168.1.105:2380 --advertise-client-urls http://192.168.1.105:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.105:2379 --log-level=debug
Aug 08 08:57:53.092453 np0000032472 memory_tracker.sh[50538]:        966    0.1           20368          1   00:00:00        3 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 08 08:57:53.092453 np0000032472 memory_tracker.sh[50538]:      19853    0.1           20220          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-journald
Aug 08 08:57:53.092453 np0000032472 memory_tracker.sh[50538]:      43564    0.1           19176      43560   00:00:00        1 ep_poll                   /usr/lib/x86_64-linux-gnu/samba/samba-bgqd --ready-signal-fd=45 --parent-watch-fd=11 --debuglevel=0 -F
Aug 08 08:57:53.092453 np0000032472 memory_tracker.sh[50538]:        493    0.1           19128          1   00:00:00        1 do_poll.constprop.0       /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
Aug 08 08:57:53.092453 np0000032472 memory_tracker.sh[50538]:       1183    0.1           18132          1   00:01:09        2 inet_csk_accept           /usr/bin/python3
Aug 08 08:57:53.092453 np0000032472 memory_tracker.sh[50538]:      48353    0.1           18076      48348   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 08 08:57:53.092453 np0000032472 memory_tracker.sh[50538]:      48354    0.1           17372      48348   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 08 08:57:53.092453 np0000032472 memory_tracker.sh[50538]:      48040    0.1           16192          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 08 08:57:53.092453 np0000032472 memory_tracker.sh[50538]:        587    0.1           15832          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Aug 08 08:57:53.093182 np0000032472 memory_tracker.sh[50538]:      43550    0.1           14960          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 08 08:57:53.093182 np0000032472 memory_tracker.sh[50538]:      38721    0.1           13972          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 08 08:57:53.093182 np0000032472 memory_tracker.sh[50538]:        579    0.1           13420          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-resolved
Aug 08 08:57:53.093182 np0000032472 memory_tracker.sh[50538]:          1    0.1           13284          0   00:00:12        1 ep_poll                   /sbin/init nofb
Aug 08 08:57:53.093182 np0000032472 memory_tracker.sh[50538]:      34717    0.1           13172          1   00:00:00        1 do_poll.constprop.0       /sbin/iscsid
Aug 08 08:57:53.093182 np0000032472 memory_tracker.sh[50538]:       2217    0.0           12160       2215   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 08 08:57:53.093182 np0000032472 memory_tracker.sh[50538]:      48429    0.0           11608          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -P /var/run/memcached/memcached.pid
