Sep 04 13:11:45.263501 np0000032636 systemd[1]: Started Devstack devstack@memory_tracker.service.
Sep 04 13:11:45.270123 np0000032636 memory_tracker.sh[47278]: [[[
Sep 04 13:11:45.270599 np0000032636 memory_tracker.sh[47293]: Thu Sep  4 13:11:45 UTC 2025
Sep 04 13:11:45.270898 np0000032636 memory_tracker.sh[47278]: ---
Sep 04 13:11:45.317503 np0000032636 memory_tracker.sh[47297]: [iscsid (pid:36284)]=13400KB; [multipathd (pid:348)]=289296KB; [ovs-vswitchd (pid:32064)]=899432KB
Sep 04 13:11:45.322658 np0000032636 memory_tracker.sh[47278]: ]]]
Sep 04 13:12:05.326999 np0000032636 memory_tracker.sh[47278]: [[[
Sep 04 13:12:05.327573 np0000032636 memory_tracker.sh[52233]: Thu Sep  4 13:12:05 UTC 2025
Sep 04 13:12:05.328048 np0000032636 memory_tracker.sh[47278]: ---
Sep 04 13:12:05.328048 np0000032636 memory_tracker.sh[47278]: memory_tracker low_point: 10332344
Sep 04 13:12:05.328048 np0000032636 memory_tracker.sh[47278]: ---
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: MemTotal:       12242248 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: MemFree:          267700 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: MemAvailable:   10332604 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: Buffers:          295852 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: Cached:          9538580 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: SwapCached:           24 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: Active:           982540 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: Inactive:        9810416 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: Active(anon):       1924 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: Inactive(anon):  1129764 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: Active(file):     980616 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: Inactive(file):  8680652 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: Unevictable:      141896 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: Mlocked:          141896 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: SwapTotal:       8388604 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: SwapFree:        8387056 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: Dirty:              7044 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: Writeback:            16 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: AnonPages:       1100460 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: Mapped:           199292 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: Shmem:            155168 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: KReclaimable:     729260 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: Slab:             846108 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: SReclaimable:     729260 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: SUnreclaim:       116848 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: KernelStack:        8024 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: PageTables:        10020 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: NFS_Unstable:          0 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: Bounce:                0 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: WritebackTmp:          0 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: CommitLimit:    14509728 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: Committed_AS:    2901628 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: VmallocTotal:   13743895347199 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: VmallocUsed:       23456 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: VmallocChunk:          0 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: Percpu:             4864 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: HardwareCorrupted:     0 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: AnonHugePages:         0 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: ShmemHugePages:        0 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: ShmemPmdMapped:        0 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: FileHugePages:         0 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: FilePmdMapped:         0 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: HugePages_Total:       0
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: HugePages_Free:        0
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: HugePages_Rsvd:        0
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: HugePages_Surp:        0
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: Hugepagesize:       2048 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: Hugetlb:               0 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: DirectMap4k:      268140 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: DirectMap2M:    11266048 kB
Sep 04 13:12:05.328529 np0000032636 memory_tracker.sh[52234]: DirectMap1G:     3145728 kB
Sep 04 13:12:05.330406 np0000032636 memory_tracker.sh[47278]: ---
Sep 04 13:12:05.337249 np0000032636 memory_tracker.sh[52236]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 04 13:12:05.337249 np0000032636 memory_tracker.sh[52236]:      46711    3.3          413512          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Sep 04 13:12:05.337249 np0000032636 memory_tracker.sh[52236]:      49603    1.0          132716      49601   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Sep 04 13:12:05.337249 np0000032636 memory_tracker.sh[52236]:      49602    1.0          131560      49601   00:00:03        2 -                         keystoneuWSGI worker 1
Sep 04 13:12:05.337249 np0000032636 memory_tracker.sh[52236]:      22364    1.0          126344          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-12.2.1/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false
Sep 04 13:12:05.337249 np0000032636 memory_tracker.sh[52236]:      32064    0.9          112856          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 04 13:12:05.337249 np0000032636 memory_tracker.sh[52236]:      46030    0.7           86272          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 04 13:12:05.337249 np0000032636 memory_tracker.sh[52236]:      12332    0.3           47880          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 04 13:12:05.337249 np0000032636 memory_tracker.sh[52236]:      12334    0.3           38864      12332   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 04 13:12:05.337249 np0000032636 memory_tracker.sh[52236]:        348    0.2           26840          1   00:00:09        7 futex_wait_queue_me       /sbin/multipathd -d -s
Sep 04 13:12:05.337639 np0000032636 memory_tracker.sh[52236]:      45204    0.2           25336          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Sep 04 13:12:05.337639 np0000032636 memory_tracker.sh[52236]:       3603    0.1           24040       3602   00:00:00        2 do_wait                   /usr/bin/python3
Sep 04 13:12:05.337639 np0000032636 memory_tracker.sh[52236]:      40258    0.1           23756          1   00:00:00       19 do_poll.constprop.0       /usr/sbin/libvirtd
Sep 04 13:12:05.337639 np0000032636 memory_tracker.sh[52236]:      48241    0.1           22828          1   00:00:00       11 futex_wait_queue_me       /opt/stack/bin/etcd --name np0000032636 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032636=http://192.168.1.112:2380 --initial-advertise-peer-urls http://192.168.1.112:2380 --advertise-client-urls http://192.168.1.112:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.112:2379 --log-level=debug
Sep 04 13:12:05.337639 np0000032636 memory_tracker.sh[52236]:      21420    0.1           21240          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-journald
Sep 04 13:12:05.337639 np0000032636 memory_tracker.sh[52236]:        968    0.1           20256          1   00:00:00        3 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 04 13:12:05.337639 np0000032636 memory_tracker.sh[52236]:      45208    0.1           20048      45204   00:00:00        1 ep_poll                   /usr/lib/x86_64-linux-gnu/samba/samba-bgqd --ready-signal-fd=45 --parent-watch-fd=11 --debuglevel=0 -F
Sep 04 13:12:05.337639 np0000032636 memory_tracker.sh[52236]:        495    0.1           18812          1   00:00:00        1 do_poll.constprop.0       /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
Sep 04 13:12:05.337639 np0000032636 memory_tracker.sh[52236]:       2573    0.1           18540          1   00:01:10        2 inet_csk_accept           /usr/bin/python3
Sep 04 13:12:05.337639 np0000032636 memory_tracker.sh[52236]:      49915    0.1           17260      49909   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 04 13:12:05.337639 np0000032636 memory_tracker.sh[52236]:      49914    0.1           17240      49909   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 04 13:12:05.337639 np0000032636 memory_tracker.sh[52236]:      49601    0.1           16492          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 04 13:12:05.337639 np0000032636 memory_tracker.sh[52236]:      45194    0.1           15552          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Sep 04 13:12:05.337970 np0000032636 memory_tracker.sh[52236]:        592    0.1           15496          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 04 13:12:05.337970 np0000032636 memory_tracker.sh[52236]:      40290    0.1           14112          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 04 13:12:05.337970 np0000032636 memory_tracker.sh[52236]:        584    0.1           13308          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-resolved
Sep 04 13:12:05.337970 np0000032636 memory_tracker.sh[52236]:      36284    0.1           13020          1   00:00:00        1 do_poll.constprop.0       /sbin/iscsid
Sep 04 13:12:05.337970 np0000032636 memory_tracker.sh[52236]:          1    0.1           12952          0   00:00:12        1 ep_poll                   /sbin/init nofb
Sep 04 13:12:05.337970 np0000032636 memory_tracker.sh[52236]:       3606    0.0           12208       3604   00:00:02        1 pipe_read                 bash ./stack.sh
Sep 04 13:12:05.337970 np0000032636 memory_tracker.sh[52236]:      49990    0.0           11512          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -P /var/run/memcached/memcached.pid
