192.168.1.121 - - [25/Aug/2025:14:25:09 +0000] "GET /identity/v3/ HTTP/1.1" 200 504 "-" "curl/7.81.0"
192.168.1.121 - - [25/Aug/2025:14:25:15 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:15 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:15 +0000] "GET /identity/v3/auth/tokens HTTP/1.1" 200 1428 "-" "python-keystoneclient"
192.168.1.121 - - [25/Aug/2025:14:25:15 +0000] "GET /identity/v3/projects/ff872f46bddf4c2a9e73a617375e6065 HTTP/1.1" 200 593 "-" "python-keystoneclient"
192.168.1.121 - - [25/Aug/2025:14:25:15 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:15 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:15 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:15 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 604 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:15 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:15 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:15 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:15 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:15 +0000] "GET /identity/v3/users/5937e1347a9c43a290326b34c803b98b HTTP/1.1" 200 496 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "PUT /identity/v3/domains/default/users/5937e1347a9c43a290326b34c803b98b/roles/8e12ec68a822407a9511caa31ec9ac49 HTTP/1.1" 204 201 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "POST /identity/v3/domains HTTP/1.1" 409 442 "-" "python-keystoneclient"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "python-keystoneclient"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 560 "-" "python-keystoneclient"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "GET /identity/v3/users/5937e1347a9c43a290326b34c803b98b HTTP/1.1" 200 496 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "GET /identity/v3/role_assignments?role.id=8e12ec68a822407a9511caa31ec9ac49&scope.domain.id=default&user.id=5937e1347a9c43a290326b34c803b98b HTTP/1.1" 200 782 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "python-keystoneclient"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 560 "-" "python-keystoneclient"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "POST /identity/v3/projects HTTP/1.1" 201 555 "-" "python-keystoneclient"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:16 +0000] "POST /identity/v3/roles HTTP/1.1" 409 392 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:17 +0000] "GET /identity/v3/roles/service HTTP/1.1" 404 337 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:17 +0000] "GET /identity/v3/roles?name=service HTTP/1.1" 200 595 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:17 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:17 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:17 +0000] "POST /identity/v3/roles HTTP/1.1" 201 479 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:17 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:17 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:17 +0000] "POST /identity/v3/roles HTTP/1.1" 201 477 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:17 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:17 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:17 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "python-keystoneclient"
192.168.1.121 - - [25/Aug/2025:14:25:17 +0000] "POST /identity/v3/projects HTTP/1.1" 201 566 "-" "python-keystoneclient"
192.168.1.121 - - [25/Aug/2025:14:25:17 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:17 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:17 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "python-keystoneclient"
192.168.1.121 - - [25/Aug/2025:14:25:17 +0000] "POST /identity/v3/projects HTTP/1.1" 201 552 "-" "python-keystoneclient"
192.168.1.121 - - [25/Aug/2025:14:25:17 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:17 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:17 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:17 +0000] "POST /identity/v3/users HTTP/1.1" 201 529 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [25/Aug/2025:14:25:18 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
