Aug 25 14:25:00.152400 np0000032573 systemd[1]: Started Devstack devstack@memory_tracker.service.
Aug 25 14:25:00.159093 np0000032573 memory_tracker.sh[47795]: [[[
Aug 25 14:25:00.160055 np0000032573 memory_tracker.sh[47808]: Mon Aug 25 14:25:00 UTC 2025
Aug 25 14:25:00.160142 np0000032573 memory_tracker.sh[47795]: ---
Aug 25 14:25:00.206380 np0000032573 memory_tracker.sh[47812]: [iscsid (pid:36739)]=13400KB; [multipathd (pid:348)]=289296KB; [ovs-vswitchd (pid:32525)]=899424KB
Aug 25 14:25:00.211609 np0000032573 memory_tracker.sh[47795]: ]]]
Aug 25 14:25:20.217416 np0000032573 memory_tracker.sh[47795]: [[[
Aug 25 14:25:20.217951 np0000032573 memory_tracker.sh[52480]: Mon Aug 25 14:25:20 UTC 2025
Aug 25 14:25:20.218155 np0000032573 memory_tracker.sh[47795]: ---
Aug 25 14:25:20.218155 np0000032573 memory_tracker.sh[47795]: memory_tracker low_point: 10328436
Aug 25 14:25:20.218155 np0000032573 memory_tracker.sh[47795]: ---
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: MemTotal:       12242256 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: MemFree:          258800 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: MemAvailable:   10343100 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: Buffers:          290112 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: Cached:          9569368 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: SwapCached:           24 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: Active:           943752 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: Inactive:        9881728 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: Active(anon):       1928 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: Inactive(anon):  1135936 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: Active(file):     941824 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: Inactive(file):  8745792 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: Unevictable:      141888 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: Mlocked:          141888 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: SwapTotal:       8388604 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: SwapFree:        8387048 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: Dirty:              6128 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: Writeback:             0 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: AnonPages:       1107564 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: Mapped:           198608 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: Shmem:            155156 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: KReclaimable:     722116 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: Slab:             839592 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: SReclaimable:     722116 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: SUnreclaim:       117476 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: KernelStack:        8168 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: PageTables:        10464 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: NFS_Unstable:          0 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: Bounce:                0 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: WritebackTmp:          0 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: CommitLimit:    14509732 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: Committed_AS:    2942040 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: VmallocTotal:   13743895347199 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: VmallocUsed:       23584 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: VmallocChunk:          0 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: Percpu:             4864 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: HardwareCorrupted:     0 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: AnonHugePages:         0 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: ShmemHugePages:        0 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: ShmemPmdMapped:        0 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: FileHugePages:         0 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: FilePmdMapped:         0 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: HugePages_Total:       0
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: HugePages_Free:        0
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: HugePages_Rsvd:        0
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: HugePages_Surp:        0
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: Hugepagesize:       2048 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: Hugetlb:               0 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: DirectMap4k:      305004 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: DirectMap2M:    10180608 kB
Aug 25 14:25:20.219271 np0000032573 memory_tracker.sh[52481]: DirectMap1G:     4194304 kB
Aug 25 14:25:20.220094 np0000032573 memory_tracker.sh[47795]: ---
Aug 25 14:25:20.227123 np0000032573 memory_tracker.sh[52483]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 25 14:25:20.227123 np0000032573 memory_tracker.sh[52483]:      47228    3.3          411896          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 25 14:25:20.227123 np0000032573 memory_tracker.sh[52483]:      50143    1.0          131332      50141   00:00:03        2 -                         keystoneuWSGI worker 2
Aug 25 14:25:20.227123 np0000032573 memory_tracker.sh[52483]:      50142    1.0          129752      50141   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 25 14:25:20.227123 np0000032573 memory_tracker.sh[52483]:      22822    1.0          125556          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-12.2.1/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false
Aug 25 14:25:20.227123 np0000032573 memory_tracker.sh[52483]:      32525    0.9          112844          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 25 14:25:20.227123 np0000032573 memory_tracker.sh[52483]:      46503    0.7           87896          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 25 14:25:20.227123 np0000032573 memory_tracker.sh[52483]:      12872    0.3           48056          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 25 14:25:20.227123 np0000032573 memory_tracker.sh[52483]:      12874    0.3           38768      12872   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 25 14:25:20.227123 np0000032573 memory_tracker.sh[52483]:        348    0.2           26840          1   00:00:17        7 futex_wait_queue_me       /sbin/multipathd -d -s
Aug 25 14:25:20.227483 np0000032573 memory_tracker.sh[52483]:      45636    0.2           25076          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 25 14:25:20.227483 np0000032573 memory_tracker.sh[52483]:       4107    0.1           24088       4106   00:00:00        2 do_wait                   /usr/bin/python3
Aug 25 14:25:20.227483 np0000032573 memory_tracker.sh[52483]:      40955    0.1           23812          1   00:00:00       19 do_poll.constprop.0       /usr/sbin/libvirtd
Aug 25 14:25:20.227483 np0000032573 memory_tracker.sh[52483]:      48775    0.1           22300          1   00:00:00       11 futex_wait_queue_me       /opt/stack/bin/etcd --name np0000032573 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032573=http://192.168.1.121:2380 --initial-advertise-peer-urls http://192.168.1.121:2380 --advertise-client-urls http://192.168.1.121:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.121:2379 --log-level=debug
Aug 25 14:25:20.227483 np0000032573 memory_tracker.sh[52483]:      21872    0.1           20740          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-journald
Aug 25 14:25:20.227483 np0000032573 memory_tracker.sh[52483]:        962    0.1           20420          1   00:00:01        3 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 25 14:25:20.227483 np0000032573 memory_tracker.sh[52483]:      45640    0.1           19828      45636   00:00:00        1 ep_poll                   /usr/lib/x86_64-linux-gnu/samba/samba-bgqd --ready-signal-fd=45 --parent-watch-fd=11 --debuglevel=0 -F
Aug 25 14:25:20.227483 np0000032573 memory_tracker.sh[52483]:        493    0.1           18964          1   00:00:00        1 do_poll.constprop.0       /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
Aug 25 14:25:20.227483 np0000032573 memory_tracker.sh[52483]:       3061    0.1           18416          1   00:01:11        2 inet_csk_accept           /usr/bin/python3
Aug 25 14:25:20.227483 np0000032573 memory_tracker.sh[52483]:      50141    0.1           16824          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 25 14:25:20.227483 np0000032573 memory_tracker.sh[52483]:        589    0.1           15820          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Aug 25 14:25:20.227483 np0000032573 memory_tracker.sh[52483]:      45626    0.1           15544          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 25 14:25:20.227483 np0000032573 memory_tracker.sh[52483]:      40987    0.1           14236          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 25 14:25:20.227699 np0000032573 memory_tracker.sh[52483]:        581    0.1           13356          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-resolved
Aug 25 14:25:20.227699 np0000032573 memory_tracker.sh[52483]:          1    0.1           13280          0   00:00:13        1 ep_poll                   /sbin/init nofb
Aug 25 14:25:20.227699 np0000032573 memory_tracker.sh[52483]:      36739    0.1           13032          1   00:00:00        1 do_poll.constprop.0       /sbin/iscsid
Aug 25 14:25:20.227699 np0000032573 memory_tracker.sh[52483]:       4110    0.0           12156       4108   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 25 14:25:20.227699 np0000032573 memory_tracker.sh[52483]:      50534    0.0           11596          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -P /var/run/memcached/memcached.pid
Aug 25 14:25:20.227699 np0000032573 memory_tracker.sh[52483]:       6427    0.0           11100       6421   00:00:00        1 pipe_read                 /usr/bin/python3.10 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-08-25-142044.summary.2025-08-25-142044
