192.168.1.121 - - [11/Aug/2025:06:00:22 +0000] "GET /identity/v3/ HTTP/1.1" 200 504 "-" "curl/7.81.0"
192.168.1.121 - - [11/Aug/2025:06:00:27 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [11/Aug/2025:06:00:27 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [11/Aug/2025:06:00:28 +0000] "GET /identity/v3/auth/tokens HTTP/1.1" 200 1428 "-" "python-keystoneclient"
192.168.1.121 - - [11/Aug/2025:06:00:28 +0000] "GET /identity/v3/projects/d388d86d356f423599152f5b3c65ac10 HTTP/1.1" 200 593 "-" "python-keystoneclient"
192.168.1.121 - - [11/Aug/2025:06:00:28 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [11/Aug/2025:06:00:28 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [11/Aug/2025:06:00:28 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [11/Aug/2025:06:00:28 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 604 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [11/Aug/2025:06:00:28 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [11/Aug/2025:06:00:28 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [11/Aug/2025:06:00:28 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [11/Aug/2025:06:00:28 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [11/Aug/2025:06:00:28 +0000] "GET /identity/v3/users/1dd0cf7f25104a24b7de95edd4428db1 HTTP/1.1" 200 496 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.121 - - [11/Aug/2025:06:00:28 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
