Aug 11 06:00:13.522535 np0000032518 systemd[1]: Started Devstack devstack@memory_tracker.service.
Aug 11 06:00:13.529150 np0000032518 memory_tracker.sh[46077]: [[[
Aug 11 06:00:13.530323 np0000032518 memory_tracker.sh[46092]: Mon Aug 11 06:00:13 UTC 2025
Aug 11 06:00:13.530402 np0000032518 memory_tracker.sh[46077]: ---
Aug 11 06:00:13.577262 np0000032518 memory_tracker.sh[46096]: [iscsid (pid:35021)]=13400KB; [multipathd (pid:348)]=289296KB; [ovs-vswitchd (pid:30805)]=899424KB
Aug 11 06:00:13.582959 np0000032518 memory_tracker.sh[46077]: ]]]
Aug 11 06:00:33.587991 np0000032518 memory_tracker.sh[46077]: [[[
Aug 11 06:00:33.588816 np0000032518 memory_tracker.sh[50801]: Mon Aug 11 06:00:33 UTC 2025
Aug 11 06:00:33.588999 np0000032518 memory_tracker.sh[46077]: ---
Aug 11 06:00:33.588999 np0000032518 memory_tracker.sh[46077]: memory_tracker low_point: 10325324
Aug 11 06:00:33.588999 np0000032518 memory_tracker.sh[46077]: ---
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: MemTotal:       12242256 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: MemFree:          251096 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: MemAvailable:   10325324 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: Buffers:          286724 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: Cached:          9564968 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: SwapCached:           16 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: Active:           949940 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: Inactive:        9869164 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: Active(anon):       1888 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: Inactive(anon):  1137656 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: Active(file):     948052 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: Inactive(file):  8731508 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: Unevictable:      141888 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: Mlocked:          141888 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: SwapTotal:       8388604 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: SwapFree:        8387312 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: Dirty:              6356 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: Writeback:             0 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: AnonPages:       1109436 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: Mapped:           191456 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: Shmem:            155160 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: KReclaimable:     720100 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: Slab:             835992 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: SReclaimable:     720100 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: SUnreclaim:       115892 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: KernelStack:        8028 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: PageTables:        10256 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: NFS_Unstable:          0 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: Bounce:                0 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: WritebackTmp:          0 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: CommitLimit:    14509732 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: Committed_AS:    2933644 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: VmallocTotal:   13743895347199 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: VmallocUsed:       23520 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: VmallocChunk:          0 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: Percpu:             4896 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: HardwareCorrupted:     0 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: AnonHugePages:         0 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: ShmemHugePages:        0 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: ShmemPmdMapped:        0 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: FileHugePages:         0 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: FilePmdMapped:         0 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: HugePages_Total:       0
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: HugePages_Free:        0
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: HugePages_Rsvd:        0
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: HugePages_Surp:        0
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: Hugepagesize:       2048 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: Hugetlb:               0 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: DirectMap4k:      294764 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: DirectMap2M:    10190848 kB
Aug 11 06:00:33.589760 np0000032518 memory_tracker.sh[50802]: DirectMap1G:     4194304 kB
Aug 11 06:00:33.592024 np0000032518 memory_tracker.sh[46077]: ---
Aug 11 06:00:33.597957 np0000032518 memory_tracker.sh[50804]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 11 06:00:33.597957 np0000032518 memory_tracker.sh[50804]:      45510    3.3          414212          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 11 06:00:33.597957 np0000032518 memory_tracker.sh[50804]:      48422    1.0          131536      48421   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 11 06:00:33.597957 np0000032518 memory_tracker.sh[50804]:      48423    1.0          130196      48421   00:00:03        2 futex_lock_pi             keystoneuWSGI worker 2
Aug 11 06:00:33.597957 np0000032518 memory_tracker.sh[50804]:      21099    1.0          124596          1   00:00:02       32 do_select                 /usr/lib/erlang/erts-12.2.1/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false
Aug 11 06:00:33.597957 np0000032518 memory_tracker.sh[50804]:      30805    0.9          112848          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 11 06:00:33.597957 np0000032518 memory_tracker.sh[50804]:      44785    0.7           87964          1   00:00:01        1 -                         /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 11 06:00:33.597957 np0000032518 memory_tracker.sh[50804]:      11158    0.3           47836          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 11 06:00:33.597957 np0000032518 memory_tracker.sh[50804]:      11160    0.3           38732      11158   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 11 06:00:33.597957 np0000032518 memory_tracker.sh[50804]:        348    0.2           26840          1   00:00:02        7 futex_wait_queue_me       /sbin/multipathd -d -s
Aug 11 06:00:33.598324 np0000032518 memory_tracker.sh[50804]:      43918    0.2           24640          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 11 06:00:33.598324 np0000032518 memory_tracker.sh[50804]:       2570    0.1           24056       2569   00:00:00        2 do_wait                   /usr/bin/python3
Aug 11 06:00:33.598324 np0000032518 memory_tracker.sh[50804]:      39237    0.1           23832          1   00:00:00       19 do_poll.constprop.0       /usr/sbin/libvirtd
Aug 11 06:00:33.598324 np0000032518 memory_tracker.sh[50804]:      47057    0.1           23072          1   00:00:00       11 ep_poll                   /opt/stack/bin/etcd --name np0000032518 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032518=http://192.168.1.121:2380 --initial-advertise-peer-urls http://192.168.1.121:2380 --advertise-client-urls http://192.168.1.121:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.121:2379 --log-level=debug
Aug 11 06:00:33.598324 np0000032518 memory_tracker.sh[50804]:      20150    0.1           20564          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-journald
Aug 11 06:00:33.598324 np0000032518 memory_tracker.sh[50804]:      43922    0.1           20376      43918   00:00:00        1 ep_poll                   /usr/lib/x86_64-linux-gnu/samba/samba-bgqd --ready-signal-fd=45 --parent-watch-fd=11 --debuglevel=0 -F
Aug 11 06:00:33.598324 np0000032518 memory_tracker.sh[50804]:        964    0.1           20104          1   00:00:00        3 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 11 06:00:33.598324 np0000032518 memory_tracker.sh[50804]:        492    0.1           18788          1   00:00:00        1 do_poll.constprop.0       /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
Aug 11 06:00:33.598324 np0000032518 memory_tracker.sh[50804]:       1539    0.1           18652          1   00:01:10        2 inet_csk_accept           /usr/bin/python3
Aug 11 06:00:33.598324 np0000032518 memory_tracker.sh[50804]:      48421    0.1           16820          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 11 06:00:33.598324 np0000032518 memory_tracker.sh[50804]:        588    0.1           15732          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Aug 11 06:00:33.598324 np0000032518 memory_tracker.sh[50804]:      43908    0.1           14948          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 11 06:00:33.598324 np0000032518 memory_tracker.sh[50804]:      39269    0.1           14092          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 11 06:00:33.598642 np0000032518 memory_tracker.sh[50804]:          1    0.1           13240          0   00:00:12        1 ep_poll                   /sbin/init nofb
Aug 11 06:00:33.598642 np0000032518 memory_tracker.sh[50804]:        580    0.1           13120          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-resolved
Aug 11 06:00:33.598642 np0000032518 memory_tracker.sh[50804]:      35021    0.1           13108          1   00:00:00        1 do_poll.constprop.0       /sbin/iscsid
Aug 11 06:00:33.598642 np0000032518 memory_tracker.sh[50804]:       2573    0.0           12152       2571   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 11 06:00:33.598642 np0000032518 memory_tracker.sh[50804]:      48814    0.0           11612          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -P /var/run/memcached/memcached.pid
Aug 11 06:00:33.598642 np0000032518 memory_tracker.sh[50804]:       4723    0.0           11136       4713   00:00:00        1 pipe_read                 /usr/bin/python3.10 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-08-11-055554
