Jul 29 16:07:49.830215 np0000031961 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 29 16:07:49.837884 np0000031961 memory_tracker.sh[44277]: [[[
Jul 29 16:07:49.838657 np0000031961 memory_tracker.sh[44292]: Tue Jul 29 16:07:49 UTC 2025
Jul 29 16:07:49.838732 np0000031961 memory_tracker.sh[44277]: ---
Jul 29 16:07:49.838732 np0000031961 memory_tracker.sh[44277]: memory_tracker low_point: 10827152
Jul 29 16:07:49.838732 np0000031961 memory_tracker.sh[44277]: ---
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: MemTotal:       12245956 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: MemFree:          492656 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: MemAvailable:   10826652 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Buffers:          275912 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Cached:          9685444 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: SwapCached:            4 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Active:           861608 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Inactive:        9720672 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Active(anon):     673036 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Inactive(anon):      240 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Active(file):     188572 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Inactive(file):  9720432 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Unevictable:      143572 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Mlocked:          142372 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: SwapTotal:       8388604 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: SwapFree:        8388336 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Zswap:                12 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Zswapped:              4 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Dirty:            198592 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Writeback:             0 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: AnonPages:        764556 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Mapped:           160152 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Shmem:             32504 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: KReclaimable:     750856 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Slab:             890840 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: SReclaimable:     750856 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: SUnreclaim:       139984 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: KernelStack:        7812 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: PageTables:         8920 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: SecPageTables:         0 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: NFS_Unstable:          0 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Bounce:                0 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: WritebackTmp:          0 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: CommitLimit:    14511580 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Committed_AS:    2239524 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: VmallocTotal:   13743895347199 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: VmallocUsed:       27068 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: VmallocChunk:          0 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Percpu:             4960 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: HardwareCorrupted:     0 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: AnonHugePages:         0 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: ShmemHugePages:        0 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: ShmemPmdMapped:        0 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: FileHugePages:         0 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: FilePmdMapped:         0 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Unaccepted:            0 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: HugePages_Total:       0
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: HugePages_Free:        0
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: HugePages_Rsvd:        0
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: HugePages_Surp:        0
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Hugepagesize:       2048 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: Hugetlb:               0 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: DirectMap4k:      274284 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: DirectMap2M:     9162752 kB
Jul 29 16:07:49.839468 np0000031961 memory_tracker.sh[44294]: DirectMap1G:     5242880 kB
Jul 29 16:07:49.840348 np0000031961 memory_tracker.sh[44277]: ---
Jul 29 16:07:49.849759 np0000031961 memory_tracker.sh[44297]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 29 16:07:49.849759 np0000031961 memory_tracker.sh[44297]:      43628    3.1          385720          1   00:00:00       38 do_poll.constprop.0       /usr/sbin/mysqld
Jul 29 16:07:49.849759 np0000031961 memory_tracker.sh[44297]:      18303    1.1          135828          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Jul 29 16:07:49.849759 np0000031961 memory_tracker.sh[44297]:      28199    0.9          115948          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 29 16:07:49.849759 np0000031961 memory_tracker.sh[44297]:      42919    0.6           80780          1   00:00:00        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 29 16:07:49.849759 np0000031961 memory_tracker.sh[44297]:      11710    0.3           40032      11708   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 29 16:07:49.849759 np0000031961 memory_tracker.sh[44297]:        370    0.2           27008          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 29 16:07:49.849759 np0000031961 memory_tracker.sh[44297]:      41807    0.2           26112          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Jul 29 16:07:49.849759 np0000031961 memory_tracker.sh[44297]:      36912    0.2           25728          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 29 16:07:49.849759 np0000031961 memory_tracker.sh[44297]:       2708    0.2           25132       2707   00:00:00        2 do_wait                   /usr/bin/python3
Jul 29 16:07:49.850120 np0000031961 memory_tracker.sh[44297]:      15721    0.1           20352          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Jul 29 16:07:49.850120 np0000031961 memory_tracker.sh[44297]:       1619    0.1           19316          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Jul 29 16:07:49.850120 np0000031961 memory_tracker.sh[44297]:      41871    0.1           18304          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Jul 29 16:07:49.850120 np0000031961 memory_tracker.sh[44297]:      17216    0.1           17408          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Jul 29 16:07:49.850120 np0000031961 memory_tracker.sh[44297]:      36948    0.1           15360          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 29 16:07:49.850120 np0000031961 memory_tracker.sh[44297]:      30687    0.1           15232          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 29 16:07:49.850120 np0000031961 memory_tracker.sh[44297]:      32698    0.1           13900          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 29 16:07:49.850120 np0000031961 memory_tracker.sh[44297]:          1    0.1           13596          0   00:00:10        1 ep_poll                   /sbin/init nofb
Jul 29 16:07:49.850120 np0000031961 memory_tracker.sh[44297]:      11708    0.1           12928          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 29 16:07:49.850120 np0000031961 memory_tracker.sh[44297]:        411    0.1           12800          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 29 16:07:49.850120 np0000031961 memory_tracker.sh[44297]:       4894    0.1           12288       2711   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-07-29-155217
Jul 29 16:07:49.850120 np0000031961 memory_tracker.sh[44297]:       4899    0.1           12288       2711   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-07-29-155217.summary.2025-07-29-155217
Jul 29 16:07:49.850120 np0000031961 memory_tracker.sh[44297]:       1477    0.0           11392          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 29 16:07:49.850120 np0000031961 memory_tracker.sh[44297]:       2711    0.0           11136       2709   00:00:02        1 pipe_read                 bash ./stack.sh
Jul 29 16:07:49.850120 np0000031961 memory_tracker.sh[44297]:      39183    0.0            9960       2711   00:00:00        1 do_wait                   bash ./stack.sh
Jul 29 16:07:49.850356 np0000031961 memory_tracker.sh[44297]:        853    0.0            9472          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Jul 29 16:07:49.850356 np0000031961 memory_tracker.sh[44297]:        543    0.0            8960          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Jul 29 16:07:49.850356 np0000031961 memory_tracker.sh[44297]:      28691    0.0            8704          1   00:00:01        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
