Aug 02 05:19:09.027783 np0000032142 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 02 05:19:09.035487 np0000032142 memory_tracker.sh[44598]: [[[
Aug 02 05:19:09.036208 np0000032142 memory_tracker.sh[44613]: Sat Aug  2 05:19:09 UTC 2025
Aug 02 05:19:09.036332 np0000032142 memory_tracker.sh[44598]: ---
Aug 02 05:19:09.036367 np0000032142 memory_tracker.sh[44598]: memory_tracker low_point: 10826140
Aug 02 05:19:09.036367 np0000032142 memory_tracker.sh[44598]: ---
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: MemTotal:       12245960 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: MemFree:          561444 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: MemAvailable:   10826140 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Buffers:          282444 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Cached:          9606580 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: SwapCached:            4 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Active:          1028132 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Inactive:        9480488 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Active(anon):     670992 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Inactive(anon):      892 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Active(file):     357140 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Inactive(file):  9479596 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Unevictable:      143572 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Mlocked:          142372 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: SwapTotal:       8388604 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: SwapFree:        8388336 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Zswap:               364 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Zswapped:             68 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Dirty:             91820 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Writeback:             0 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: AnonPages:        763104 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Mapped:           159568 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Shmem:             32440 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: KReclaimable:     753636 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Slab:             894300 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: SReclaimable:     753636 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: SUnreclaim:       140664 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: KernelStack:        7828 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: PageTables:         9060 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: SecPageTables:         0 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: NFS_Unstable:          0 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Bounce:                0 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: WritebackTmp:          0 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: CommitLimit:    14511584 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Committed_AS:    2239592 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: VmallocTotal:   13743895347199 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: VmallocUsed:       26988 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: VmallocChunk:          0 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Percpu:             5152 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: HardwareCorrupted:     0 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: AnonHugePages:         0 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: ShmemHugePages:        0 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: ShmemPmdMapped:        0 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: FileHugePages:         0 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: FilePmdMapped:         0 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Unaccepted:            0 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: HugePages_Total:       0
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: HugePages_Free:        0
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: HugePages_Rsvd:        0
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: HugePages_Surp:        0
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Hugepagesize:       2048 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: Hugetlb:               0 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: DirectMap4k:      290668 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: DirectMap2M:    11243520 kB
Aug 02 05:19:09.037438 np0000032142 memory_tracker.sh[44615]: DirectMap1G:     3145728 kB
Aug 02 05:19:09.038105 np0000032142 memory_tracker.sh[44598]: ---
Aug 02 05:19:09.047411 np0000032142 memory_tracker.sh[44618]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 02 05:19:09.047411 np0000032142 memory_tracker.sh[44618]:      43948    3.1          385840          1   00:00:00       38 do_poll.constprop.0       /usr/sbin/mysqld
Aug 02 05:19:09.047411 np0000032142 memory_tracker.sh[44618]:      18670    1.0          133916          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 02 05:19:09.047411 np0000032142 memory_tracker.sh[44618]:      28504    0.9          115948          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 02 05:19:09.047411 np0000032142 memory_tracker.sh[44618]:      43232    0.6           80768          1   00:00:00        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 02 05:19:09.047411 np0000032142 memory_tracker.sh[44618]:      12057    0.3           40204      12055   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 02 05:19:09.047411 np0000032142 memory_tracker.sh[44618]:        360    0.2           27136          1   00:00:01        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 02 05:19:09.047411 np0000032142 memory_tracker.sh[44618]:      42120    0.2           25984          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 02 05:19:09.047411 np0000032142 memory_tracker.sh[44618]:      37167    0.2           25600          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 02 05:19:09.047411 np0000032142 memory_tracker.sh[44618]:       3021    0.2           25136       3020   00:00:00        2 do_wait                   /usr/bin/python3
Aug 02 05:19:09.047737 np0000032142 memory_tracker.sh[44618]:       2820    0.1           20480          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 02 05:19:09.047737 np0000032142 memory_tracker.sh[44618]:       1927    0.1           19804          1   00:01:12        2 inet_csk_accept           /usr/bin/python3
Aug 02 05:19:09.047737 np0000032142 memory_tracker.sh[44618]:      42183    0.1           18304          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 02 05:19:09.047737 np0000032142 memory_tracker.sh[44618]:      17574    0.1           17536          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 02 05:19:09.047737 np0000032142 memory_tracker.sh[44618]:      37202    0.1           15360          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 02 05:19:09.047737 np0000032142 memory_tracker.sh[44618]:      30986    0.1           15232          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 02 05:19:09.047737 np0000032142 memory_tracker.sh[44618]:      32952    0.1           13936          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 02 05:19:09.047737 np0000032142 memory_tracker.sh[44618]:          1    0.1           13612          0   00:00:12        1 ep_poll                   /sbin/init nofb
Aug 02 05:19:09.047737 np0000032142 memory_tracker.sh[44618]:      12055    0.1           12800          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 02 05:19:09.047737 np0000032142 memory_tracker.sh[44618]:        405    0.1           12416          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 02 05:19:09.047737 np0000032142 memory_tracker.sh[44618]:       5207    0.1           12288       3024   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-08-02-050704
Aug 02 05:19:09.047737 np0000032142 memory_tracker.sh[44618]:       5212    0.1           12288       3024   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-08-02-050704.summary.2025-08-02-050704
Aug 02 05:19:09.047737 np0000032142 memory_tracker.sh[44618]:       1785    0.0           11392          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 02 05:19:09.047737 np0000032142 memory_tracker.sh[44618]:       3024    0.0           11008       3022   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 02 05:19:09.047737 np0000032142 memory_tracker.sh[44618]:      39432    0.0            9960       3024   00:00:00        1 do_wait                   bash ./stack.sh
Aug 02 05:19:09.047922 np0000032142 memory_tracker.sh[44618]:        834    0.0            9600          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Aug 02 05:19:09.047922 np0000032142 memory_tracker.sh[44618]:        532    0.0            8832          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Aug 02 05:19:09.047922 np0000032142 memory_tracker.sh[44618]:      28988    0.0            8704          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
Aug 02 05:19:09.047922 np0000032142 memory_tracker.sh[44618]:      29062    0.0            8576          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-nb.log --remote=punix:/var/run/ovn/ovnnb_db.sock --pidfile=/var/run/ovn/ovnnb_db.pid --unixctl=/var/run/ovn/ovnnb_db.ctl --remote=db:OVN_Northbound,NB_Global,connections --private-key=db:OVN_Northbound,SSL,private_key --certificate=db:OVN_Northbound,SSL,certificate --ca-cert=db:OVN_Northbound,SSL,ca_cert --ssl-protocols=db:OVN_Northbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Northbound,SSL,ssl_ciphers /var/lib/ovn/ovnnb_db.db
Aug 02 05:19:09.047922 np0000032142 memory_tracker.sh[44618]:        875    0.0            8064          1   00:00:00        1 do_poll.constprop.0       sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
Aug 02 05:19:09.047922 np0000032142 memory_tracker.sh[44618]:      28836    0.0            7952          1   00:00:00        5 do_poll.constprop.0       ovn-controller unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --no-chdir --log-file=/var/log/ovn/ovn-controller.log --pidfile=/var/run/ovn/ovn-controller.pid --detach
Aug 02 05:19:09.047922 np0000032142 memory_tracker.sh[44618]:        407    0.0            7936          1   00:00:00        2 ep_poll                   /usr/lib/systemd/systemd-timesyncd
Aug 02 05:19:09.048052 np0000032142 memory_tracker.sh[44618]:       1333    0.0            7936          1   00:00:00        4 do_poll.constprop.0       /usr/lib/polkit-1/polkitd --no-debug
Aug 02 05:19:09.048052 np0000032142 memory_tracker.sh[44618]:      30753    0.0            7936          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-machined
Aug 02 05:19:09.048052 np0000032142 memory_tracker.sh[44618]:      28450    0.0            7348          1   00:00:01        1 do_poll.constprop.0       ovsdb-server /etc/openvswitch/conf.db -vconsole:emer -vsyslog:err -vfile:info --remote=punix:/var/run/openvswitch/db.sock --private-key=db:Open_vSwitch,SSL,private_key --certificate=db:Open_vSwitch,SSL,certificate --bootstrap-ca-cert=db:Open_vSwitch,SSL,ca_cert --no-chdir --log-file=/var/log/openvswitch/ovsdb-server.log --pidfile=/var/run/openvswitch/ovsdb-server.pid --detach
Aug 02 05:19:09.048052 np0000032142 memory_tracker.sh[44618]:      29183    0.0            7316          1   00:00:00        3 do_poll.constprop.0       ovn-northd -vconsole:emer -vsyslog:err -vfile:info --ovnnb-db=unix:/var/run/ovn/ovnnb_db.sock --ovnsb-db=unix:/var/run/ovn/ovnsb_db.sock --no-chdir --log-file=/var/log/ovn/ovn-northd.log --pidfile=/var/run/ovn/ovn-northd.pid --detach
Aug 02 05:19:09.048052 np0000032142 memory_tracker.sh[44618]:        376    0.0            7248          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-udevd
Aug 02 05:19:09.048052 np0000032142 memory_tracker.sh[44618]:       2995    0.0            6992       2985   00:00:00        1 do_poll.constprop.0       sshd: zuul@notty
Aug 02 05:19:09.048052 np0000032142 memory_tracker.sh[44618]:       3019    0.0            6784       3018   00:00:00        1 do_poll.constprop.0       sudo -H -S -n -u stack /bin/sh -c echo BECOME-SUCCESS-docwdjrgqryjtqqojfcuvtkogpzcttgz ; /usr/bin/python3
Aug 02 05:19:09.048052 np0000032142 memory_tracker.sh[44618]:      42123    0.0            6764      42120   00:00:00        1 ep_poll                   smbd: notifyd .
Aug 02 05:19:09.048052 np0000032142 memory_tracker.sh[44618]:      42124    0.0            6124      42120   00:00:00        1 ep_poll                   smbd: cleanupd
Aug 02 05:19:09.048052 np0000032142 memory_tracker.sh[44618]:      38878    0.0            5932      38876   00:00:00       27 pipe_read                 /usr/sbin/apache2 -k start
Aug 02 05:19:09.048052 np0000032142 memory_tracker.sh[44618]:      38879    0.0            5804      38876   00:00:00       27 pipe_read                 /usr/sbin/apache2 -k start
Aug 02 05:19:09.048209 np0000032142 memory_tracker.sh[44618]:        514    0.0            5632          1   00:00:01        1 ep_poll                   @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
Aug 02 05:19:09.048209 np0000032142 memory_tracker.sh[44618]:      16049    0.0            5248          1   00:00:00        4 do_select                 /usr/sbin/rsyslogd -n -iNONE
Aug 02 05:19:09.048209 np0000032142 memory_tracker.sh[44618]:      38876    0.0            5148          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Aug 02 05:19:09.048209 np0000032142 memory_tracker.sh[44618]:        402    0.0            4872          1   00:00:00        1 do_select                 /usr/sbin/haveged --Foreground --verbose=1
Aug 02 05:19:09.048209 np0000032142 memory_tracker.sh[44618]:      11033    0.0            4608          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 02 05:19:09.048209 np0000032142 memory_tracker.sh[44618]:      44617    0.0            4224      44598   00:00:00        1 -                         ps --sort=-pmem -eo pid:10,pmem:6,rss:15,ppid:10,cputime:10,nlwp:8,wchan:25,args:100
Aug 02 05:19:09.048209 np0000032142 memory_tracker.sh[44618]:      41033    0.0            4096          1   00:00:00        1 do_poll.constprop.0       /sbin/rpcbind -f -w
Aug 02 05:19:09.048209 np0000032142 memory_tracker.sh[44618]:      41633    0.0            3584          1   00:00:00        1 ep_poll                   /usr/sbin/fsidd
Aug 02 05:19:09.048209 np0000032142 memory_tracker.sh[44618]:      44598    0.0            3456          1   00:00:00        1 do_wait                   /bin/bash /opt/stack/devstack/tools/memory_tracker.sh
Aug 02 05:19:09.048209 np0000032142 memory_tracker.sh[44618]:      18555    0.0            3328          1   00:00:00        1 do_select                 /usr/bin/epmd -systemd
Aug 02 05:19:09.048209 np0000032142 memory_tracker.sh[44618]:       1786    0.0            3260       1785   00:00:00        1 do_sigtimedwait.isra.0    (sd-pam)
Aug 02 05:19:09.048209 np0000032142 memory_tracker.sh[44618]:      29255    0.0            3240          1   00:00:00        1 do_poll.constprop.0       ovn-controller-vtep -vconsole:emer -vsyslog:err -vfile:info --vtep-db=/var/run/openvswitch/db.sock --ovnsb-db=/var/run/ovn/ovnsb_db.sock --no-chdir --log-file=/var/log/ovn/ovn-controller-vtep.log --pidfile=/var/run/ovn/ovn-controller-vtep.pid --detach
Aug 02 05:19:09.048365 np0000032142 memory_tracker.sh[44618]:        685    0.0            3200          1   00:00:00        1 do_select                 dhclient -1 -4 -v -i -pf /run/dhclient.enp3s0.pid -lf /var/lib/dhcp/dhclient.enp3s0.leases -I -df /var/lib/dhcp/dhclient6.enp3s0.leases enp3s0
Aug 02 05:19:09.048365 np0000032142 memory_tracker.sh[44618]:        695    0.0            3200          1   00:00:00        1 do_select                 dhclient -1 -4 -v -i -pf /run/dhclient.enp4s0.pid -lf /var/lib/dhcp/dhclient.enp4s0.leases -I -df /var/lib/dhcp/dhclient6.enp4s0.leases enp4s0
Aug 02 05:19:09.048365 np0000032142 memory_tracker.sh[44618]:        985    0.0            3200          1   00:00:00        1 do_select                 dhclient
Aug 02 05:19:09.048365 np0000032142 memory_tracker.sh[44618]:      41651    0.0            2944          1   00:00:00        1 ep_poll                   /usr/sbin/nfsdcld
Aug 02 05:19:09.048365 np0000032142 memory_tracker.sh[44618]:       5893    0.0            2896          1   00:00:00        1 do_wait                   /bin/bash /usr/sbin/ksmtuned
Aug 02 05:19:09.048365 np0000032142 memory_tracker.sh[44618]:        997    0.0            2688          1   00:00:00        1 hrtimer_nanosleep         /usr/sbin/cron -f -P
Aug 02 05:19:09.048365 np0000032142 memory_tracker.sh[44618]:       1004    0.0            2432          1   00:00:00        1 hrtimer_nanosleep         /usr/sbin/atd -f
Aug 02 05:19:09.048365 np0000032142 memory_tracker.sh[44618]:      41641    0.0            2432          1   00:00:00        1 ep_poll                   /usr/sbin/rpc.idmapd
Aug 02 05:19:09.048365 np0000032142 memory_tracker.sh[44618]:      30871    0.0            2220          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
Aug 02 05:19:09.048365 np0000032142 memory_tracker.sh[44618]:       1013    0.0            2176          1   00:00:00        1 do_select                 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 - vt220
Aug 02 05:19:09.048365 np0000032142 memory_tracker.sh[44618]:      44618    0.0            2176      44598   00:00:00        1 pipe_read                 grep -v ]$
Aug 02 05:19:09.048365 np0000032142 memory_tracker.sh[44618]:      41644    0.0            2068          1   00:00:00        1 do_select                 /usr/sbin/rpc.statd
Aug 02 05:19:09.048365 np0000032142 memory_tracker.sh[44618]:       1012    0.0            2048          1   00:00:00        1 do_select                 /sbin/agetty -o -p -- \u --noclear - linux
Aug 02 05:19:09.048365 np0000032142 memory_tracker.sh[44618]:      43938    0.0            1920       5893   00:00:00        1 hrtimer_nanosleep         sleep 60
Aug 02 05:19:09.048550 np0000032142 memory_tracker.sh[44618]:      32951    0.0            1896          1   00:00:00        1 hrtimer_nanosleep         /usr/sbin/iscsid
Aug 02 05:19:09.048550 np0000032142 memory_tracker.sh[44618]:      41653    0.0            1828          1   00:00:00        1 do_select                 /usr/sbin/rpc.mountd
Aug 02 05:19:09.048550 np0000032142 memory_tracker.sh[44618]:      18756    0.0            1792      18680   00:00:00        1 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/inet_gethost 4
Aug 02 05:19:09.048550 np0000032142 memory_tracker.sh[44618]:      40621    0.0            1792      39432   00:00:00        1 wait_for_partner          cat /opt/stack/async/install_tempest.fifo
Aug 02 05:19:09.048550 np0000032142 memory_tracker.sh[44618]:       3018    0.0            1664       2995   00:00:00        1 do_wait                   /bin/sh -c sudo -H -S -n  -u stack /bin/sh -c 'echo BECOME-SUCCESS-docwdjrgqryjtqqojfcuvtkogpzcttgz ; /usr/bin/python3' && sleep 0
Aug 02 05:19:09.048550 np0000032142 memory_tracker.sh[44618]:       3020    0.0            1664       3019   00:00:00        1 do_wait                   /bin/sh -c echo BECOME-SUCCESS-docwdjrgqryjtqqojfcuvtkogpzcttgz ; /usr/bin/python3
Aug 02 05:19:09.048550 np0000032142 memory_tracker.sh[44618]:       3022    0.0            1664       3021   00:00:00        1 do_wait                   /bin/sh -c ./stack.sh 2>&1 rc=$? echo "*** FINISHED ***" exit $rc
Aug 02 05:19:09.048550 np0000032142 memory_tracker.sh[44618]:      18680    0.0            1664      18670   00:00:00        1 do_select                 erl_child_setup 65536
Aug 02 05:19:09.048550 np0000032142 memory_tracker.sh[44618]:      18760    0.0            1664      18680   00:00:00        1 pipe_read                 /bin/sh -s rabbit_disk_monitor
Aug 02 05:19:09.048550 np0000032142 memory_tracker.sh[44618]:      12910    0.0            1544          1   00:00:00        1 do_select                 /usr/bin/htcacheclean -d 120 -p /var/cache/apache2/mod_cache_disk -l 300M -n
Aug 02 05:19:09.048550 np0000032142 memory_tracker.sh[44618]:      41638    0.0            1536          1   00:00:00        1 do_select                 /usr/sbin/blkmapd
