192.168.1.148 - - [02/Sep/2025:02:39:34 +0000] "GET /identity/v3/ HTTP/1.1" 200 504 "-" "curl/7.81.0"
192.168.1.148 - - [02/Sep/2025:02:39:39 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:39 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:39 +0000] "GET /identity/v3/auth/tokens HTTP/1.1" 200 1428 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:39 +0000] "GET /identity/v3/projects/74038b5206734455b453e46524f4c53f HTTP/1.1" 200 593 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:39 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:39 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:39 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:39 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 604 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:39 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:39 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:39 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:39 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:39 +0000] "GET /identity/v3/users/ba3f2fbb1dd24c6f90cfa1f28f1b263e HTTP/1.1" 200 496 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:39 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:39 +0000] "PUT /identity/v3/domains/default/users/ba3f2fbb1dd24c6f90cfa1f28f1b263e/roles/d12dec3cf196427982d91eeb6717b29c HTTP/1.1" 204 201 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:39 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:39 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:40 +0000] "POST /identity/v3/domains HTTP/1.1" 409 442 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:40 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:40 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 560 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:40 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:40 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:40 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:40 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:40 +0000] "GET /identity/v3/users/ba3f2fbb1dd24c6f90cfa1f28f1b263e HTTP/1.1" 200 496 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:40 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:40 +0000] "GET /identity/v3/role_assignments?role.id=d12dec3cf196427982d91eeb6717b29c&scope.domain.id=default&user.id=ba3f2fbb1dd24c6f90cfa1f28f1b263e HTTP/1.1" 200 782 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:40 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:40 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.148 - - [02/Sep/2025:02:39:40 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:40 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 560 "-" "python-keystoneclient"
192.168.1.148 - - [02/Sep/2025:02:39:40 +0000] "POST /identity/v3/projects HTTP/1.1" 201 555 "-" "python-keystoneclient"
