Aug 25 16:10:43.546346 np0000032575 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 25 16:10:43.554514 np0000032575 memory_tracker.sh[44540]: [[[
Aug 25 16:10:43.555257 np0000032575 memory_tracker.sh[44555]: Mon Aug 25 16:10:43 UTC 2025
Aug 25 16:10:43.555381 np0000032575 memory_tracker.sh[44540]: ---
Aug 25 16:10:43.582925 np0000032575 memory_tracker.sh[44559]: /opt/stack/devstack/tools/mlock_report.py:9: SyntaxWarning: invalid escape sequence '\s'
Aug 25 16:10:43.582925 np0000032575 memory_tracker.sh[44559]:   "^VmLck:\s+(?P<locked>[\d]+)\s+kB", re.MULTILINE)
Aug 25 16:10:43.611358 np0000032575 memory_tracker.sh[44559]: [iscsid (pid:32886)]=14168KB; [multipathd (pid:362)]=288932KB; [ovs-vswitchd (pid:28676)]=901108KB
Aug 25 16:10:43.617381 np0000032575 memory_tracker.sh[44540]: ]]]
Aug 25 16:11:03.623751 np0000032575 memory_tracker.sh[44540]: [[[
Aug 25 16:11:03.624063 np0000032575 memory_tracker.sh[48793]: Mon Aug 25 16:11:03 UTC 2025
Aug 25 16:11:03.624322 np0000032575 memory_tracker.sh[44540]: ---
Aug 25 16:11:03.624322 np0000032575 memory_tracker.sh[44540]: memory_tracker low_point: 10313120
Aug 25 16:11:03.624322 np0000032575 memory_tracker.sh[44540]: ---
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: MemTotal:       12245956 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: MemFree:          290320 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: MemAvailable:   10313120 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Buffers:          230480 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Cached:          9559980 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: SwapCached:            4 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Active:          1261324 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Inactive:        9440020 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Active(anon):     962676 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Inactive(anon):   126060 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Active(file):     298648 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Inactive(file):  9313960 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Unevictable:      143576 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Mlocked:          142376 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: SwapTotal:       8388604 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: SwapFree:        8388080 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Zswap:               280 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Zswapped:             68 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Dirty:             30520 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Writeback:             0 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: AnonPages:       1054288 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Mapped:           199716 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Shmem:            158000 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: KReclaimable:     735868 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Slab:             875288 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: SReclaimable:     735868 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: SUnreclaim:       139420 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: KernelStack:        8400 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: PageTables:        10820 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: SecPageTables:         0 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: NFS_Unstable:          0 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Bounce:                0 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: WritebackTmp:          0 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: CommitLimit:    14511580 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Committed_AS:    2859932 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: VmallocTotal:   13743895347199 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: VmallocUsed:       27740 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: VmallocChunk:          0 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Percpu:             5088 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: HardwareCorrupted:     0 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: AnonHugePages:         0 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: ShmemHugePages:        0 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: ShmemPmdMapped:        0 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: FileHugePages:         0 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: FilePmdMapped:         0 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Unaccepted:            0 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: HugePages_Total:       0
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: HugePages_Free:        0
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: HugePages_Rsvd:        0
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: HugePages_Surp:        0
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Hugepagesize:       2048 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: Hugetlb:               0 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: DirectMap4k:      296812 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: DirectMap2M:     9140224 kB
Aug 25 16:11:03.625033 np0000032575 memory_tracker.sh[48797]: DirectMap1G:     5242880 kB
Aug 25 16:11:03.625937 np0000032575 memory_tracker.sh[44540]: ---
Aug 25 16:11:03.636182 np0000032575 memory_tracker.sh[48799]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 25 16:11:03.636182 np0000032575 memory_tracker.sh[48799]:      43875    3.3          414832          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 25 16:11:03.636182 np0000032575 memory_tracker.sh[48799]:      18588    1.1          136740          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 25 16:11:03.636182 np0000032575 memory_tracker.sh[48799]:      47085    1.1          135860      47084   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 25 16:11:03.636182 np0000032575 memory_tracker.sh[48799]:      47086    1.0          134460      47084   00:00:03        2 rt_mutex_schedule         keystoneuWSGI worker 2
Aug 25 16:11:03.636182 np0000032575 memory_tracker.sh[48799]:      28676    0.9          115820          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 25 16:11:03.636182 np0000032575 memory_tracker.sh[48799]:      43163    0.7           92456          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 25 16:11:03.636182 np0000032575 memory_tracker.sh[48799]:      11932    0.3           40148      11930   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 25 16:11:03.636182 np0000032575 memory_tracker.sh[48799]:        362    0.2           27008          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 25 16:11:03.636182 np0000032575 memory_tracker.sh[48799]:      41991    0.2           26240          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 25 16:11:03.636564 np0000032575 memory_tracker.sh[48799]:      37100    0.2           25728          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 25 16:11:03.636564 np0000032575 memory_tracker.sh[48799]:       2719    0.2           25260       2718   00:00:00        2 do_wait                   /usr/bin/python3
Aug 25 16:11:03.636564 np0000032575 memory_tracker.sh[48799]:      45658    0.1           23808          1   00:00:00       10 futex_wait_queue          /opt/stack/bin/etcd --name np0000032575 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032575=http://192.168.1.130:2380 --initial-advertise-peer-urls http://192.168.1.130:2380 --advertise-client-urls http://192.168.1.130:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.130:2379 --log-level=debug
Aug 25 16:11:03.636564 np0000032575 memory_tracker.sh[48799]:      17493    0.1           21376          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 25 16:11:03.636564 np0000032575 memory_tracker.sh[48799]:       2513    0.1           20480          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 25 16:11:03.636564 np0000032575 memory_tracker.sh[48799]:      47084    0.1           19456          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 25 16:11:03.636564 np0000032575 memory_tracker.sh[48799]:       1621    0.1           19324          1   00:01:12        2 inet_csk_accept           /usr/bin/python3
Aug 25 16:11:03.636564 np0000032575 memory_tracker.sh[48799]:      42070    0.1           18432          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 25 16:11:03.636564 np0000032575 memory_tracker.sh[48799]:      30993    0.1           15360          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 25 16:11:03.636564 np0000032575 memory_tracker.sh[48799]:      37137    0.1           15360          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 25 16:11:03.636564 np0000032575 memory_tracker.sh[48799]:      47401    0.1           14552      47396   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 25 16:11:03.636564 np0000032575 memory_tracker.sh[48799]:      32886    0.1           13848          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 25 16:11:03.636564 np0000032575 memory_tracker.sh[48799]:      47400    0.1           13528      47396   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 25 16:11:03.636564 np0000032575 memory_tracker.sh[48799]:          1    0.1           13496          0   00:00:12        1 ep_poll                   /sbin/init nofb
Aug 25 16:11:03.636753 np0000032575 memory_tracker.sh[48799]:      11930    0.1           12928          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 25 16:11:03.636753 np0000032575 memory_tracker.sh[48799]:        441    0.1           12800          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 25 16:11:03.636753 np0000032575 memory_tracker.sh[48799]:       5079    0.1           12288       2722   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-08-25-160625
Aug 25 16:11:03.636753 np0000032575 memory_tracker.sh[48799]:       5084    0.1           12288       2722   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-08-25-160625.summary.2025-08-25-160625
Aug 25 16:11:03.636753 np0000032575 memory_tracker.sh[48799]:      47479    0.0           12032          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 25 16:11:03.636753 np0000032575 memory_tracker.sh[48799]:       2722    0.0           11648       2720   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 25 16:11:03.636753 np0000032575 memory_tracker.sh[48799]:       1479    0.0           11264          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 25 16:11:03.636753 np0000032575 memory_tracker.sh[48799]:      39415    0.0            9932       2722   00:00:00        1 do_wait                   bash ./stack.sh
Aug 25 16:11:03.636753 np0000032575 memory_tracker.sh[48799]:      47396    0.0            9532          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Aug 25 16:11:03.636753 np0000032575 memory_tracker.sh[48799]:        840    0.0            9472          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
