Aug 04 07:53:17.269174 np0000032161 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 04 07:53:17.277246 np0000032161 memory_tracker.sh[44192]: [[[
Aug 04 07:53:17.277971 np0000032161 memory_tracker.sh[44207]: Mon Aug  4 07:53:17 UTC 2025
Aug 04 07:53:17.278093 np0000032161 memory_tracker.sh[44192]: ---
Aug 04 07:53:17.305579 np0000032161 memory_tracker.sh[44211]: /opt/stack/devstack/tools/mlock_report.py:9: SyntaxWarning: invalid escape sequence '\s'
Aug 04 07:53:17.305579 np0000032161 memory_tracker.sh[44211]:   "^VmLck:\s+(?P<locked>[\d]+)\s+kB", re.MULTILINE)
Aug 04 07:53:17.333786 np0000032161 memory_tracker.sh[44211]: [iscsid (pid:32551)]=14168KB; [multipathd (pid:363)]=288932KB; [ovs-vswitchd (pid:28163)]=901112KB
Aug 04 07:53:17.339622 np0000032161 memory_tracker.sh[44192]: ]]]
Aug 04 07:53:37.344745 np0000032161 memory_tracker.sh[44192]: [[[
Aug 04 07:53:37.345446 np0000032161 memory_tracker.sh[47787]: Mon Aug  4 07:53:37 UTC 2025
Aug 04 07:53:37.345651 np0000032161 memory_tracker.sh[44192]: ---
Aug 04 07:53:37.345651 np0000032161 memory_tracker.sh[44192]: memory_tracker low_point: 10355120
Aug 04 07:53:37.345651 np0000032161 memory_tracker.sh[44192]: ---
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: MemTotal:       12245944 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: MemFree:          364988 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: MemAvailable:   10355120 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Buffers:          230452 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Cached:          9540048 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: SwapCached:            4 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Active:          1112940 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Inactive:        9574884 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Active(anon):     969088 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Inactive(anon):   126084 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Active(file):     143852 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Inactive(file):  9448800 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Unevictable:      143580 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Mlocked:          142380 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: SwapTotal:       8388604 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: SwapFree:        8388080 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Zswap:               308 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Zswapped:             68 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Dirty:              4960 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Writeback:             0 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: AnonPages:       1061032 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Mapped:           192656 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Shmem:            158000 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: KReclaimable:     723344 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Slab:             860516 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: SReclaimable:     723344 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: SUnreclaim:       137172 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: KernelStack:        8640 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: PageTables:        11132 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: SecPageTables:         0 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: NFS_Unstable:          0 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Bounce:                0 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: WritebackTmp:          0 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: CommitLimit:    14511576 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Committed_AS:    2922956 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: VmallocTotal:   13743895347199 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: VmallocUsed:       27836 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: VmallocChunk:          0 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Percpu:             5056 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: HardwareCorrupted:     0 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: AnonHugePages:         0 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: ShmemHugePages:        0 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: ShmemPmdMapped:        0 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: FileHugePages:         0 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: FilePmdMapped:         0 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Unaccepted:            0 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: HugePages_Total:       0
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: HugePages_Free:        0
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: HugePages_Rsvd:        0
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: HugePages_Surp:        0
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Hugepagesize:       2048 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: Hugetlb:               0 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: DirectMap4k:      278380 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: DirectMap2M:    10207232 kB
Aug 04 07:53:37.346272 np0000032161 memory_tracker.sh[47788]: DirectMap1G:     4194304 kB
Aug 04 07:53:37.347237 np0000032161 memory_tracker.sh[44192]: ---
Aug 04 07:53:37.357594 np0000032161 memory_tracker.sh[47790]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 04 07:53:37.357594 np0000032161 memory_tracker.sh[47790]:      43542    3.3          414772          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 04 07:53:37.357594 np0000032161 memory_tracker.sh[47790]:      46528    1.1          134912      46526   00:00:03        2 -                         keystoneuWSGI worker 2
Aug 04 07:53:37.357594 np0000032161 memory_tracker.sh[47790]:      46527    1.0          133360      46526   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 04 07:53:37.357594 np0000032161 memory_tracker.sh[47790]:      18320    1.0          129124          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 04 07:53:37.357594 np0000032161 memory_tracker.sh[47790]:      28163    0.9          115820          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 04 07:53:37.357594 np0000032161 memory_tracker.sh[47790]:      42832    0.8          100344          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 04 07:53:37.357594 np0000032161 memory_tracker.sh[47790]:      11718    0.3           39896      11716   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 04 07:53:37.357594 np0000032161 memory_tracker.sh[47790]:        363    0.2           27136          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 04 07:53:37.357594 np0000032161 memory_tracker.sh[47790]:      41719    0.2           26112          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 04 07:53:37.358150 np0000032161 memory_tracker.sh[47790]:      36768    0.2           25856          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 04 07:53:37.358150 np0000032161 memory_tracker.sh[47790]:       2711    0.2           25388       2710   00:00:00        2 do_wait                   /usr/bin/python3
Aug 04 07:53:37.358150 np0000032161 memory_tracker.sh[47790]:      45312    0.1           24320          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000032161 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032161=http://192.168.1.126:2380 --initial-advertise-peer-urls http://192.168.1.126:2380 --advertise-client-urls http://192.168.1.126:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.126:2379 --log-level=debug
Aug 04 07:53:37.358150 np0000032161 memory_tracker.sh[47790]:       2511    0.1           20480          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 04 07:53:37.358150 np0000032161 memory_tracker.sh[47790]:       1616    0.1           19448          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Aug 04 07:53:37.358150 np0000032161 memory_tracker.sh[47790]:      17234    0.1           19200          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 04 07:53:37.358150 np0000032161 memory_tracker.sh[47790]:      46526    0.1           19200          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 04 07:53:37.358150 np0000032161 memory_tracker.sh[47790]:      41782    0.1           18432          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 04 07:53:37.358150 np0000032161 memory_tracker.sh[47790]:      36806    0.1           15360          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 04 07:53:37.358150 np0000032161 memory_tracker.sh[47790]:      30700    0.1           15232          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 04 07:53:37.358150 np0000032161 memory_tracker.sh[47790]:      46856    0.1           14676      46851   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 04 07:53:37.358150 np0000032161 memory_tracker.sh[47790]:      32551    0.1           13848          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 04 07:53:37.358150 np0000032161 memory_tracker.sh[47790]:          1    0.1           13428          0   00:00:11        1 ep_poll                   /sbin/init nofb
Aug 04 07:53:37.358150 np0000032161 memory_tracker.sh[47790]:      46855    0.1           13268      46851   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 04 07:53:37.358523 np0000032161 memory_tracker.sh[47790]:      11716    0.1           13056          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 04 07:53:37.358523 np0000032161 memory_tracker.sh[47790]:        426    0.1           12800          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 04 07:53:37.358523 np0000032161 memory_tracker.sh[47790]:       4897    0.1           12288       2714   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-08-04-074330
Aug 04 07:53:37.358523 np0000032161 memory_tracker.sh[47790]:       4902    0.1           12288       2714   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-08-04-074330.summary.2025-08-04-074330
Aug 04 07:53:37.358523 np0000032161 memory_tracker.sh[47790]:      46934    0.0           12032          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 04 07:53:37.358523 np0000032161 memory_tracker.sh[47790]:      47783    0.0           11520      47766   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin project create demo --domain=default --or-show -f value -c id
Aug 04 07:53:37.358523 np0000032161 memory_tracker.sh[47790]:       1474    0.0           11264          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 04 07:53:37.358523 np0000032161 memory_tracker.sh[47790]:       2714    0.0           11008       2712   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 04 07:53:37.358523 np0000032161 memory_tracker.sh[47790]:      47065    0.0           10012       2714   00:00:00        1 do_wait                   bash ./stack.sh
