Aug 08 16:20:40.692211 np0000032479 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 08 16:20:40.700309 np0000032479 memory_tracker.sh[44304]: [[[
Aug 08 16:20:40.701055 np0000032479 memory_tracker.sh[44319]: Fri Aug  8 16:20:40 UTC 2025
Aug 08 16:20:40.701197 np0000032479 memory_tracker.sh[44304]: ---
Aug 08 16:20:40.729036 np0000032479 memory_tracker.sh[44323]: /opt/stack/devstack/tools/mlock_report.py:9: SyntaxWarning: invalid escape sequence '\s'
Aug 08 16:20:40.729036 np0000032479 memory_tracker.sh[44323]:   "^VmLck:\s+(?P<locked>[\d]+)\s+kB", re.MULTILINE)
Aug 08 16:20:40.757685 np0000032479 memory_tracker.sh[44323]: [iscsid (pid:32660)]=14168KB; [multipathd (pid:364)]=288932KB; [ovs-vswitchd (pid:28391)]=901108KB
Aug 08 16:20:40.763836 np0000032479 memory_tracker.sh[44304]: ]]]
Aug 08 16:21:00.769024 np0000032479 memory_tracker.sh[44304]: [[[
Aug 08 16:21:00.770289 np0000032479 memory_tracker.sh[48557]: Fri Aug  8 16:21:00 UTC 2025
Aug 08 16:21:00.770530 np0000032479 memory_tracker.sh[44304]: ---
Aug 08 16:21:00.770530 np0000032479 memory_tracker.sh[44304]: memory_tracker low_point: 10334496
Aug 08 16:21:00.770530 np0000032479 memory_tracker.sh[44304]: ---
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: MemTotal:       12245960 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: MemFree:          351300 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: MemAvailable:   10334496 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Buffers:          238660 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Cached:          9522524 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: SwapCached:            4 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Active:          1330740 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Inactive:        9357004 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Active(anon):    1103436 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Inactive(anon):      972 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Active(file):     227304 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Inactive(file):  9356032 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Unevictable:      143576 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Mlocked:          142376 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: SwapTotal:       8388604 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: SwapFree:        8388080 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Zswap:               308 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Zswapped:             68 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Dirty:             38044 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Writeback:             0 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: AnonPages:       1069912 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Mapped:           192288 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Shmem:            158000 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: KReclaimable:     725536 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Slab:             864628 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: SReclaimable:     725536 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: SUnreclaim:       139092 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: KernelStack:        8628 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: PageTables:        10956 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: SecPageTables:         0 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: NFS_Unstable:          0 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Bounce:                0 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: WritebackTmp:          0 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: CommitLimit:    14511584 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Committed_AS:    2899092 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: VmallocTotal:   13743895347199 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: VmallocUsed:       27820 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: VmallocChunk:          0 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Percpu:             5152 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: HardwareCorrupted:     0 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: AnonHugePages:         0 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: ShmemHugePages:        0 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: ShmemPmdMapped:        0 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: FileHugePages:         0 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: FilePmdMapped:         0 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Unaccepted:            0 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: HugePages_Total:       0
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: HugePages_Free:        0
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: HugePages_Rsvd:        0
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: HugePages_Surp:        0
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Hugepagesize:       2048 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: Hugetlb:               0 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: DirectMap4k:      282476 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: DirectMap2M:    10203136 kB
Aug 08 16:21:00.770732 np0000032479 memory_tracker.sh[48558]: DirectMap1G:     4194304 kB
Aug 08 16:21:00.772078 np0000032479 memory_tracker.sh[44304]: ---
Aug 08 16:21:00.783603 np0000032479 memory_tracker.sh[48562]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 08 16:21:00.783603 np0000032479 memory_tracker.sh[48562]:      43654    3.3          415208          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 08 16:21:00.783603 np0000032479 memory_tracker.sh[48562]:      46599    1.1          135152      46598   00:00:03        2 -                         keystoneuWSGI worker 1
Aug 08 16:21:00.783603 np0000032479 memory_tracker.sh[48562]:      18494    1.0          134032          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 08 16:21:00.783603 np0000032479 memory_tracker.sh[48562]:      46600    1.0          134004      46598   00:00:03        2 ep_poll                   keystoneuWSGI worker 2
Aug 08 16:21:00.783603 np0000032479 memory_tracker.sh[48562]:      28391    0.9          115972          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 08 16:21:00.783603 np0000032479 memory_tracker.sh[48562]:      42945    0.8          100700          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 08 16:21:00.783603 np0000032479 memory_tracker.sh[48562]:      11845    0.3           39892      11843   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 08 16:21:00.783603 np0000032479 memory_tracker.sh[48562]:        364    0.2           27136          1   00:00:01        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 08 16:21:00.783603 np0000032479 memory_tracker.sh[48562]:      41833    0.2           26112          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 08 16:21:00.784172 np0000032479 memory_tracker.sh[48562]:      36875    0.2           25728          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 08 16:21:00.784172 np0000032479 memory_tracker.sh[48562]:       2844    0.2           25136       2843   00:00:00        2 do_wait                   /usr/bin/python3
Aug 08 16:21:00.784172 np0000032479 memory_tracker.sh[48562]:      45424    0.1           24192          1   00:00:00       11 futex_wait_queue          /opt/stack/bin/etcd --name np0000032479 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032479=http://192.168.1.116:2380 --initial-advertise-peer-urls http://192.168.1.116:2380 --advertise-client-urls http://192.168.1.116:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.116:2379 --log-level=debug
Aug 08 16:21:00.784172 np0000032479 memory_tracker.sh[48562]:       2641    0.1           20480          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 08 16:21:00.784172 np0000032479 memory_tracker.sh[48562]:       1749    0.1           19564          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Aug 08 16:21:00.784172 np0000032479 memory_tracker.sh[48562]:      46598    0.1           19200          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 08 16:21:00.784172 np0000032479 memory_tracker.sh[48562]:      17402    0.1           18944          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 08 16:21:00.784172 np0000032479 memory_tracker.sh[48562]:      41896    0.1           18560          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 08 16:21:00.784172 np0000032479 memory_tracker.sh[48562]:      36911    0.1           15360          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 08 16:21:00.784172 np0000032479 memory_tracker.sh[48562]:      30709    0.1           15232          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 08 16:21:00.784172 np0000032479 memory_tracker.sh[48562]:      46922    0.1           14676      46918   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 08 16:21:00.784172 np0000032479 memory_tracker.sh[48562]:      32660    0.1           13900          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 08 16:21:00.784172 np0000032479 memory_tracker.sh[48562]:          1    0.1           13748          0   00:00:11        1 ep_poll                   /sbin/init nofb
Aug 08 16:21:00.784172 np0000032479 memory_tracker.sh[48562]:      46923    0.1           13396      46918   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 08 16:21:00.784512 np0000032479 memory_tracker.sh[48562]:      11843    0.1           13056          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 08 16:21:00.784512 np0000032479 memory_tracker.sh[48562]:        445    0.1           12800          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 08 16:21:00.784512 np0000032479 memory_tracker.sh[48562]:       5021    0.1           12288       2847   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-08-08-161146
Aug 08 16:21:00.784512 np0000032479 memory_tracker.sh[48562]:       5026    0.1           12288       2847   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-08-08-161146.summary.2025-08-08-161146
Aug 08 16:21:00.784512 np0000032479 memory_tracker.sh[48562]:      47001    0.1           12288          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 08 16:21:00.784512 np0000032479 memory_tracker.sh[48562]:      48519    0.0           11648      48471   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role add admin --user 2a6e2251c5ba4cd5a1a9e290126cfb4c --project f686286c6e86491ab370e455705df4da
Aug 08 16:21:00.784512 np0000032479 memory_tracker.sh[48562]:       2847    0.0           11520       2845   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 08 16:21:00.784512 np0000032479 memory_tracker.sh[48562]:      48423    0.0           11520      48375   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role add member --user 298a003fdd524de0a5aaee78c87d5592 --project f686286c6e86491ab370e455705df4da
