Aug 05 05:41:38.369374 np0000032184 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 05 05:41:38.377527 np0000032184 memory_tracker.sh[44430]: [[[
Aug 05 05:41:38.378231 np0000032184 memory_tracker.sh[44445]: Tue Aug  5 05:41:38 UTC 2025
Aug 05 05:41:38.378361 np0000032184 memory_tracker.sh[44430]: ---
Aug 05 05:41:38.408092 np0000032184 memory_tracker.sh[44449]: /opt/stack/devstack/tools/mlock_report.py:9: SyntaxWarning: invalid escape sequence '\s'
Aug 05 05:41:38.408092 np0000032184 memory_tracker.sh[44449]:   "^VmLck:\s+(?P<locked>[\d]+)\s+kB", re.MULTILINE)
Aug 05 05:41:38.437630 np0000032184 memory_tracker.sh[44449]: [iscsid (pid:32784)]=14168KB; [multipathd (pid:363)]=288932KB; [ovs-vswitchd (pid:28395)]=901112KB
Aug 05 05:41:38.444016 np0000032184 memory_tracker.sh[44430]: ]]]
Aug 05 05:41:58.449955 np0000032184 memory_tracker.sh[44430]: [[[
Aug 05 05:41:58.450736 np0000032184 memory_tracker.sh[48903]: Tue Aug  5 05:41:58 UTC 2025
Aug 05 05:41:58.451209 np0000032184 memory_tracker.sh[44430]: ---
Aug 05 05:41:58.451209 np0000032184 memory_tracker.sh[44430]: memory_tracker low_point: 10334592
Aug 05 05:41:58.451209 np0000032184 memory_tracker.sh[44430]: ---
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: MemTotal:       12245956 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: MemFree:          343636 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: MemAvailable:   10334592 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Buffers:          250000 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Cached:          9529744 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: SwapCached:            4 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Active:          1419920 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Inactive:        9304288 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Active(anon):    1121504 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Inactive(anon):      824 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Active(file):     298416 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Inactive(file):  9303464 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Unevictable:      143580 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Mlocked:          142380 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: SwapTotal:       8388604 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: SwapFree:        8388080 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Zswap:               364 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Zswapped:             68 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Dirty:             28168 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Writeback:             0 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: AnonPages:       1088192 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Mapped:           194980 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Shmem:            158012 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: KReclaimable:     714752 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Slab:             851732 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: SReclaimable:     714752 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: SUnreclaim:       136980 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: KernelStack:        8592 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: PageTables:        11392 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: SecPageTables:         0 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: NFS_Unstable:          0 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Bounce:                0 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: WritebackTmp:          0 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: CommitLimit:    14511580 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Committed_AS:    2968640 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: VmallocTotal:   13743895347199 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: VmallocUsed:       27804 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: VmallocChunk:          0 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Percpu:             5088 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: HardwareCorrupted:     0 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: AnonHugePages:         0 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: ShmemHugePages:        0 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: ShmemPmdMapped:        0 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: FileHugePages:         0 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: FilePmdMapped:         0 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Unaccepted:            0 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: HugePages_Total:       0
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: HugePages_Free:        0
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: HugePages_Rsvd:        0
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: HugePages_Surp:        0
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Hugepagesize:       2048 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: Hugetlb:               0 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: DirectMap4k:      294764 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: DirectMap2M:    10190848 kB
Aug 05 05:41:58.451762 np0000032184 memory_tracker.sh[48904]: DirectMap1G:     4194304 kB
Aug 05 05:41:58.452608 np0000032184 memory_tracker.sh[44430]: ---
Aug 05 05:41:58.463342 np0000032184 memory_tracker.sh[48906]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 05 05:41:58.463342 np0000032184 memory_tracker.sh[48906]:      43779    3.3          415848          1   00:00:01       40 do_poll.constprop.0       /usr/sbin/mysqld
Aug 05 05:41:58.463342 np0000032184 memory_tracker.sh[48906]:      46724    1.1          135296      46722   00:00:03        2 -                         keystoneuWSGI worker 2
Aug 05 05:41:58.463342 np0000032184 memory_tracker.sh[48906]:      18504    1.0          134184          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 05 05:41:58.463342 np0000032184 memory_tracker.sh[48906]:      46723    1.0          133988      46722   00:00:03        2 ep_poll                   keystoneuWSGI worker 1
Aug 05 05:41:58.463342 np0000032184 memory_tracker.sh[48906]:      28395    0.9          115948          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 05 05:41:58.463342 np0000032184 memory_tracker.sh[48906]:      43071    0.8          101300          1   00:00:01        1 wait_woken                /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 05 05:41:58.463342 np0000032184 memory_tracker.sh[48906]:      11893    0.3           40020      11891   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 05 05:41:58.463342 np0000032184 memory_tracker.sh[48906]:        363    0.2           27008          1   00:00:01        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 05 05:41:58.463342 np0000032184 memory_tracker.sh[48906]:      36999    0.2           26240          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 05 05:41:58.463689 np0000032184 memory_tracker.sh[48906]:      41957    0.2           26112          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 05 05:41:58.463689 np0000032184 memory_tracker.sh[48906]:       2899    0.2           25276       2898   00:00:00        2 do_wait                   /usr/bin/python3
Aug 05 05:41:58.463689 np0000032184 memory_tracker.sh[48906]:      45550    0.1           23936          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000032184 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032184=http://192.168.1.149:2380 --initial-advertise-peer-urls http://192.168.1.149:2380 --advertise-client-urls http://192.168.1.149:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.149:2379 --log-level=debug
Aug 05 05:41:58.463689 np0000032184 memory_tracker.sh[48906]:      17412    0.1           21760          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 05 05:41:58.463689 np0000032184 memory_tracker.sh[48906]:       2697    0.1           20608          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 05 05:41:58.463689 np0000032184 memory_tracker.sh[48906]:       1803    0.1           19688          1   00:01:13        2 inet_csk_accept           /usr/bin/python3
Aug 05 05:41:58.463689 np0000032184 memory_tracker.sh[48906]:      46722    0.1           19328          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 05 05:41:58.463689 np0000032184 memory_tracker.sh[48906]:      42020    0.1           18432          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 05 05:41:58.463689 np0000032184 memory_tracker.sh[48906]:      30881    0.1           15232          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 05 05:41:58.463689 np0000032184 memory_tracker.sh[48906]:      37036    0.1           15232          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 05 05:41:58.463689 np0000032184 memory_tracker.sh[48906]:      47048    0.1           14932      47042   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 05 05:41:58.463689 np0000032184 memory_tracker.sh[48906]:      32784    0.1           13908          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 05 05:41:58.463689 np0000032184 memory_tracker.sh[48906]:          1    0.1           13688          0   00:00:11        1 ep_poll                   /sbin/init nofb
Aug 05 05:41:58.463689 np0000032184 memory_tracker.sh[48906]:      47047    0.1           13524      47042   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Aug 05 05:41:58.463880 np0000032184 memory_tracker.sh[48906]:        408    0.1           12800          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 05 05:41:58.463880 np0000032184 memory_tracker.sh[48906]:      11891    0.1           12800          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 05 05:41:58.463880 np0000032184 memory_tracker.sh[48906]:       5085    0.1           12288       2902   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-08-05-053159
Aug 05 05:41:58.463880 np0000032184 memory_tracker.sh[48906]:       5090    0.1           12288       2902   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-08-05-053159.summary.2025-08-05-053159
Aug 05 05:41:58.463880 np0000032184 memory_tracker.sh[48906]:      47125    0.0           12032          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Aug 05 05:41:58.463880 np0000032184 memory_tracker.sh[48906]:       2902    0.0           11648       2900   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 05 05:41:58.463880 np0000032184 memory_tracker.sh[48906]:      48736    0.0           11520      48687   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role add anotherrole --user 52e3cb21335d4557a60519d230c84de7 --project 0b28988fcf3842ba99e241f2597d423f
Aug 05 05:41:58.463880 np0000032184 memory_tracker.sh[48906]:      48831    0.0           11520      48783   00:00:00        1 unix_stream_data_wait     python3 /opt/stack/devstack/files/openstack-cli-server/openstack --os-cloud devstack-system-admin role add member --user 52e3cb21335d4557a60519d230c84de7 --project 7721dd8299dc4d6b8661b14d2a4dcc82
