Aug 08 09:07:03.032770 np0000032474 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 08 09:07:03.041102 np0000032474 memory_tracker.sh[44646]: [[[
Aug 08 09:07:03.041904 np0000032474 memory_tracker.sh[44660]: Fri Aug  8 09:07:03 UTC 2025
Aug 08 09:07:03.042023 np0000032474 memory_tracker.sh[44646]: ---
Aug 08 09:07:03.042023 np0000032474 memory_tracker.sh[44646]: memory_tracker low_point: 10825496
Aug 08 09:07:03.042023 np0000032474 memory_tracker.sh[44646]: ---
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: MemTotal:       12245956 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: MemFree:          430476 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: MemAvailable:   10825496 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Buffers:          285340 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Cached:          9742864 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: SwapCached:            4 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Active:           994852 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Inactive:        9645408 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Active(anon):     663556 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Inactive(anon):      792 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Active(file):     331296 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Inactive(file):  9644616 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Unevictable:      143576 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Mlocked:          142376 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: SwapTotal:       8388604 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: SwapFree:        8388336 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Zswap:               324 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Zswapped:             64 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Dirty:            178256 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Writeback:             0 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: AnonPages:        755828 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Mapped:           159332 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Shmem:             32444 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: KReclaimable:     744784 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Slab:             882808 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: SReclaimable:     744784 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: SUnreclaim:       138024 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: KernelStack:        7860 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: PageTables:         9100 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: SecPageTables:         0 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: NFS_Unstable:          0 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Bounce:                0 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: WritebackTmp:          0 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: CommitLimit:    14511580 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Committed_AS:    2222800 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: VmallocTotal:   13743895347199 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: VmallocUsed:       27036 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: VmallocChunk:          0 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Percpu:             4960 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: HardwareCorrupted:     0 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: AnonHugePages:         0 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: ShmemHugePages:        0 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: ShmemPmdMapped:        0 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: FileHugePages:         0 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: FilePmdMapped:         0 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Unaccepted:            0 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: HugePages_Total:       0
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: HugePages_Free:        0
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: HugePages_Rsvd:        0
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: HugePages_Surp:        0
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Hugepagesize:       2048 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: Hugetlb:               0 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: DirectMap4k:      296812 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: DirectMap2M:    10188800 kB
Aug 08 09:07:03.042814 np0000032474 memory_tracker.sh[44662]: DirectMap1G:     4194304 kB
Aug 08 09:07:03.043808 np0000032474 memory_tracker.sh[44646]: ---
Aug 08 09:07:03.053118 np0000032474 memory_tracker.sh[44666]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 08 09:07:03.053118 np0000032474 memory_tracker.sh[44666]:      44025    3.1          385532          1   00:00:00       38 do_poll.constprop.0       /usr/sbin/mysqld
Aug 08 09:07:03.053118 np0000032474 memory_tracker.sh[44666]:      18391    1.0          133332          1   00:00:03       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 08 09:07:03.053118 np0000032474 memory_tracker.sh[44666]:      28538    0.9          115888          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 08 09:07:03.053118 np0000032474 memory_tracker.sh[44666]:      43269    0.6           74408          1   00:00:00        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 08 09:07:03.053118 np0000032474 memory_tracker.sh[44666]:      11787    0.3           40348      11785   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 08 09:07:03.053118 np0000032474 memory_tracker.sh[44666]:        372    0.2           27008          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 08 09:07:03.053118 np0000032474 memory_tracker.sh[44666]:      42081    0.2           26240          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Aug 08 09:07:03.053118 np0000032474 memory_tracker.sh[44666]:      37197    0.2           26112          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 08 09:07:03.053118 np0000032474 memory_tracker.sh[44666]:       2729    0.2           25260       2728   00:00:00        2 do_wait                   /usr/bin/python3
Aug 08 09:07:03.053503 np0000032474 memory_tracker.sh[44666]:       2524    0.1           20480          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 08 09:07:03.053503 np0000032474 memory_tracker.sh[44666]:       1635    0.1           19024          1   00:01:14        2 inet_csk_accept           /usr/bin/python3
Aug 08 09:07:03.053503 np0000032474 memory_tracker.sh[44666]:      42151    0.1           18304          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Aug 08 09:07:03.053503 np0000032474 memory_tracker.sh[44666]:      17298    0.1           17664          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 08 09:07:03.053503 np0000032474 memory_tracker.sh[44666]:      37234    0.1           15360          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 08 09:07:03.053503 np0000032474 memory_tracker.sh[44666]:      31033    0.1           15232          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 08 09:07:03.053503 np0000032474 memory_tracker.sh[44666]:      32984    0.1           13872          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 08 09:07:03.053503 np0000032474 memory_tracker.sh[44666]:          1    0.1           13624          0   00:00:10        1 ep_poll                   /sbin/init nofb
Aug 08 09:07:03.053503 np0000032474 memory_tracker.sh[44666]:      11785    0.1           12928          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 08 09:07:03.053503 np0000032474 memory_tracker.sh[44666]:        475    0.1           12800          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 08 09:07:03.053503 np0000032474 memory_tracker.sh[44666]:       4915    0.1           12288       2732   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-08-08-085346
Aug 08 09:07:03.053503 np0000032474 memory_tracker.sh[44666]:       4920    0.1           12288       2732   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-08-08-085346.summary.2025-08-08-085346
Aug 08 09:07:03.053503 np0000032474 memory_tracker.sh[44666]:       1493    0.0           11392          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 08 09:07:03.053503 np0000032474 memory_tracker.sh[44666]:       2732    0.0           10880       2730   00:00:02        1 pipe_read                 bash ./stack.sh
Aug 08 09:07:03.053503 np0000032474 memory_tracker.sh[44666]:      39519    0.0           10028       2732   00:00:00        1 do_wait                   bash ./stack.sh
Aug 08 09:07:03.053732 np0000032474 memory_tracker.sh[44666]:        840    0.0            9600          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Aug 08 09:07:03.053732 np0000032474 memory_tracker.sh[44666]:        531    0.0            8960          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Aug 08 09:07:03.053732 np0000032474 memory_tracker.sh[44666]:      29024    0.0            8576          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
